Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.294342,[41  6] ; [56 56],[28.67295597 18.32704403] ; [68.32704403 43.67295597],1
s2,1,4.7e-05,16.557028,[32 15] ; [37 75],[20.39622642 26.60377358] ; [48.60377358 63.39622642],1
a6,1,0.002017,9.533913,[25 22] ; [87 25],[33.10691824 13.89308176] ; [78.89308176 33.10691824],0
s4,1,0.002708,8.994327,[16 31] ; [15 97],[ 9.16352201 37.83647799] ; [21.83647799 90.16352201],0
n4,1,0.010995,6.466162,[14 33] ; [58 54],[21.28301887 25.71698113] ; [50.71698113 61.28301887],0
s3,1,0.015544,5.85378,[29 17] ; [46 64],[22.11538462 23.88461538] ; [52.88461538 57.11538462],0
p3,1,0.02204,5.242639,[27 19] ; [43 68],[20.50955414 25.49044586] ; [49.49044586 61.50955414],0
b4,1,0.02652,4.921766,[36 11] ; [65 47],[29.85534591 17.14465409] ; [71.14465409 40.85534591],0
p5,1,0.027494,4.859545,[ 6 40] ; [  4 107],[ 2.92993631 43.07006369] ; [  7.07006369 103.92993631],0
p6,1,0.028541,4.795062,[18 28] ; [24 85],[12.46451613 33.53548387] ; [29.53548387 79.46451613],0
d4,1,0.030787,4.664822,[45  2] ; [93 19],[40.79245283  6.20754717] ; [97.20754717 14.79245283],0
p12,1,0.034183,4.48554,[ 5 41] ; [  3 108],[ 2.34394904 43.65605096] ; [  5.65605096 105.34394904],0
s8,1,0.035902,4.401764,[22 25] ; [33 79],[16.25786164 30.74213836] ; [38.74213836 73.25786164],0
p1,1,0.044246,4.047143,[ 7 39] ; [  6 104],[ 3.83333333 42.16666667] ; [  9.16666667 100.83333333],0
p10,1,0.055451,3.668462,[36 10] ; [70 42],[30.86075949 15.13924051] ; [75.13924051 36.86075949],0
s7,1,0.056191,3.64639,[22 22] ; [35 70],[16.83221477 27.16778523] ; [40.16778523 64.83221477],0
b1,1,0.081335,3.038024,[14 33] ; [50 62],[18.91823899 28.08176101] ; [45.08176101 66.91823899],0
n6,1,0.086894,2.930997,[33 13] ; [64 48],[28.24050633 17.75949367] ; [68.75949367 43.24050633],0
u1,1,0.119343,2.425926,[11 36] ; [15 97],[ 7.68553459 39.31446541] ; [18.31446541 93.68553459],0
n1,1,0.119372,2.425536,[6 9] ; [ 6 26],[ 3.82978723 11.17021277] ; [ 8.17021277 23.82978723],0
a3,1,0.124719,2.357034,[32 15] ; [89 23],[35.7672956 11.2327044] ; [85.2327044 26.7672956],0
