Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2.7e-05,17.625694,[ 6 29] ; [45 30],[16.22727273 18.77272727] ; [34.77272727 40.22727273],1
a3,1,7.8e-05,15.615351,[13 21] ; [60 18],[22.16071429 11.83928571] ; [50.83928571 27.16071429],1
d5,1,0.000122,14.754672,[16 19] ; [62 14],[24.59459459 10.40540541] ; [53.40540541 22.59459459],1
d1,1,0.000168,14.15861,[10 25] ; [52 26],[19.20353982 15.79646018] ; [42.79646018 35.20353982],1
a6,1,0.000359,12.735687,[14 21] ; [57 19],[22.38738739 12.61261261] ; [48.61261261 27.38738739],1
s7,1,0.000823,11.189399,[ 7 26] ; [42 33],[14.97222222 18.02777778] ; [34.02777778 40.97222222],1
a4,1,0.00087,11.085953,[ 8 26] ; [45 33],[16.08928571 17.91071429] ; [36.91071429 41.08928571],1
s6,1,0.005945,7.566872,[15 20] ; [54 23],[21.5625 13.4375] ; [47.4375 29.5625],0
s5,1,0.010097,6.617764,[ 4 27] ; [28 45],[ 9.53846154 21.46153846] ; [22.46153846 50.53846154],0
n5,1,0.016195,5.781599,[19 15] ; [61 17],[24.28571429  9.71428571] ; [55.71428571 22.28571429],0
a7,1,0.024304,5.072778,[18 17] ; [57 21],[23.2300885 11.7699115] ; [51.7699115 26.2300885],0
s8,1,0.031873,4.605315,[11 24] ; [41 36],[16.25 18.75] ; [35.75 41.25],0
v2,1,0.071377,3.251075,[13 19] ; [43 29],[17.23076923 14.76923077] ; [38.76923077 33.23076923],0
d4,1,0.072987,3.214527,[22 13] ; [60 16],[25.85585586  9.14414414] ; [56.14414414 19.85585586],0
u3,1,0.088432,2.902684,[10 12] ; [13  5],[12.65  9.35] ; [10.35  7.65],0
v3,1,0.093076,2.820357,[ 8 24] ; [30 41],[11.80582524 20.19417476] ; [26.19417476 44.80582524],0
s1,1,0.101141,2.687462,[ 4 29] ; [ 3 75],[ 2.08108108 30.91891892] ; [ 4.91891892 73.08108108],0
b2,1,0.105015,2.627685,[ 4 15] ; [23 32],[ 6.93243243 12.06756757] ; [20.06756757 34.93243243],0
b3,1,0.105015,2.627685,[ 4 15] ; [23 32],[ 6.93243243 12.06756757] ; [20.06756757 34.93243243],0
p3,1,0.136465,2.217374,[ 9 26] ; [31 46],[12.5 22.5] ; [27.5 49.5],0
p5,1,0.143117,2.144116,[ 1 32] ; [ 9 67],[ 3.02752294 29.97247706] ; [ 6.97247706 69.02752294],0
p6,1,0.149332,2.079064,[ 6 28] ; [24 54],[ 9.10714286 24.89285714] ; [20.89285714 57.10714286],0
p11,1,0.149497,2.077374,[28  7] ; [52 26],[24.77876106 10.22123894] ; [55.22123894 22.77876106],0
n6,1,0.171607,1.868852,[23 12] ; [60 17],[25.9375  9.0625] ; [57.0625 19.9375],0
d3,1,0.191713,1.704405,[18 17] ; [49 27],[21.12612613 13.87387387] ; [45.87387387 30.12612613],0
r1,1,0.213747,1.545864,[22 13] ; [58 20],[24.77876106 10.22123894] ; [55.22123894 22.77876106],0
a8,1,0.23287,1.423248,[ 2 32] ; [10 63],[ 3.81308411 30.18691589] ; [ 8.18691589 64.81308411],0
p1,1,0.256909,1.285336,[ 2 33] ; [10 68],[ 3.71681416 31.28318584] ; [ 8.28318584 69.71681416],0
p12,1,0.256909,1.285336,[ 2 33] ; [10 68],[ 3.71681416 31.28318584] ; [ 8.28318584 69.71681416],0
v4,1,0.274268,1.195275,[30  5] ; [72  6],[31.59292035  3.40707965] ; [70.40707965  7.59292035],0
b1,1,0.291112,1.114473,[12 23] ; [35 43],[14.55752212 20.44247788] ; [32.44247788 45.55752212],0
s2,1,0.310954,1.026621,[15 19] ; [42 35],[17.45945946 16.54054054] ; [39.54054054 37.45945946],0
r4,1,0.323602,0.974334,[28  7] ; [68 10],[29.73451327  5.26548673] ; [66.26548673 11.73451327],0
u4,1,0.436059,0.60663,[ 1 34] ; [ 5 73],[ 1.85840708 33.14159292] ; [ 4.14159292 73.85840708],0
s4,1,0.471141,0.519298,[ 7 28] ; [20 56],[ 8.51351351 26.48648649] ; [18.48648649 57.51351351],0
