Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0121,6.296204,[11 28] ; [6 2],[14.10638298 24.89361702] ; [2.89361702 5.10638298],0
p6,1,0.019313,5.472973,[ 5 32] ; [4 4],[ 7.4 29.6] ; [1.6 6.4],0
p3,1,0.026348,4.933004,[ 9 30] ; [5 3],[11.61702128 27.38297872] ; [2.38297872 5.61702128],0
a6,1,0.044449,4.039442,[19 20] ; [7 1],[21.57446809 17.42553191] ; [4.42553191 3.57446809],0
p2,1,0.066725,3.361805,[15 23] ; [6 2],[17.34782609 20.65217391] ; [3.65217391 4.34782609],0
d2,1,0.066725,3.361805,[15 23] ; [6 2],[17.34782609 20.65217391] ; [3.65217391 4.34782609],0
d4,1,0.07725,3.121837,[21 18] ; [7 1],[23.23404255 15.76595745] ; [4.76595745 3.23404255],0
s3,1,0.136189,2.220499,[13 25] ; [5 3],[14.86956522 23.13043478] ; [3.13043478 4.86956522],0
p5,1,0.157726,1.995892,[ 3 35] ; [2 6],[ 4.13043478 33.86956522] ; [0.86956522 7.13043478],0
p8,1,0.159456,1.979374,[ 6 32] ; [3 5],[ 7.43478261 30.56521739] ; [1.56521739 6.43478261],0
d3,1,0.162513,1.950688,[14 25] ; [5 3],[15.76595745 23.23404255] ; [3.23404255 4.76595745],0
b1,1,0.174757,1.841655,[19 20] ; [6 2],[20.74468085 18.25531915] ; [4.25531915 3.74468085],0
s6,1,0.177339,1.81978,[12 27] ; [4 3],[13.56521739 25.43478261] ; [2.43478261 4.56521739],0
a3,1,0.196962,1.664762,[19 19] ; [6 2],[20.65217391 17.34782609] ; [4.34782609 3.65217391],0
a5,1,0.27031,1.215171,[21 18] ; [6 2],[22.40425532 16.59574468] ; [4.59574468 3.40425532],0
d5,1,0.27031,1.215171,[21 18] ; [6 2],[22.40425532 16.59574468] ; [4.59574468 3.40425532],0
d1,1,0.295727,1.093362,[12 27] ; [4 4],[13.27659574 25.72340426] ; [2.72340426 5.27659574],0
r4,1,0.30127,1.068562,[ 8 31] ; [3 5],[ 9.12765957 29.87234043] ; [1.87234043 6.12765957],0
u3,1,0.334405,0.931765,[ 4 16] ; [1 1],[ 4.54545455 15.45454545] ; [0.45454545 1.54545455],0
p12,1,0.366244,0.816367,[ 2 37] ; [1 6],[ 2.54347826 36.45652174] ; [0.45652174 6.54347826],0
p4,1,0.371484,0.798693,[13 26] ; [4 4],[14.10638298 24.89361702] ; [2.89361702 5.10638298],0
p1,1,0.378098,0.776877,[ 5 34] ; [2 6],[ 5.80851064 33.19148936] ; [1.19148936 6.80851064],0
b4,1,0.395665,0.721461,[23 16] ; [6 2],[24.06382979 14.93617021] ; [4.93617021 3.06382979],0
s2,1,0.418609,0.654218,[ 9 29] ; [3 5],[ 9.91304348 28.08695652] ; [2.08695652 5.91304348],0
p11,1,0.477489,0.504593,[19 20] ; [5 3],[19.91489362 19.08510638] ; [4.08510638 3.91489362],0
b5,1,0.477489,0.504593,[20 19] ; [3 5],[19.08510638 19.91489362] ; [3.91489362 4.08510638],0
n6,1,0.491556,0.473119,[23 14] ; [6 2],[23.84444444 13.15555556] ; [5.15555556 2.84444444],0
v3,1,0.505499,0.443373,[ 9 30] ; [1 7],[ 8.29787234 30.70212766] ; [1.70212766 6.29787234],0
s7,1,0.561524,0.337072,[ 7 30] ; [2 5],[ 7.56818182 29.43181818] ; [1.43181818 5.56818182],0
p10,1,0.566551,0.328487,[19 18] ; [5 3],[19.73333333 17.26666667] ; [4.26666667 3.73333333],0
v1,1,0.600516,0.274219,[11 28] ; [3 5],[11.61702128 27.38297872] ; [2.38297872 5.61702128],0
r2,1,0.610534,0.259398,[20 18] ; [5 3],[20.65217391 17.34782609] ; [4.34782609 3.65217391],0
p9,1,0.662889,0.190034,[20 17] ; [5 3],[20.55555556 16.44444444] ; [4.44444444 3.55555556],0
a8,1,0.666763,0.185411,[ 7 30] ; [1 7],[ 6.57777778 30.42222222] ; [1.42222222 6.57777778],0
r3,1,0.707447,0.14084,[21 17] ; [5 3],[21.47826087 16.52173913] ; [4.52173913 3.47826087],0
a7,1,0.739735,0.11036,[17 22] ; [4 4],[17.42553191 21.57446809] ; [3.57446809 4.42553191],0
v2,1,0.745405,0.105433,[12 26] ; [3 5],[12.39130435 25.60869565] ; [2.60869565 5.39130435],0
p7,1,0.82077,0.051327,[13 26] ; [3 5],[13.27659574 25.72340426] ; [2.72340426 5.27659574],0
a1,1,0.83464,0.043578,[ 6 33] ; [1 7],[ 5.80851064 33.19148936] ; [1.19148936 6.80851064],0
n4,1,0.83464,0.043578,[33  6] ; [7 1],[33.19148936  5.80851064] ; [6.80851064 1.19148936],0
b3,1,0.862667,0.029922,[ 8 17] ; [2 5],[ 7.8125 17.1875] ; [2.1875 4.8125],0
b2,1,0.862667,0.029922,[ 8 17] ; [2 5],[ 7.8125 17.1875] ; [2.1875 4.8125],0
s8,1,0.906841,0.013695,[ 9 30] ; [2 6],[ 9.12765957 29.87234043] ; [1.87234043 6.12765957],0
a4,1,0.938598,0.005934,[10 28] ; [2 6],[ 9.91304348 28.08695652] ; [2.08695652 5.91304348],0
s4,1,0.980258,0.000612,[ 5 34] ; [1 7],[ 4.9787234 34.0212766] ; [1.0212766 6.9787234],0
