Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.691793,[ 8 25] ; [65 23],[19.90909091 13.09090909] ; [53.09090909 34.90909091],1
d3,1,0.001537,10.033338,[16 17] ; [68 19],[23.1  9.9] ; [60.9 26.1],0
r2,1,0.006155,7.504288,[27  5] ; [85  2],[30.11764706  1.88235294] ; [81.88235294  5.11764706],0
a2,1,0.00637,7.44246,[ 2 31] ; [26 62],[ 7.63636364 25.36363636] ; [20.36363636 67.63636364],0
u1,1,0.010838,6.491746,[ 1 32] ; [20 68],[ 5.72727273 27.27272727] ; [15.27272727 72.72727273],0
d5,1,0.02259,5.19976,[22 11] ; [75 13],[26.45454545  6.54545455] ; [70.54545455 17.45454545],0
a1,1,0.026252,4.939372,[ 4 29] ; [ 2 86],[ 1.63636364 31.36363636] ; [ 4.36363636 83.63636364],0
a5,1,0.027172,4.879835,[17 16] ; [64 24],[22.09090909 10.90909091] ; [58.90909091 29.09090909],0
p9,1,0.035676,4.412521,[25  7] ; [81  7],[28.26666667  3.73333333] ; [77.73333333 10.26666667],0
r3,1,0.051246,3.800211,[25  8] ; [78  9],[28.325  4.675] ; [74.675 12.325],0
r4,1,0.052493,3.760001,[23 10] ; [75 13],[26.72727273  6.27272727] ; [71.27272727 16.72727273],0
n5,1,0.065353,3.396032,[26  7] ; [53 34],[21.725 11.275] ; [57.275 29.725],0
b1,1,0.110406,2.548398,[20 13] ; [39 49],[16.09090909 16.90909091] ; [42.90909091 45.09090909],0
s2,1,0.115399,2.478679,[15 18] ; [54 34],[18.81818182 14.18181818] ; [50.18181818 37.81818182],0
b5,1,0.146321,2.110193,[17 16] ; [58 30],[20.45454545 12.54545455] ; [54.54545455 33.45454545],0
p5,1,0.272537,1.203931,[ 1 31] ; [ 8 80],[ 2.4 29.6] ; [ 6.6 81.4],0
s7,1,0.324261,0.971683,[14 17] ; [45 36],[16.33035714 14.66964286] ; [42.66964286 38.33035714],0
r1,1,0.342741,0.900152,[24  9] ; [71 17],[25.90909091  7.09090909] ; [69.09090909 18.90909091],0
v4,1,0.345412,0.89024,[29  4] ; [82  6],[30.27272727  2.72727273] ; [80.72727273  7.27272727],0
s1,1,0.348386,0.879328,[ 3 30] ; [ 4 83],[ 1.925 31.075] ; [ 5.075 81.925],0
d2,1,0.352157,0.865671,[20 13] ; [45 43],[17.72727273 15.27272727] ; [47.27272727 40.72727273],0
s8,1,0.352157,0.865671,[13 20] ; [43 45],[15.27272727 17.72727273] ; [40.72727273 47.27272727],0
b4,1,0.368308,0.809365,[21 12] ; [48 40],[18.81818182 14.18181818] ; [50.18181818 37.81818182],0
s6,1,0.380199,0.770057,[20 12] ; [61 25],[21.96610169 10.03389831] ; [59.03389831 26.96610169],0
d1,1,0.387405,0.74707,[17 16] ; [53 35],[19.09090909 13.90909091] ; [50.90909091 37.09090909],0
