Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,106.343638,[ 60 157] ; [284 117],[120.78964401  96.21035599] ; [223.21035599 177.78964401],1
p6,1,0.0,70.754624,[ 40 175] ; [216 187],[ 89.06148867 125.93851133] ; [166.93851133 236.06148867],1
p3,1,0.0,47.453561,[ 78 139] ; [263 143],[118.7752809  98.2247191] ; [222.2247191 183.7752809],1
p2,1,0.0,47.008558,[155  63] ; [373  33],[184.46153846  33.53846154] ; [343.53846154  62.46153846],1
p4,1,0.0,31.727328,[109 108] ; [295 110],[140.94533762  76.05466238] ; [263.05466238 141.94533762],1
r4,1,0.0,26.152434,[183  35] ; [389  17],[199.83333333  18.16666667] ; [372.16666667  33.83333333],1
p10,1,3e-06,21.565954,[163  53] ; [361  42],[182.84975767  33.15024233] ; [341.15024233  61.84975767],1
s5,1,8.5e-05,15.44765,[ 50 153] ; [161 233],[ 71.74706868 131.25293132] ; [139.25293132 254.74706868],1
v1,1,0.000166,14.184041,[ 95 113] ; [246 153],[116.85008237  91.14991763] ; [224.14991763 174.85008237],1
p9,1,0.0003,13.069555,[171  43] ; [363  39],[185.51298701  28.48701299] ; [348.48701299  53.51298701],1
r3,1,0.000394,12.558371,[197  19] ; [393  10],[205.88045234  10.11954766] ; [384.11954766  18.88045234],1
r1,1,0.000981,10.862506,[162  56] ; [343  60],[177.27858293  40.72141707] ; [327.72141707  75.27858293],1
p5,1,0.001768,9.776268,[ 18 198] ; [ 71 333],[ 31.00645161 184.99354839] ; [ 57.99354839 346.00645161],0
b5,1,0.005069,7.854512,[146  72] ; [225 181],[129.61217949  88.38782051] ; [241.38782051 164.61217949],0
p11,1,0.005608,7.672227,[167  51] ; [347  59],[179.57051282  38.42948718] ; [334.42948718  71.57051282],0
r2,1,0.00589,7.583577,[198  18] ; [387  13],[205.12987013  10.87012987] ; [379.87012987  20.12987013],0
s8,1,0.006826,7.318116,[ 89 127] ; [212 191],[105.03392569 110.96607431] ; [195.96607431 207.03392569],0
s7,1,0.007361,7.18273,[ 96 111] ; [224 163],[111.51515152  95.48484848] ; [208.48484848 178.51515152],0
v4,1,0.010964,6.471148,[201  17] ; [391  13],[207.48553055  10.51446945] ; [384.51446945  19.48553055],0
v2,1,0.012566,6.229262,[106 102] ; [243 152],[120.38474295  87.61525705] ; [228.61525705 166.38474295],0
v3,1,0.013759,6.068868,[ 76 132] ; [187 211],[ 90.27062706 117.72937294] ; [172.72937294 225.27062706],0
b4,1,0.01577,5.828294,[141  77] ; [222 184],[126.81730769  91.18269231] ; [236.18269231 169.81730769],0
s3,1,0.018329,5.564437,[108 104] ; [244 157],[121.73572594  90.26427406] ; [230.26427406 170.73572594],0
a8,1,0.019993,5.412475,[ 22 174] ; [ 69 298],[ 31.68028419 164.31971581] ; [ 59.31971581 307.68028419],0
d5,1,0.023493,5.131682,[170  48] ; [345  60],[180.20866774  37.79133226] ; [334.79133226  70.20866774],0
a3,1,0.036553,4.371101,[148  69] ; [307  97],[158.99355878  58.00644122] ; [296.00644122 107.99355878],0
s2,1,0.04702,3.944685,[100 112] ; [224 179],[111.68780488 100.31219512] ; [212.31219512 190.68780488],0
s6,1,0.054713,3.690798,[138  76] ; [283 110],[148.42504119  65.57495881] ; [272.57495881 120.42504119],0
d3,1,0.094258,2.800099,[141  77] ; [289 117],[150.22435897  67.77564103] ; [279.77564103 126.22435897],0
s1,1,0.128748,2.307542,[ 11 204] ; [ 11 391],[  7.66612642 207.33387358] ; [ 14.33387358 387.66612642],0
d4,1,0.160328,1.971132,[173  44] ; [341  64],[179.32154341  37.67845659] ; [334.67845659  70.32154341],0
a1,1,0.185524,1.752812,[  8 210] ; [ 25 381],[ 11.52884615 206.47115385] ; [ 21.47115385 384.52884615],0
d1,1,0.19105,1.709499,[128  90] ; [260 146],[135.55128205  82.44871795] ; [252.44871795 153.55128205],0
a2,1,0.25579,1.291402,[ 51 167] ; [112 294],[ 56.94551282 161.05448718] ; [106.05448718 299.94551282],0
d2,1,0.27316,1.20081,[119  95] ; [207 199],[112.52258065 101.47741935] ; [213.47741935 192.52258065],0
n5,1,0.287881,1.129507,[189  28] ; [365  41],[192.96629213  24.03370787] ; [361.03370787  44.96629213],0
n1,1,0.29583,1.092897,[27 25] ; [27 37],[24.20689655 27.79310345] ; [29.79310345 34.20689655],0
b2,1,0.42093,0.647717,[50 84] ; [112 158],[53.73267327 80.26732673] ; [108.26732673 161.73267327],0
b3,1,0.42093,0.647717,[50 84] ; [112 158],[53.73267327 80.26732673] ; [108.26732673 161.73267327],0
a5,1,0.552694,0.352513,[164  54] ; [314  92],[166.99358974  51.00641026] ; [311.00641026  94.99358974],0
u2,1,0.66707,0.185048,[37 33] ; [48 49],[35.62874251 34.37125749] ; [49.37125749 47.62874251],0
n2,1,0.675261,0.175509,[39 14] ; [50 15],[39.97457627 13.02542373] ; [49.02542373 15.97457627],0
u4,1,0.68059,0.169462,[  6 212] ; [  9 396],[  5.24879615 212.75120385] ; [  9.75120385 395.24879615],0
n3,1,0.686607,0.162783,[40 12] ; [52 13],[40.88888889 11.11111111] ; [51.11111111 13.88888889],0
u3,1,0.746275,0.104688,[35 35] ; [52 47],[36.03550296 33.96449704] ; [50.96449704 48.03550296],0
p12,1,0.768367,0.086737,[ 22 195] ; [ 38 366],[ 20.96618357 196.03381643] ; [ 39.03381643 364.96618357],0
a6,1,0.805606,0.060564,[147  71] ; [277 128],[148.36597111  69.63402889] ; [275.63402889 129.36597111],0
a4,1,0.808315,0.058855,[107 109] ; [196 208],[105.56129032 110.43870968] ; [197.43870968 206.56129032],0
a7,1,0.866913,0.028083,[154  63] ; [290 115],[154.90032154  62.09967846] ; [289.09967846 115.90032154],0
p1,1,0.944089,0.004918,[ 23 195] ; [ 42 363],[ 22.74478331 195.25521669] ; [ 42.25521669 362.74478331],0
u1,1,0.961526,0.002327,[ 46 172] ; [ 85 321],[ 45.76602564 172.23397436] ; [ 85.23397436 320.76602564],0
b1,1,0.973103,0.001137,[ 84 134] ; [157 249],[ 84.19551282 133.80448718] ; [156.80448718 249.19551282],0
