Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3.3e-05,17.211949,[ 6 31] ; [24 14],[14.8 22.2] ; [15.2 22.8],1
v1,1,0.002438,9.186575,[11 25] ; [25 13],[17.51351351 18.48648649] ; [18.48648649 19.51351351],0
a3,1,0.007781,7.083164,[15 22] ; [27 11],[20.72 16.28] ; [21.28 16.72],0
r1,1,0.009033,6.816352,[21 16] ; [32  6],[26.14666667 10.85333333] ; [26.85333333 11.14666667],0
a7,1,0.010625,6.527043,[20 17] ; [31  7],[25.16 11.84] ; [25.84 12.16],0
p10,1,0.014012,6.036612,[23 14] ; [33  5],[27.62666667  9.37333333] ; [28.37333333  9.62666667],0
p9,1,0.024672,5.046732,[26 10] ; [35  3],[29.67567568  6.32432432] ; [31.32432432  6.67567568],0
n5,1,0.042955,4.097175,[26 11] ; [33  4],[29.5  7.5] ; [29.5  7.5],0
r2,1,0.082437,3.016188,[32  5] ; [37  1],[34.04  2.96] ; [34.96  3.04],0
b4,1,0.083484,2.995734,[15 22] ; [23 15],[18.74666667 18.25333333] ; [19.25333333 18.74666667],0
p12,1,0.095194,2.784263,[ 1 36] ; [ 5 33],[ 2.96 34.04] ; [ 3.04 34.96],0
s4,1,0.114511,2.490832,[ 9 28] ; [ 4 34],[ 6.41333333 30.58666667] ; [ 6.58666667 31.41333333],0
b2,1,0.127388,2.324047,[ 5 21] ; [11 18],[ 7.56363636 18.43636364] ; [ 8.43636364 20.56363636],0
b3,1,0.127388,2.324047,[ 5 21] ; [11 18],[ 7.56363636 18.43636364] ; [ 8.43636364 20.56363636],0
a5,1,0.131394,2.27596,[19 18] ; [26 12],[22.2 14.8] ; [22.8 15.2],0
a2,1,0.145256,2.121372,[ 2 35] ; [ 6 32],[ 3.94666667 33.05333333] ; [ 4.05333333 33.94666667],0
p6,1,0.193158,1.693363,[13 24] ; [19 19],[15.78666667 21.21333333] ; [16.21333333 21.78666667],0
b1,1,0.205667,1.60167,[19 18] ; [14 24],[16.28 20.72] ; [16.72 21.28],0
r4,1,0.219453,1.507943,[32  5] ; [36  2],[33.54666667  3.45333333] ; [34.45333333  3.54666667],0
n4,1,0.234949,1.410646,[27 10] ; [32  6],[29.10666667  7.89333333] ; [29.89333333  8.10666667],0
a8,1,0.248025,1.334394,[ 5 31] ; [ 2 33],[ 3.54929577 32.45070423] ; [ 3.45070423 31.54929577],0
b5,1,0.273967,1.196774,[25 12] ; [21 17],[22.69333333 14.30666667] ; [23.30666667 14.69333333],0
r3,1,0.291295,1.113625,[34  3] ; [37  1],[35.02666667  1.97333333] ; [35.97333333  2.02666667],0
