Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.923014,[57 66] ; [43  7],[71.0982659 51.9017341] ; [28.9017341 21.0982659],1
s2,1,5.3e-05,16.336568,[40 83] ; [33 17],[51.9017341 71.0982659] ; [21.0982659 28.9017341],1
s3,1,0.001878,9.664749,[51 73] ; [33 16],[60.20809249 63.79190751] ; [23.79190751 25.20809249],0
s8,1,0.006525,7.399185,[33 91] ; [24 26],[40.62068966 83.37931034] ; [16.37931034 33.62068966],0
a1,1,0.010161,6.606487,[  1 123] ; [ 4 46],[  3.56321839 120.43678161] ; [ 1.43678161 48.56321839],0
d4,1,0.011827,6.33667,[89 34] ; [45  5],[95.2716763 27.7283237] ; [38.7283237 11.2716763],0
p3,1,0.015152,5.898651,[40 84] ; [26 24],[47.03448276 76.96551724] ; [18.96551724 31.03448276],0
p10,1,0.020158,5.39816,[84 38] ; [43  7],[90.08139535 31.91860465] ; [36.91860465 13.08139535],0
s7,1,0.020218,5.392996,[33 88] ; [22 26],[39.37869822 81.62130178] ; [15.62130178 32.37869822],0
s4,1,0.020237,5.391303,[ 24 100] ; [18 32],[29.93103448 94.06896552] ; [12.06896552 37.93103448],0
d1,1,0.034056,4.491878,[50 74] ; [29 21],[56.29885057 67.70114943] ; [22.70114943 27.29885057],0
r3,1,0.046826,3.951612,[109  14] ; [49  1],[112.33526012  10.66473988] ; [45.66473988  4.33526012],0
n5,1,0.048112,3.906079,[49 74] ; [12 38],[43.3699422 79.6300578] ; [17.6300578 32.3699422],0
n1,1,0.049126,3.871036,[ 8 38] ; [ 7 10],[10.95238095 35.04761905] ; [ 4.04761905 12.95238095],0
p1,1,0.062569,3.467957,[  4 120] ; [ 5 44],[  6.45086705 117.54913295] ; [ 2.54913295 46.45086705],0
p9,1,0.079688,3.071256,[96 26] ; [45  5],[100.01162791  21.98837209] ; [40.98837209  9.01162791],0
