Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.014676,5.954915,[44 28] ; [ 4 11],[39.72413793 32.27586207] ; [8.27586207 6.72413793],0
a3,1,0.016026,5.8,[52 20] ; [6 9],[48. 24.] ; [10.  5.],0
s5,1,0.068162,3.326741,[16 50] ; [6 6],[18.61538462 47.38461538] ; [3.38461538 8.61538462],0
s2,1,0.095605,2.777373,[31 41] ; [10  5],[33.93103448 38.06896552] ; [7.06896552 7.93103448],0
p11,1,0.114541,2.490422,[57 15] ; [9 6],[54.62068966 17.37931034] ; [11.37931034  3.62068966],0
a5,1,0.132449,2.263568,[44 28] ; [6 9],[41.37931034 30.62068966] ; [8.62068966 6.37931034],0
p2,1,0.158955,1.984139,[55 16] ; [9 6],[52.8372093 18.1627907] ; [11.1627907  3.8372093],0
n6,1,0.183903,1.765801,[59 13] ; [10  5],[57.10344828 14.89655172] ; [11.89655172  3.10344828],0
n4,1,0.190404,1.714487,[55 17] ; [9 6],[52.96551724 19.03448276] ; [11.03448276  3.96551724],0
b2,1,0.192245,1.700327,[15 32] ; [4 3],[16.53703704 30.46296296] ; [2.46296296 4.53703704],0
b3,1,0.192245,1.700327,[15 32] ; [4 3],[16.53703704 30.46296296] ; [2.46296296 4.53703704],0
p4,1,0.22661,1.462016,[40 30] ; [6 9],[37.88235294 32.11764706] ; [8.11764706 6.88235294],0
a7,1,0.278745,1.173196,[42 30] ; [11  4],[43.86206897 28.13793103] ; [9.13793103 5.86206897],0
r4,1,0.301453,1.067756,[44 28] ; [7 8],[42.20689655 29.79310345] ; [8.79310345 6.20689655],0
u2,1,0.338939,0.91444,[10  9] ; [3 6],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
b4,1,0.371842,0.7975,[44 28] ; [11  4],[45.51724138 26.48275862] ; [9.48275862 5.51724138],0
v3,1,0.376036,0.783622,[35 37] ; [5 9],[33.48837209 38.51162791] ; [6.51162791 7.48837209],0
p10,1,0.378016,0.777143,[48 22] ; [12  3],[49.41176471 20.58823529] ; [10.58823529  4.41176471],0
b5,1,0.382809,0.761662,[47 25] ; [8 7],[45.51724138 26.48275862] ; [9.48275862 5.51724138],0
v1,1,0.387323,0.747329,[45 24] ; [8 7],[43.53571429 25.46428571] ; [9.46428571 5.53571429],0
s3,1,0.393935,0.726761,[34 37] ; [9 6],[35.5 35.5] ; [7.5 7.5],0
d1,1,0.407241,0.686842,[42 30] ; [7 8],[40.55172414 31.44827586] ; [8.44827586 6.55172414],0
d3,1,0.476299,0.507324,[50 22] ; [9 6],[48.82758621 23.17241379] ; [10.17241379  4.82758621],0
r2,1,0.51199,0.429998,[55 13] ; [11  4],[54.07228916 13.92771084] ; [11.92771084  3.07228916],0
r3,1,0.542091,0.371677,[66  6] ; [13  2],[65.37931034  6.62068966] ; [13.62068966  1.37931034],0
v4,1,0.561145,0.337725,[61 10] ; [12  3],[60.26744186 10.73255814] ; [12.73255814  2.26744186],0
s6,1,0.568472,0.325246,[42 27] ; [9 4],[42.91463415 26.08536585] ; [8.08536585 4.91463415],0
u3,1,0.598702,0.276958,[ 9 11] ; [5 4],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
n3,1,0.666586,0.185622,[19  5] ; [5 2],[18.58064516  5.41935484] ; [5.41935484 1.58064516],0
s1,1,0.683308,0.166426,[ 3 68] ; [ 1 14],[ 3.30232558 67.69767442] ; [ 0.69767442 14.30232558],0
d2,1,0.721591,0.126973,[30 42] ; [7 8],[30.62068966 41.37931034] ; [6.37931034 8.62068966],0
p7,1,0.749311,0.102111,[43 29] ; [9 5],[43.53488372 28.46511628] ; [8.46511628 5.53488372],0
d5,1,0.755867,0.096667,[60 12] ; [12  3],[59.5862069 12.4137931] ; [12.4137931  2.5862069],0
s7,1,0.76463,0.089644,[28 38] ; [7 8],[28.51851852 37.48148148] ; [6.48148148 8.51851852],0
s8,1,0.776299,0.080739,[26 46] ; [6 9],[26.48275862 45.51724138] ; [5.51724138 9.48275862],0
a1,1,0.829076,0.046607,[ 6 66] ; [ 1 14],[ 5.79310345 66.20689655] ; [ 1.20689655 13.79310345],0
p9,1,0.829734,0.046243,[55 16] ; [12  3],[55.31395349 15.68604651] ; [11.68604651  3.31395349],0
n5,1,0.832459,0.044753,[50 22] ; [10  5],[49.65517241 22.34482759] ; [10.34482759  4.65517241],0
n2,1,0.849304,0.036102,[18  6] ; [5 2],[17.80645161  6.19354839] ; [5.19354839 1.80645161],0
a8,1,0.894193,0.017689,[ 6 62] ; [ 1 12],[ 5.87654321 62.12345679] ; [ 1.12345679 11.87654321],0
