Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,42.077933,[124  36] ; [23 47],[102.26086957  57.73913043] ; [44.73913043 25.26086957],1
d3,1,2e-06,22.340542,[122  38] ; [31 39],[106.43478261  53.56521739] ; [46.56521739 23.43478261],1
u1,1,0.000566,11.88427,[ 47 113] ; [ 6 64],[ 36.86956522 123.13043478] ; [16.13043478 53.86956522],1
v2,1,0.002495,9.144133,[78 79] ; [19 49],[67.68444444 89.31555556] ; [29.31555556 38.68444444],0
r4,1,0.004459,8.086668,[144  16] ; [53 17],[137.04347826  22.95652174] ; [59.95652174 10.04347826],0
b1,1,0.004639,8.015231,[ 55 105] ; [38 32],[64.69565217 95.30434783] ; [28.30434783 41.69565217],0
r2,1,0.006019,7.544709,[152   3] ; [62  7],[148.08035714   6.91964286] ; [65.91964286  3.08035714],0
a2,1,0.008626,6.89872,[ 52 108] ; [11 59],[ 43.82608696 116.17391304] ; [19.17391304 50.82608696],0
a5,1,0.019403,5.464807,[130  30] ; [47 23],[123.13043478  36.86956522] ; [53.86956522 16.13043478],0
b5,1,0.050569,3.822502,[102  58] ; [35 35],[95.30434783 64.69565217] ; [41.69565217 28.30434783],0
r1,1,0.05833,3.584231,[133  26] ; [51 19],[127.75545852  31.24454148] ; [56.24454148 13.75545852],0
d1,1,0.060125,3.533938,[99 61] ; [34 36],[92.52173913 67.47826087] ; [40.47826087 29.52173913],0
v4,1,0.067974,3.331272,[154   5] ; [62  6],[151.29515419   7.70484581] ; [64.70484581  3.29515419],0
s6,1,0.08475,2.971369,[135  24] ; [52 17],[130.40789474  28.59210526] ; [56.59210526 12.40789474],0
d5,1,0.095157,2.784892,[132  28] ; [51 19],[127.30434783  32.69565217] ; [55.69565217 14.30434783],0
p2,1,0.096181,2.767756,[141  19] ; [55 14],[136.94323144  23.05676856] ; [59.05676856  9.94323144],0
p9,1,0.107491,2.590722,[141  17] ; [57 13],[137.21052632  20.78947368] ; [60.78947368  9.21052632],0
d4,1,0.150356,2.068639,[134  26] ; [53 17],[130.08695652  29.91304348] ; [56.91304348 13.08695652],0
p1,1,0.16795,1.901146,[ 10 150] ; [ 8 61],[ 12.57641921 147.42358079] ; [ 5.42358079 63.57641921],0
