Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.01123,6.428571,[20 10] ; [36 54],[14. 16.] ; [42. 48.],0
v3,1,0.013479,6.105069,[15 15] ; [22 64],[ 9.56896552 20.43103448] ; [27.43103448 58.56896552],0
p4,1,0.023362,5.141358,[17 13] ; [30 60],[11.75 18.25] ; [35.25 54.75],0
a3,1,0.023679,5.118009,[ 8 21] ; [46 43],[13.27118644 15.72881356] ; [40.72881356 48.27118644],0
b1,1,0.02985,4.717884,[12 18] ; [57 34],[17.10743802 12.89256198] ; [51.89256198 39.10743802],0
n6,1,0.058569,3.577442,[23  7] ; [51 38],[18.65546218 11.34453782] ; [55.34453782 33.65546218],0
d2,1,0.059344,3.555637,[ 2 28] ; [20 71],[ 5.45454545 24.54545455] ; [16.54545455 74.45454545],0
d3,1,0.067546,3.341674,[15 15] ; [28 61],[10.84033613 19.15966387] ; [32.15966387 56.84033613],0
d5,1,0.0731,3.212003,[11 19] ; [50 40],[15.25 14.75] ; [45.75 44.25],0
p6,1,0.081736,3.030031,[ 9 21] ; [14 76],[ 5.75 24.25] ; [17.25 72.75],0
n5,1,0.087472,2.920301,[15 15] ; [60 29],[18.90756303 11.09243697] ; [56.09243697 32.90756303],0
a4,1,0.110244,2.550727,[ 3 26] ; [22 69],[ 6.04166667 22.95833333] ; [18.95833333 72.04166667],0
r2,1,0.17317,1.855288,[27  3] ; [71 19],[24.5  5.5] ; [73.5 16.5],0
b3,1,0.184427,1.761581,[ 2 10] ; [18 31],[3.93442623 8.06557377] ; [16.06557377 32.93442623],0
b2,1,0.184427,1.761581,[ 2 10] ; [18 31],[3.93442623 8.06557377] ; [16.06557377 32.93442623],0
s2,1,0.221394,1.495314,[15 15] ; [34 57],[12.14876033 17.85123967] ; [36.85123967 54.14876033],0
r3,1,0.223543,1.481481,[25  5] ; [65 25],[22.5  7.5] ; [67.5 22.5],0
r4,1,0.241784,1.37016,[22  8] ; [56 35],[19.33884298 10.66115702] ; [58.66115702 32.33884298],0
p10,1,0.255857,1.291034,[16 14] ; [36 51],[13.33333333 16.66666667] ; [38.66666667 48.33333333],0
s6,1,0.262837,1.253754,[17 12] ; [42 48],[14.37815126 14.62184874] ; [44.62184874 45.37815126],0
a5,1,0.269574,1.218913,[17 13] ; [41 50],[14.38016529 15.61983471] ; [43.61983471 47.38016529],0
b4,1,0.31584,1.006095,[18 12] ; [45 46],[15.61983471 14.38016529] ; [47.38016529 43.61983471],0
p2,1,0.356762,0.84926,[20 10] ; [52 39],[17.85123967 12.14876033] ; [54.14876033 36.85123967],0
a8,1,0.367759,0.811223,[ 2 25] ; [12 74],[ 3.34513274 23.65486726] ; [10.65486726 75.34513274],0
v4,1,0.376968,0.780566,[25  5] ; [68 22],[23.25  6.75] ; [69.75 20.25],0
p5,1,0.389097,0.741762,[ 3 27] ; [ 5 86],[ 1.98347107 28.01652893] ; [ 6.01652893 84.98347107],0
n4,1,0.413762,0.667964,[16 14] ; [55 34],[17.89915966 12.10084034] ; [53.10084034 35.89915966],0
a6,1,0.426264,0.632982,[12 18] ; [44 47],[13.88429752 16.11570248] ; [42.11570248 48.88429752],0
u2,1,0.448111,0.575425,[10 12] ; [15 27],[ 8.59375 13.40625] ; [16.40625 25.59375],0
p3,1,0.462052,0.540918,[10 20] ; [24 67],[ 8.42975207 21.57024793] ; [25.57024793 65.42975207],0
v2,1,0.466288,0.530759,[11 17] ; [28 60],[ 9.4137931 18.5862069] ; [29.5862069 58.4137931],0
d4,1,0.494843,0.465979,[14 16] ; [49 42],[15.61983471 14.38016529] ; [47.38016529 43.61983471],0
s3,1,0.497746,0.459738,[14 15] ; [37 53],[12.42857143 16.57142857] ; [38.57142857 51.42857143],0
s4,1,0.502386,0.449893,[ 4 26] ; [17 74],[ 5.20661157 24.79338843] ; [15.79338843 75.20661157],0
u3,1,0.575249,0.313978,[ 8 13] ; [20 24],[ 9.04615385 11.95384615] ; [18.95384615 25.04615385],0
s8,1,0.618171,0.248447,[ 6 24] ; [22 68],[ 7. 23.] ; [21. 69.],0
s7,1,0.62361,0.240826,[11 19] ; [27 58],[ 9.91304348 20.08695652] ; [28.08695652 56.91304348],0
n3,1,0.631391,0.230179,[4 4] ; [19 13],[4.6 3.4] ; [18.4 13.6],0
n1,1,0.649523,0.206502,[2 6] ; [11 22],[2.53658537 5.46341463] ; [10.46341463 22.53658537],0
s5,1,0.663528,0.189266,[ 6 24] ; [21 67],[ 6.86440678 23.13559322] ; [20.13559322 67.86440678],0
v1,1,0.666955,0.185185,[13 17] ; [35 55],[12. 18.] ; [36. 54.],0
r1,1,0.7958,0.06697,[18 12] ; [51 38],[17.39495798 12.60504202] ; [51.60504202 37.39495798],0
s1,1,0.81848,0.05267,[ 2 28] ; [ 7 81],[ 2.28813559 27.71186441] ; [ 6.71186441 81.28813559],0
p1,1,0.852704,0.034473,[ 2 28] ; [ 7 84],[ 2.23140496 27.76859504] ; [ 6.76859504 84.23140496],0
a7,1,0.879662,0.022921,[18 12] ; [52 37],[17.64705882 12.35294118] ; [52.35294118 36.64705882],0
p9,1,0.965296,0.001893,[16 14] ; [46 41],[15.8974359 14.1025641] ; [46.1025641 40.8974359],0
b5,1,0.965958,0.001821,[18 12] ; [55 36],[18.09917355 11.90082645] ; [54.90082645 36.09917355],0
