Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000319,12.955571,[24  4] ; [ 9 15],[17.76923077 10.23076923] ; [15.23076923  8.76923077],1
p11,1,0.021959,5.249011,[25  4] ; [14 10],[21.33962264  7.66037736] ; [17.66037736  6.33962264],0
s4,1,0.0361,4.392356,[ 9 19] ; [ 2 22],[ 5.92307692 22.07692308] ; [ 5.07692308 18.92307692],0
p10,1,0.074203,3.1875,[21  6] ; [13 11],[18.  9.] ; [16.  8.],0
p3,1,0.082502,3.014905,[19 10] ; [10 14],[15.86792453 13.13207547] ; [13.13207547 10.86792453],0
a4,1,0.088897,2.894236,[ 9 20] ; [13 11],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
d5,1,0.143086,2.144457,[19 10] ; [20  4],[21.33962264  7.66037736] ; [17.66037736  6.33962264],0
d1,1,0.150086,2.071375,[10 19] ; [13 11],[12.58490566 16.41509434] ; [10.41509434 13.58490566],0
p6,1,0.19283,1.695862,[14 15] ; [ 7 16],[11.71153846 17.28846154] ; [ 9.28846154 13.71153846],0
a7,1,0.199531,1.645807,[16 13] ; [ 9 15],[13.67924528 15.32075472] ; [11.32075472 12.67924528],0
d3,1,0.241674,1.370805,[16 13] ; [17  7],[18.05660377 10.94339623] ; [14.94339623  9.05660377],0
d4,1,0.272186,1.205699,[19 10] ; [19  5],[20.79245283  8.20754717] ; [17.20754717  6.79245283],0
v4,1,0.305365,1.050618,[19  6] ; [15  9],[17.34693878  7.65306122] ; [16.65306122  7.34693878],0
s8,1,0.306758,1.044581,[12 16] ; [ 7 17],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
u3,1,0.342095,0.902564,[7 6] ; [3 6],[5.90909091 7.09090909] ; [4.09090909 4.90909091],0
s7,1,0.342666,0.900433,[14 13] ; [ 8 13],[12.375 14.625] ; [ 9.625 11.375],0
n5,1,0.369271,0.806117,[19  8] ; [14 10],[17.47058824  9.52941176] ; [15.52941176  8.47058824],0
b1,1,0.394433,0.725233,[16 13] ; [16  8],[17.50943396 11.49056604] ; [14.49056604  9.50943396],0
p1,1,0.396679,0.718369,[ 3 26] ; [ 1 23],[ 2.18867925 26.81132075] ; [ 1.81132075 22.18867925],0
d2,1,0.421725,0.645502,[ 9 20] ; [10 14],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],0
p5,1,0.42928,0.624771,[ 6 23] ; [ 3 21],[ 4.9245283 24.0754717] ; [ 4.0754717 19.9245283],0
a3,1,0.430756,0.620783,[15 14] ; [15  9],[16.41509434 12.58490566] ; [13.58490566 10.41509434],0
u2,1,0.431333,0.619231,[7 7] ; [3 6],[6.08695652 7.91304348] ; [3.91304348 5.08695652],0
n6,1,0.471855,0.517628,[19  8] ; [19  5],[20.11764706  6.88235294] ; [17.88235294  6.11764706],0
r1,1,0.471855,0.517628,[ 8 19] ; [ 5 19],[ 6.88235294 20.11764706] ; [ 6.11764706 17.88235294],0
b3,1,0.475703,0.508698,[ 5 17] ; [ 5 10],[ 5.94594595 16.05405405] ; [ 4.05405405 10.94594595],0
b2,1,0.475703,0.508698,[ 5 17] ; [ 5 10],[ 5.94594595 16.05405405] ; [ 4.05405405 10.94594595],0
a6,1,0.530269,0.393876,[17 12] ; [12 12],[15.86792453 13.13207547] ; [13.13207547 10.86792453],0
b5,1,0.561125,0.33776,[18 11] ; [13 11],[16.96226415 12.03773585] ; [14.03773585  9.96226415],0
s5,1,0.56594,0.329523,[ 5 21] ; [ 6 17],[ 5.83673469 20.16326531] ; [ 5.16326531 17.83673469],0
s6,1,0.5713,0.320513,[14 12] ; [11 13],[13. 13.] ; [12. 12.],0
n4,1,0.589953,0.290417,[16 13] ; [15  9],[16.96226415 12.03773585] ; [14.03773585  9.96226415],0
v2,1,0.600532,0.274195,[13 15] ; [ 9 14],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
n3,1,0.639207,0.21978,[6 7] ; [4 3],[6.5 6.5] ; [3.5 3.5],0
v3,1,0.664032,0.188662,[ 6 22] ; [ 4 20],[ 5.38461538 22.61538462] ; [ 4.61538462 19.38461538],0
a1,1,0.668581,0.183266,[ 2 27] ; [ 1 23],[ 1.64150943 27.35849057] ; [ 1.35849057 22.64150943],0
v1,1,0.694696,0.154049,[12 16] ; [ 9 15],[11.30769231 16.69230769] ; [ 9.69230769 14.30769231],0
b4,1,0.707304,0.140985,[13 16] ; [12 12],[13.67924528 15.32075472] ; [11.32075472 12.67924528],0
s3,1,0.767878,0.087114,[10 14] ; [ 9 15],[ 9.5 14.5] ; [ 9.5 14.5],0
s2,1,0.768278,0.086806,[13 13] ; [11 13],[12.48 13.52] ; [11.52 12.48],0
n2,1,0.786648,0.07326,[10  3] ; [5 2],[9.75 3.25] ; [5.25 1.75],0
u1,1,0.805303,0.060758,[ 3 26] ; [ 3 21],[ 3.28301887 25.71698113] ; [ 2.71698113 21.28301887],0
n1,1,0.887593,0.01998,[6 7] ; [3 4],[5.85 7.15] ; [3.15 3.85],0
a2,1,0.889921,0.019156,[ 4 25] ; [ 3 21],[ 3.83018868 25.16981132] ; [ 3.16981132 20.83018868],0
r2,1,0.906815,0.013702,[14 12] ; [12 11],[13.79591837 12.20408163] ; [12.20408163 10.79591837],0
a5,1,0.929914,0.007736,[19 10] ; [16  8],[19.1509434  9.8490566] ; [15.8490566  8.1509434],0
