Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000209,13.744652,[10 17] ; [51 15],[17.70967742  9.29032258] ; [43.29032258 22.70967742],1
v4,1,0.000338,12.849048,[16 11] ; [60  6],[22.06451613  4.93548387] ; [53.93548387 12.06451613],1
p10,1,0.002569,9.090609,[10 16] ; [47 18],[16.28571429  9.71428571] ; [40.71428571 24.28571429],0
r3,1,0.008324,6.962306,[16 11] ; [55 10],[20.83695652  6.16304348] ; [50.16304348 14.83695652],0
r4,1,0.015276,5.884374,[14 13] ; [51 15],[18.87096774  8.12903226] ; [46.12903226 19.87096774],0
p8,1,0.018546,5.543865,[ 3 24] ; [23 42],[ 7.63043478 19.36956522] ; [18.36956522 46.63043478],0
n1,1,0.029168,4.75766,[9 5] ; [ 5 14],[5.93939394 8.06060606] ; [ 8.06060606 10.93939394],0
s5,1,0.029792,4.72127,[ 1 24] ; [15 48],[ 4.54545455 20.45454545] ; [11.45454545 51.54545455],0
b2,1,0.041863,4.140754,[10  5] ; [12 22],[6.73469388 8.26530612] ; [15.26530612 18.73469388],0
b3,1,0.041863,4.140754,[10  5] ; [12 22],[6.73469388 8.26530612] ; [15.26530612 18.73469388],0
p9,1,0.044949,4.020545,[15 11] ; [51 14],[18.85714286  7.14285714] ; [47.14285714 17.85714286],0
s6,1,0.046755,3.95419,[ 8 19] ; [34 31],[12.32608696 14.67391304] ; [29.67391304 35.32608696],0
a7,1,0.063165,3.452273,[ 9 18] ; [36 30],[13.06451613 13.93548387] ; [31.93548387 34.06451613],0
b4,1,0.070277,3.276541,[13 14] ; [45 21],[16.83870968 10.16129032] ; [41.16129032 24.83870968],0
p2,1,0.072012,3.23656,[10 17] ; [38 28],[13.93548387 13.06451613] ; [34.06451613 31.93548387],0
n5,1,0.111601,2.531408,[16 11] ; [50 16],[19.16129032  7.83870968] ; [46.83870968 19.16129032],0
a1,1,0.116816,2.459504,[ 3 24] ; [ 2 64],[ 1.4516129 25.5483871] ; [ 3.5483871 62.4516129],0
