Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6.3e-05,15.995305,[38  6] ; [4 9],[32.42105263 11.57894737] ; [9.57894737 3.42105263],1
a6,1,0.003804,8.375159,[30 14] ; [ 3 10],[25.47368421 18.52631579] ; [7.52631579 5.47368421],0
d3,1,0.006243,7.478694,[33  9] ; [5 8],[29.01818182 12.98181818] ; [8.98181818 4.01818182],0
a5,1,0.00989,6.654566,[28 16] ; [ 3 10],[23.92982456 20.07017544] ; [7.07017544 5.92982456],0
d5,1,0.011927,6.321695,[35  8] ; [6 7],[31.48214286 11.51785714] ; [9.51785714 3.48214286],0
d1,1,0.012749,6.203543,[24 20] ; [ 2 11],[20.07017544 23.92982456] ; [5.92982456 7.07017544],0
v1,1,0.022359,5.217651,[22 21] ; [ 2 11],[18.42857143 24.57142857] ; [5.57142857 7.42857143],0
v2,1,0.026721,4.908766,[25 18] ; [ 3 10],[21.5 21.5] ; [6.5 6.5],0
b1,1,0.032512,4.571276,[19 25] ; [10  3],[22.38596491 21.61403509] ; [6.61403509 6.38596491],0
s8,1,0.038614,4.277778,[22 22] ; [ 2 10],[18.85714286 25.14285714] ; [5.14285714 6.85714286],0
r4,1,0.046289,3.971047,[38  6] ; [8 5],[35.50877193  8.49122807] ; [10.49122807  2.50877193],0
a8,1,0.04855,3.890845,[ 2 39] ; [ 3 10],[ 3.7962963 37.2037037] ; [ 1.2037037 11.7962963],0
u2,1,0.092838,2.824463,[14  3] ; [4 4],[12.24  4.76] ; [5.76 2.24],0
r2,1,0.093295,2.816588,[41  3] ; [10  3],[39.36842105  4.63157895] ; [11.63157895  1.36842105],0
p11,1,0.098626,2.727625,[34 10] ; [7 6],[31.64912281 12.35087719] ; [9.35087719 3.64912281],0
u3,1,0.115184,2.481618,[12  5] ; [3 5],[10.2  6.8] ; [4.8 3.2],0
p2,1,0.125748,2.344222,[36  8] ; [8 5],[33.96491228 10.03508772] ; [10.03508772  2.96491228],0
d4,1,0.125748,2.344222,[36  8] ; [8 5],[33.96491228 10.03508772] ; [10.03508772  2.96491228],0
a3,1,0.143724,2.137625,[27 17] ; [5 8],[24.70175439 19.29824561] ; [7.29824561 5.70175439],0
a4,1,0.148478,2.087815,[20 24] ; [ 3 10],[17.75438596 26.24561404] ; [5.24561404 7.75438596],0
v4,1,0.178884,1.806868,[42  2] ; [11  2],[40.9122807  3.0877193] ; [12.0877193  0.9122807],0
s6,1,0.202914,1.621277,[30 13] ; [6 6],[28.14545455 14.85454545] ; [7.85454545 4.14545455],0
b4,1,0.244171,1.356352,[25 19] ; [5 8],[23.15789474 20.84210526] ; [6.84210526 6.15789474],0
s2,1,0.258961,1.274301,[28 16] ; [6 7],[26.24561404 17.75438596] ; [7.75438596 5.24561404],0
p4,1,0.264389,1.245629,[31 13] ; [7 6],[29.33333333 14.66666667] ; [8.66666667 4.33333333],0
s7,1,0.278988,1.172013,[21 23] ; [4 9],[19.29824561 24.70175439] ; [5.70175439 7.29824561],0
p3,1,0.308119,1.03872,[24 20] ; [5 8],[22.38596491 21.61403509] ; [6.61403509 6.38596491],0
b2,1,0.338426,0.916385,[11 14] ; [2 6],[ 9.84848485 15.15151515] ; [3.15151515 4.84848485],0
b3,1,0.338426,0.916385,[11 14] ; [2 6],[ 9.84848485 15.15151515] ; [3.15151515 4.84848485],0
s1,1,0.350794,0.870582,[ 1 43] ; [ 1 12],[ 1.54385965 42.45614035] ; [ 0.45614035 12.54385965],0
a7,1,0.367692,0.811449,[32 11] ; [8 5],[30.71428571 12.28571429] ; [9.28571429 3.71428571],0
s5,1,0.375821,0.784328,[18 25] ; [3 8],[16.72222222 26.27777778] ; [4.27777778 6.72222222],0
s3,1,0.381486,0.765909,[23 21] ; [5 8],[21.61403509 22.38596491] ; [6.38596491 6.61403509],0
n6,1,0.401066,0.705128,[28 14] ; [7 6],[26.72727273 15.27272727] ; [8.27272727 4.72727273],0
b5,1,0.438484,0.600247,[32 12] ; [8 5],[30.87719298 13.12280702] ; [9.12280702 3.87719298],0
n5,1,0.473058,0.514823,[18 25] ; [4 9],[16.89285714 26.10714286] ; [5.10714286 7.89285714],0
s4,1,0.509373,0.435356,[18 26] ; [4 9],[16.98245614 27.01754386] ; [5.01754386 7.98245614],0
r1,1,0.524084,0.405849,[28 16] ; [7 6],[27.01754386 16.98245614] ; [7.98245614 5.01754386],0
n1,1,0.632585,0.228571,[ 7 11] ; [3 3],[ 7.5 10.5] ; [2.5 3.5],0
n2,1,0.771671,0.084211,[14  4] ; [5 1],[14.25  3.75] ; [4.75 1.25],0
n3,1,0.807671,0.059259,[11  7] ; [4 2],[11.25  6.75] ; [3.75 2.25],0
p8,1,0.823368,0.049825,[29 15] ; [9 4],[29.33333333 14.66666667] ; [8.66666667 4.33333333],0
d2,1,0.890421,0.018981,[16 28] ; [5 8],[16.21052632 27.78947368] ; [4.78947368 8.21052632],0
r3,1,0.913676,0.011751,[41  3] ; [12  1],[40.9122807  3.0877193] ; [12.0877193  0.9122807],0
