Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,31.864574,[79  8] ; [18 22],[66.4488189 20.5511811] ; [30.5511811  9.4488189],1
d1,1,0.0,27.028668,[59 29] ; [ 7 33],[45.375 42.625] ; [20.625 19.375],1
a3,1,2.4e-05,17.830907,[67 21] ; [15 25],[56.375 31.625] ; [25.625 14.375],1
d5,1,0.000124,14.729171,[72 15] ; [20 20],[63.02362205 23.97637795] ; [28.97637795 11.02362205],1
p3,1,0.000131,14.63245,[66 22] ; [16 24],[56.375 31.625] ; [25.625 14.375],1
a4,1,0.000329,12.898933,[45 43] ; [ 7 33],[35.75 52.25] ; [16.25 23.75],1
d2,1,0.00054,11.972329,[51 37] ; [10 30],[41.9375 46.0625] ; [19.0625 20.9375],1
r1,1,0.001451,10.139219,[72 16] ; [22 18],[64.625 23.375] ; [29.375 10.625],0
r4,1,0.003194,8.693186,[81  7] ; [29 11],[75.625 12.375] ; [34.375  5.625],0
b3,1,0.003455,8.549937,[29 27] ; [ 4 20],[23.1 32.9] ; [ 9.9 14.1],0
b2,1,0.003455,8.549937,[29 27] ; [ 4 20],[23.1 32.9] ; [ 9.9 14.1],0
r3,1,0.017436,5.651948,[85  3] ; [34  6],[81.8125  6.1875] ; [37.1875  2.8125],0
d3,1,0.040272,4.206381,[48 40] ; [14 26],[42.625 45.375] ; [19.375 20.625],0
a6,1,0.0489,3.878788,[38 50] ; [10 30],[33. 55.] ; [15. 25.],0
p7,1,0.049229,3.867544,[76 12] ; [28 11],[72.06299213 15.93700787] ; [31.93700787  7.06299213],0
v3,1,0.074559,3.179697,[42 46] ; [12 27],[37.41732283 50.58267717] ; [16.58267717 22.41732283],0
s8,1,0.083666,2.992208,[54 34] ; [18 22],[49.5 38.5] ; [22.5 17.5],0
v2,1,0.088546,2.900612,[51 36] ; [16 22],[46.632 40.368] ; [20.368 17.632],0
r2,1,0.095352,2.781618,[79  7] ; [31  7],[76.29032258  9.70967742] ; [33.70967742  4.29032258],0
p9,1,0.100467,2.698108,[78 10] ; [31  9],[74.9375 13.0625] ; [34.0625  5.9375],0
s2,1,0.127124,2.327273,[48 40] ; [16 24],[44. 44.] ; [20. 20.],0
p10,1,0.148662,2.085926,[77 11] ; [31  9],[74.25 13.75] ; [33.75  6.25],0
n6,1,0.148662,2.085926,[77 11] ; [31  9],[74.25 13.75] ; [33.75  6.25],0
s4,1,0.180847,1.790646,[17 71] ; [12 28],[19.9375 68.0625] ; [ 9.0625 30.9375],0
s6,1,0.215858,1.531694,[61 24] ; [23 15],[58.04878049 26.95121951] ; [25.95121951 12.04878049],0
p11,1,0.221931,1.491841,[74 14] ; [30 10],[71.5 16.5] ; [32.5  7.5],0
n2,1,0.28315,1.151909,[7 6] ; [11  4],[8.35714286 4.64285714] ; [9.64285714 5.35714286],0
b5,1,0.285635,1.140081,[33 55] ; [19 21],[35.75 52.25] ; [16.25 23.75],0
s7,1,0.292919,1.106155,[50 35] ; [19 20],[47.2983871 37.7016129] ; [21.7016129 17.2983871],0
s5,1,0.296675,1.08908,[39 46] ; [14 25],[36.33064516 48.66935484] ; [16.66935484 22.33064516],0
u1,1,0.319277,0.991907,[ 6 82] ; [ 1 39],[ 4.8125 83.1875] ; [ 2.1875 37.8125],0
v4,1,0.332526,0.939037,[82  6] ; [38  1],[83.1496063  4.8503937] ; [36.8503937  2.1496063],0
p4,1,0.406458,0.689138,[65 23] ; [26 13],[63.05511811 24.94488189] ; [27.94488189 11.05511811],0
s1,1,0.411085,0.67566,[ 2 86] ; [ 2 38],[ 2.75 85.25] ; [ 1.25 38.75],0
a1,1,0.429879,0.62315,[ 5 83] ; [ 1 39],[ 4.125 83.875] ; [ 1.875 38.125],0
n3,1,0.483522,0.490909,[8 4] ; [8 7],[7.11111111 4.88888889] ; [8.88888889 6.11111111],0
b1,1,0.535223,0.384466,[41 47] ; [21 19],[42.625 45.375] ; [19.375 20.625],0
p1,1,0.553967,0.350258,[ 8 80] ; [ 5 35],[ 8.9375 79.0625] ; [ 4.0625 35.9375],0
p5,1,0.658294,0.195603,[16 72] ; [ 6 34],[15.125 72.875] ; [ 6.875 33.125],0
v1,1,0.673156,0.177932,[47 40] ; [20 20],[45.8976378 41.1023622] ; [21.1023622 18.8976378],0
n5,1,0.67834,0.172001,[71 17] ; [31  9],[70.125 17.875] ; [31.875  8.125],0
u3,1,0.685377,0.164136,[ 8 13] ; [11 14],[ 8.67391304 12.32608696] ; [10.32608696 14.67391304],0
n1,1,0.704738,0.14359,[6 7] ; [8 7],[6.5 6.5] ; [7.5 7.5],0
p12,1,0.705669,0.142642,[ 5 82] ; [ 3 37],[ 5.48031496 81.51968504] ; [ 2.51968504 37.48031496],0
s3,1,0.777488,0.079859,[52 36] ; [22 17],[51.27559055 36.72440945] ; [22.72440945 16.27559055],0
a8,1,0.813174,0.055854,[11 76] ; [ 4 32],[10.6097561 76.3902439] ; [ 4.3902439 31.6097561],0
p6,1,0.84719,0.037135,[44 43] ; [19 20],[43.5 43.5] ; [19.5 19.5],0
p2,1,0.860614,0.030833,[76 12] ; [35  5],[76.3125 11.6875] ; [34.6875  5.3125],0
b4,1,0.88622,0.020475,[45 43] ; [21 19],[45.375 42.625] ; [20.625 19.375],0
n4,1,0.928137,0.008134,[71 17] ; [32  8],[70.8125 17.1875] ; [32.1875  7.8125],0
u2,1,0.93792,0.006066,[12  9] ; [14 11],[11.86956522  9.13043478] ; [14.13043478 10.86956522],0
