Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6.8e-05,15.852183,[ 6 26] ; [39 24],[15.15789474 16.84210526] ; [29.84210526 33.15789474],1
b1,1,0.008582,6.907915,[18 14] ; [18 45],[12.12631579 19.87368421] ; [23.87368421 39.12631579],0
n4,1,0.009706,6.688052,[28  4] ; [39 24],[22.56842105  9.43157895] ; [44.43157895 18.56842105],0
d4,1,0.009962,6.641616,[20 12] ; [54  9],[24.92631579  7.07368421] ; [49.07368421 13.92631579],0
r2,1,0.026189,4.943522,[26  5] ; [60  2],[28.66666667  2.33333333] ; [57.33333333  4.66666667],0
n5,1,0.029298,4.75,[28  4] ; [42 21],[23.57894737  8.42105263] ; [46.42105263 16.57894737],0
n3,1,0.052079,3.773243,[4 8] ; [10  4],[6.46153846 5.53846154] ; [7.53846154 6.46153846],0
v3,1,0.05212,3.771907,[ 9 23] ; [29 30],[13.36263736 18.63736264] ; [24.63736264 34.36263736],0
v1,1,0.058763,3.571967,[20 12] ; [26 36],[15.65957447 16.34042553] ; [30.34042553 31.65957447],0
d1,1,0.088132,2.908163,[ 8 24] ; [27 36],[11.78947368 20.21052632] ; [23.21052632 39.78947368],0
a4,1,0.103776,2.646539,[ 9 23] ; [ 9 54],[ 6.06315789 25.93684211] ; [11.93684211 51.06315789],0
d5,1,0.114441,2.491794,[20 12] ; [49 14],[23.24210526  8.75789474] ; [45.75789474 17.24210526],0
p4,1,0.126691,2.332589,[22 10] ; [33 30],[18.52631579 13.47368421] ; [36.47368421 26.52631579],0
r4,1,0.129965,2.292922,[24  8] ; [55  8],[26.61052632  5.38947368] ; [52.38947368 10.61052632],0
u3,1,0.138402,2.195632,[6 7] ; [19  8],[8.125 4.875] ; [16.875 10.125],0
b4,1,0.156205,2.010582,[16 16] ; [41 22],[19.2 12.8] ; [37.8 25.2],0
v4,1,0.186569,1.744508,[28  3] ; [61  2],[29.35106383  1.64893617] ; [59.64893617  3.35106383],0
v2,1,0.211551,1.56078,[11 20] ; [30 31],[13.81521739 17.18478261] ; [27.18478261 33.81521739],0
p7,1,0.233793,1.417635,[24  8] ; [37 22],[21.45054945 10.54945055] ; [39.54945055 19.45054945],0
p2,1,0.246332,1.343988,[25  7] ; [55  8],[26.94736842  5.05263158] ; [53.05263158  9.94736842],0
d3,1,0.258761,1.275374,[17 15] ; [41 22],[19.53684211 12.46315789] ; [38.46315789 24.53684211],0
p3,1,0.278627,1.173776,[12 20] ; [31 32],[14.48421053 17.51578947] ; [28.51578947 34.48421053],0
b3,1,0.279154,1.171204,[ 5 16] ; [15 25],[ 6.8852459 14.1147541] ; [13.1147541 26.8852459],0
b2,1,0.279154,1.171204,[ 5 16] ; [15 25],[ 6.8852459 14.1147541] ; [13.1147541 26.8852459],0
p11,1,0.359154,0.840848,[21 11] ; [47 16],[22.90526316  9.09473684] ; [45.09473684 17.90526316],0
r3,1,0.39391,0.726837,[29  3] ; [59  3],[29.95744681  2.04255319] ; [58.04255319  3.95744681],0
s5,1,0.445057,0.58321,[14 18] ; [21 38],[12.30769231 19.69230769] ; [22.69230769 36.30769231],0
u1,1,0.505951,0.442433,[ 1 31] ; [ 4 59],[ 1.68421053 30.31578947] ; [ 3.31578947 59.68421053],0
s6,1,0.515398,0.423092,[25  6] ; [47 16],[23.74468085  7.25531915] ; [48.25531915 14.74468085],0
p9,1,0.552446,0.352953,[24  8] ; [49 12],[25.11827957  6.88172043] ; [47.88172043 13.11827957],0
p10,1,0.552446,0.352953,[24  8] ; [49 12],[25.11827957  6.88172043] ; [47.88172043 13.11827957],0
s3,1,0.588059,0.293385,[25  7] ; [46 17],[23.91578947  8.08421053] ; [47.08421053 15.91578947],0
s2,1,0.605739,0.266426,[23  9] ; [42 21],[21.89473684 10.10526316] ; [43.10526316 19.89473684],0
p1,1,0.661134,0.192149,[ 4 28] ; [10 53],[ 4.71578947 27.28421053] ; [ 9.28421053 53.71578947],0
s4,1,0.663061,0.189827,[10 22] ; [17 46],[ 9.09473684 22.90526316] ; [17.90526316 45.09473684],0
a8,1,0.692616,0.156268,[ 3 28] ; [ 7 49],[ 3.56321839 27.43678161] ; [ 6.43678161 49.56321839],0
n1,1,0.715697,0.132653,[6 6] ; [6 8],[5.53846154 6.46153846] ; [6.46153846 7.53846154],0
s1,1,0.735322,0.114281,[ 2 30] ; [ 5 56],[ 2.40860215 29.59139785] ; [ 4.59139785 56.40860215],0
p8,1,0.736431,0.113288,[19 13] ; [34 27],[18.23655914 13.76344086] ; [34.76344086 26.23655914],0
p12,1,0.758847,0.094246,[ 2 30] ; [ 3 60],[ 1.68421053 30.31578947] ; [ 3.31578947 59.68421053],0
b5,1,0.829845,0.046182,[17 15] ; [32 31],[16.50526316 15.49473684] ; [32.49473684 30.50526316],0
s8,1,0.836647,0.042512,[20 12] ; [38 25],[19.53684211 12.46315789] ; [38.46315789 24.53684211],0
n2,1,0.837829,0.04189,[9 3] ; [10  4],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
p5,1,0.845959,0.037744,[ 5 26] ; [11 51],[ 5.33333333 25.66666667] ; [10.66666667 51.33333333],0
n6,1,0.888562,0.019635,[25  7] ; [50 13],[25.26315789  6.73684211] ; [49.73684211 13.26315789],0
d2,1,0.888562,0.019635,[ 7 25] ; [13 50],[ 6.73684211 25.26315789] ; [13.26315789 49.73684211],0
a3,1,0.902745,0.014932,[19 13] ; [36 26],[18.72340426 13.27659574] ; [36.27659574 25.72340426],0
p6,1,0.952752,0.003511,[14 18] ; [25 33],[13.86666667 18.13333333] ; [25.13333333 32.86666667],0
r1,1,0.963633,0.002079,[23  9] ; [45 18],[22.90526316  9.09473684] ; [45.09473684 17.90526316],0
u2,1,1.0,0.0,[8 5] ; [16 10],[8. 5.] ; [16. 10.],0
