Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.067889,3.333333,[8 4] ; [2 6],[6. 6.] ; [4. 4.],0
v4,1,0.084978,2.967033,[6 6] ; [7 1],[7.8 4.2] ; [5.2 2.8],0
r1,1,0.111017,2.539683,[ 2 10] ; [4 4],[3.6 8.4] ; [2.4 5.6],0
s4,1,0.111017,2.539683,[ 2 10] ; [4 4],[3.6 8.4] ; [2.4 5.6],0
d5,1,0.163187,1.944444,[7 5] ; [7 1],[8.4 3.6] ; [5.6 2.4],0
p11,1,0.163187,1.944444,[7 5] ; [7 1],[8.4 3.6] ; [5.6 2.4],0
a4,1,0.163187,1.944444,[5 7] ; [1 7],[3.6 8.4] ; [2.4 5.6],0
r3,1,0.163187,1.944444,[7 5] ; [7 1],[8.4 3.6] ; [5.6 2.4],0
d4,1,0.163187,1.944444,[7 5] ; [7 1],[8.4 3.6] ; [5.6 2.4],0
s3,1,0.198982,1.649832,[4 8] ; [5 3],[5.4 6.6] ; [3.6 4.4],0
u2,1,0.259796,1.269841,[2 5] ; [2 1],[2.8 4.2] ; [1.2 1.8],0
p10,1,0.263552,1.25,[6 6] ; [6 2],[7.2 4.8] ; [4.8 3.2],0
p8,1,0.263552,1.25,[6 6] ; [6 2],[7.2 4.8] ; [4.8 3.2],0
b2,1,0.263552,1.25,[2 7] ; [3 3],[3. 6.] ; [2. 4.],0
b1,1,0.263552,1.25,[6 6] ; [6 2],[7.2 4.8] ; [4.8 3.2],0
d3,1,0.263552,1.25,[6 6] ; [2 6],[4.8 7.2] ; [3.2 4.8],0
b3,1,0.263552,1.25,[2 7] ; [3 3],[3. 6.] ; [2. 4.],0
d1,1,0.291841,1.111111,[4 8] ; [1 7],[3. 9.] ; [2. 6.],0
s8,1,0.291841,1.111111,[ 2 10] ; [3 5],[3. 9.] ; [2. 6.],0
r4,1,0.291841,1.111111,[4 8] ; [1 7],[3. 9.] ; [2. 6.],0
p12,1,0.306488,1.045752,[ 1 11] ; [2 6],[ 1.8 10.2] ; [1.2 6.8],0
a3,1,0.36131,0.833333,[5 7] ; [5 3],[6. 6.] ; [4. 4.],0
s6,1,0.36131,0.833333,[5 7] ; [5 3],[6. 6.] ; [4. 4.],0
a7,1,0.443939,0.586081,[5 7] ; [2 6],[4.2 7.8] ; [2.8 5.2],0
p6,1,0.456057,0.555556,[4 8] ; [4 4],[4.8 7.2] ; [3.2 4.8],0
v1,1,0.456057,0.555556,[4 8] ; [4 4],[4.8 7.2] ; [3.2 4.8],0
u3,1,0.490153,0.47619,[3 4] ; [2 1],[3.5 3.5] ; [1.5 1.5],0
p7,1,0.493563,0.46875,[9 3] ; [7 1],[9.6 2.4] ; [6.4 1.6],0
s5,1,0.550097,0.357143,[3 9] ; [3 5],[3.6 8.4] ; [2.4 5.6],0
v3,1,0.550097,0.357143,[3 9] ; [3 5],[3.6 8.4] ; [2.4 5.6],0
v2,1,0.550097,0.357143,[3 9] ; [3 5],[3.6 8.4] ; [2.4 5.6],0
n6,1,0.648077,0.208333,[10  2] ; [6 2],[9.6 2.4] ; [6.4 1.6],0
b4,1,0.690328,0.15873,[4 8] ; [2 6],[3.6 8.4] ; [2.4 5.6],0
p9,1,0.690328,0.15873,[8 4] ; [6 2],[8.4 3.6] ; [5.6 2.4],0
d2,1,0.690328,0.15873,[4 8] ; [2 6],[3.6 8.4] ; [2.4 5.6],0
p5,1,0.690328,0.15873,[4 8] ; [2 6],[3.6 8.4] ; [2.4 5.6],0
n5,1,0.690328,0.15873,[8 4] ; [6 2],[8.4 3.6] ; [5.6 2.4],0
n4,1,0.690328,0.15873,[8 4] ; [6 2],[8.4 3.6] ; [5.6 2.4],0
n1,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
s2,1,0.713628,0.13468,[5 7] ; [4 4],[5.4 6.6] ; [3.6 4.4],0
a6,1,0.84822,0.03663,[8 4] ; [5 3],[7.8 4.2] ; [5.2 2.8],0
a5,1,0.852179,0.034722,[7 5] ; [5 3],[7.2 4.8] ; [4.8 3.2],0
