Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,24.981621,[80 19] ; [95 93],[60.36585366 38.63414634] ; [114.63414634  73.36585366],1
p7,1,1e-06,24.463446,[80 17] ; [96 87],[60.97142857 36.02857143] ; [115.02857143  67.97142857],1
p8,1,6.4e-05,15.993231,[66 31] ; [ 80 106],[50.04240283 46.95759717] ; [95.95759717 90.04240283],1
v2,1,0.000124,14.726645,[81 17] ; [109  72],[66.73835125 31.26164875] ; [123.26164875  57.73835125],1
n4,1,0.002146,9.420495,[88 11] ; [137  50],[77.88461538 21.11538462] ; [147.11538462  39.88461538],0
s8,1,0.002902,8.868389,[49 50] ; [ 59 128],[37.38461538 61.61538462] ; [ 70.61538462 116.38461538],0
p2,1,0.006108,7.518091,[92  7] ; [151  36],[84.11538462 14.88461538] ; [158.88461538  28.11538462],0
p3,1,0.009051,6.812834,[60 39] ; [ 83 104],[49.5 49.5] ; [93.5 93.5],0
n5,1,0.010745,6.506936,[86 12] ; [140  47],[77.7122807 20.2877193] ; [148.2877193  38.7122807],0
p10,1,0.015347,5.876133,[85 12] ; [141  46],[77.19014085 19.80985915] ; [148.80985915  38.19014085],0
p9,1,0.019878,5.422557,[89  9] ; [149  37],[82.12676056 15.87323944] ; [155.87323944  30.12676056],0
n6,1,0.026519,4.921848,[89 10] ; [148  38],[82.32631579 16.67368421] ; [154.67368421  31.32631579],0
d1,1,0.027381,4.866638,[63 36] ; [94 94],[54.15679443 44.84320557] ; [102.84320557  85.15679443],0
a7,1,0.027386,4.866341,[80 18] ; [130  57],[72.21052632 25.78947368] ; [137.78947368  49.21052632],0
p5,1,0.029157,4.758326,[11 88] ; [  8 177],[ 6.62323944 92.37676056] ; [ 12.37676056 172.62323944],0
s7,1,0.03199,4.599044,[48 44] ; [ 69 110],[39.7195572 52.2804428] ; [ 77.2804428 101.7195572],0
d4,1,0.034762,4.456807,[84 15] ; [139  49],[76.92334495 22.07665505] ; [146.07665505  41.92334495],0
b4,1,0.042302,4.123073,[65 34] ; [100  88],[56.91637631 42.08362369] ; [108.08362369  79.91637631],0
d3,1,0.048594,3.889311,[75 24] ; [121  67],[67.6097561 31.3902439] ; [128.3902439  59.6097561],0
s4,1,0.049705,3.851381,[ 5 94] ; [ 23 164],[ 9.69230769 89.30769231] ; [ 18.30769231 168.69230769],0
d5,1,0.056756,3.629721,[83 16] ; [139  49],[76.57839721 22.42160279] ; [145.42160279  42.57839721],0
r4,1,0.077566,3.115187,[91  8] ; [159  29],[86.2369338 12.7630662] ; [163.7630662  24.2369338],0
b1,1,0.083797,2.989667,[44 55] ; [ 64 124],[37.2543554 61.7456446] ; [ 70.7456446 117.2543554],0
r2,1,0.129033,2.304105,[95  3] ; [171  14],[92.1130742  5.8869258] ; [173.8869258  11.1130742],0
p12,1,0.149617,2.076149,[ 9 89] ; [  9 178],[ 6.18947368 91.81052632] ; [ 11.81052632 175.18947368],0
r1,1,0.158461,1.988856,[85 14] ; [147  39],[80.58947368 18.41052632] ; [151.41052632  34.58947368],0
p11,1,0.176137,1.829917,[84 15] ; [147  41],[79.68292683 19.31707317] ; [151.31707317  36.68292683],0
n2,1,0.189107,1.724563,[7 5] ; [34 10],[8.78571429 3.21428571] ; [32.21428571 11.78571429],0
v4,1,0.191073,1.709324,[95  4] ; [170  15],[92.37676056  6.62323944] ; [172.62323944  12.37676056],0
v3,1,0.214542,1.540509,[51 44] ; [82 97],[46.11313869 48.88686131] ; [86.88686131 92.11313869],0
