Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.8e-05,16.521691,[ 6 19] ; [87 42],[15.0974026  9.9025974] ; [77.9025974 51.0974026],1
p2,1,0.000542,11.965629,[10 14] ; [98 30],[17.05263158  6.94736842] ; [90.94736842 37.05263158],1
p8,1,0.001087,10.673188,[ 2 22] ; [55 71],[ 9.12 14.88] ; [47.88 78.12],0
r3,1,0.002105,9.455435,[16  9] ; [114  15],[21.1038961  3.8961039] ; [108.8961039  20.1038961],0
p10,1,0.00471,7.987394,[12 13] ; [95 30],[17.83333333  7.16666667] ; [89.16666667 35.83333333],0
a8,1,0.006797,7.325902,[ 6 19] ; [  8 114],[ 2.38095238 22.61904762] ; [ 11.61904762 110.38095238],0
r2,1,0.008775,6.86805,[14  8] ; [108  17],[18.2585034  3.7414966] ; [103.7414966  21.2585034],0
b4,1,0.010105,6.616319,[21  4] ; [73 56],[15.25974026  9.74025974] ; [78.74025974 50.25974026],0
p11,1,0.014485,5.978036,[13 12] ; [98 31],[18.01948052  6.98051948] ; [92.98051948 36.01948052],0
n6,1,0.016995,5.6969,[14 10] ; [104  25],[18.50980392  5.49019608] ; [99.49019608 29.50980392],0
s8,1,0.023766,5.111597,[ 3 22] ; [45 84],[ 7.79220779 17.20779221] ; [40.20779221 88.79220779],0
s6,1,0.034875,4.451283,[ 8 16] ; [71 54],[12.72483221 11.27516779] ; [66.27516779 58.72483221],0
v1,1,0.044571,4.034789,[ 6 18] ; [59 66],[10.46979866 13.53020134] ; [54.53020134 70.46979866],0
d2,1,0.046393,3.967256,[16  8] ; [57 71],[11.52631579 12.47368421] ; [61.47368421 66.52631579],0
p7,1,0.048929,3.877795,[ 8 17] ; [68 59],[12.5 12.5] ; [63.5 63.5],0
p9,1,0.058255,3.58637,[15  9] ; [101  25],[18.56  5.44] ; [97.44 28.56],0
b1,1,0.069142,3.303272,[15 10] ; [52 77],[10.87662338 14.12337662] ; [56.12337662 72.87662338],0
