Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,21.897994,[88  7] ; [36 22],[76.99346405 18.00653595] ; [47.00653595 10.99346405],1
r4,1,7e-06,20.091876,[80 17] ; [28 30],[67.58709677 29.41290323] ; [40.41290323 17.58709677],1
p11,1,2.7e-05,17.635569,[67 30] ; [20 38],[54.44516129 42.55483871] ; [32.55483871 25.44516129],1
r3,1,4e-05,16.862656,[88  9] ; [37 21],[78.22580645 18.77419355] ; [46.77419355 11.22580645],1
p7,1,5.6e-05,16.216897,[56 38] ; [14 41],[44.16107383 49.83892617] ; [25.83892617 29.16107383],1
p9,1,0.000197,13.860741,[71 25] ; [25 32],[60.23529412 35.76470588] ; [35.76470588 21.23529412],1
s6,1,0.000302,13.057215,[54 43] ; [15 43],[43.18064516 53.81935484] ; [25.81935484 32.18064516],1
p4,1,0.000307,13.028773,[49 48] ; [12 45],[38.42207792 58.57792208] ; [22.57792208 34.42207792],1
p3,1,0.000661,11.59657,[39 58] ; [ 8 49],[29.6038961 67.3961039] ; [17.3961039 39.6038961],1
p10,1,0.001789,9.75475,[62 34] ; [22 35],[52.70588235 43.29411765] ; [31.29411765 25.70588235],0
v1,1,0.003661,8.444555,[48 45] ; [16 42],[39.41721854 53.58278146] ; [24.58278146 33.41721854],0
s8,1,0.003678,8.4365,[32 65] ; [ 7 51],[24.40645161 72.59354839] ; [14.59354839 43.40645161],0
a1,1,0.005097,7.844568,[ 3 94] ; [ 9 49],[ 7.50967742 89.49032258] ; [ 4.49032258 53.50967742],0
r2,1,0.006845,7.313317,[86  9] ; [43 15],[80.09803922 14.90196078] ; [48.90196078  9.09803922],0
b5,1,0.008224,6.984092,[66 31] ; [27 31],[58.2 38.8] ; [34.8 23.2],0
p8,1,0.009051,6.812803,[42 54] ; [13 44],[34.50980392 61.49019608] ; [20.49019608 36.50980392],0
d3,1,0.010522,6.544361,[64 32] ; [26 31],[56.47058824 39.52941176] ; [33.52941176 23.47058824],0
d5,1,0.01099,6.466974,[75 22] ; [33 24],[68.02597403 28.97402597] ; [39.97402597 17.02597403],0
a6,1,0.014175,6.016278,[70 27] ; [30 27],[62.98701299 34.01298701] ; [37.01298701 19.98701299],0
r1,1,0.017953,5.600754,[75 21] ; [35 23],[68.57142857 27.42857143] ; [41.42857143 16.57142857],0
a7,1,0.021461,5.288924,[71 26] ; [32 26],[64.45806452 32.54193548] ; [38.54193548 19.45806452],0
n3,1,0.028037,4.825779,[22  6] ; [13 13],[18.14814815  9.85185185] ; [16.85185185  9.14814815],0
s1,1,0.028066,4.824038,[ 3 92] ; [ 7 50],[ 6.25 88.75] ; [ 3.75 53.25],0
p6,1,0.031645,4.617647,[19 75] ; [ 4 52],[14.41333333 79.58666667] ; [ 8.58666667 47.41333333],0
v2,1,0.046387,3.967502,[46 44] ; [18 35],[40.27972028 49.72027972] ; [23.72027972 29.27972028],0
s5,1,0.048612,3.888715,[18 76] ; [ 4 51],[13.87919463 80.12080537] ; [ 8.12080537 46.87919463],0
d4,1,0.06393,3.43237,[74 22] ; [36 21],[69.01960784 26.98039216] ; [40.98039216 16.01960784],0
s7,1,0.126879,2.330285,[27 63] ; [10 44],[23.125 66.875] ; [13.875 40.125],0
a5,1,0.162195,1.953637,[66 31] ; [33 25],[61.95483871 35.04516129] ; [37.04516129 20.95483871],0
n1,1,0.162797,1.948052,[ 8 19] ; [13 14],[10.5 16.5] ; [10.5 16.5],0
d1,1,0.172565,1.860515,[46 51] ; [21 37],[41.92903226 55.07096774] ; [25.07096774 32.92903226],0
n4,1,0.191167,1.7086,[54 43] ; [26 32],[50.06451613 46.93548387] ; [29.93548387 28.06451613],0
