Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.03884,[ 54 116] ; [29 10],[ 67.51196172 102.48803828] ; [15.48803828 23.51196172],1
p5,1,1e-05,19.5041,[ 10 161] ; [12 29],[ 17.74528302 153.25471698] ; [ 4.25471698 36.74528302],1
r4,1,0.00165,9.902799,[117  54] ; [38  3],[125.02358491  45.97641509] ; [29.97641509 11.02358491],0
p12,1,0.002501,9.139916,[  5 165] ; [ 6 35],[  8.86255924 161.13744076] ; [ 2.13744076 38.86255924],0
s7,1,0.003436,8.560247,[ 35 127] ; [17 21],[ 42.12 119.88] ; [ 9.88 28.12],0
p6,1,0.004056,8.25835,[ 40 128] ; [19 22],[ 47.42583732 120.57416268] ; [11.57416268 29.42583732],0
s8,1,0.020317,5.38449,[ 28 143] ; [13 27],[ 33.22748815 137.77251185] ; [ 7.77251185 32.22748815],0
r1,1,0.022423,5.212646,[100  70] ; [32  9],[106.3507109  63.6492891] ; [25.6492891 15.3507109],0
p10,1,0.04305,4.093452,[111  57] ; [33  7],[116.30769231  51.69230769] ; [27.69230769 12.30769231],0
p7,1,0.051141,3.803665,[78 90] ; [26 15],[83.59808612 84.40191388] ; [20.40191388 20.59808612],0
p4,1,0.067171,3.350834,[ 71 100] ; [23 17],[76.18009479 94.81990521] ; [17.81990521 22.18009479],0
a8,1,0.067312,3.347391,[ 13 147] ; [ 7 32],[ 16.08040201 143.91959799] ; [ 3.91959799 35.08040201],0
b5,1,0.091617,2.845725,[104  67] ; [19 22],[99.21226415 71.78773585] ; [23.78773585 17.21226415],0
p2,1,0.114552,2.490276,[121  50] ; [34  7],[125.02358491  45.97641509] ; [29.97641509 11.02358491],0
s2,1,0.11866,2.434924,[ 18 152] ; [ 8 33],[ 20.9478673 149.0521327] ; [ 5.0521327 35.9478673],0
v4,1,0.13727,2.208294,[142  28] ; [38  3],[145.02369668  24.97630332] ; [34.97630332  6.02369668],0
p3,1,0.139208,2.186693,[ 62 109] ; [20 21],[ 66.14150943 104.85849057] ; [15.85849057 25.14150943],0
v2,1,0.147357,2.099398,[67 96] ; [22 19],[71.1127451 91.8872549] ; [17.8872549 23.1127451],0
n4,1,0.152153,2.050533,[104  66] ; [30 11],[107.96208531  62.03791469] ; [26.03791469 14.96208531],0
d2,1,0.172075,1.864773,[ 23 148] ; [ 9 32],[ 25.81132075 145.18867925] ; [ 6.18867925 34.81132075],0
n6,1,0.179707,1.800047,[123  46] ; [34  7],[126.34761905  42.65238095] ; [30.65238095 10.34761905],0
d4,1,0.189451,1.72188,[89 82] ; [26 15],[92.75943396 78.24056604] ; [22.24056604 18.75943396],0
p9,1,0.215959,1.531026,[118  50] ; [32  8],[121.15384615  46.84615385] ; [28.84615385 11.15384615],0
r3,1,0.242584,1.365514,[140  29] ; [37  4],[142.44285714  26.55714286] ; [34.55714286  6.44285714],0
s4,1,0.248793,1.330067,[ 18 152] ; [ 7 34],[ 20.14218009 149.85781991] ; [ 4.85781991 36.14218009],0
a2,1,0.272445,1.204397,[ 12 159] ; [ 1 40],[ 10.48584906 160.51415094] ; [ 2.51415094 38.48584906],0
p1,1,0.278085,1.176427,[ 12 158] ; [ 5 36],[ 13.69668246 156.30331754] ; [ 3.30331754 37.69668246],0
a1,1,0.281508,1.159793,[  9 162] ; [ 4 37],[ 10.48584906 160.51415094] ; [ 2.51415094 38.48584906],0
v3,1,0.289665,1.121177,[ 47 120] ; [15 26],[ 49.77884615 117.22115385] ; [12.22115385 28.77884615],0
p8,1,0.324405,0.971105,[70 99] ; [20 20],[72.77511962 96.22488038] ; [17.22488038 22.77511962],0
b4,1,0.335467,0.92768,[90 81] ; [25 16],[92.75943396 78.24056604] ; [22.24056604 18.75943396],0
b2,1,0.362253,0.830069,[38 59] ; [ 6 15],[36.16949153 60.83050847] ; [ 7.83050847 13.16949153],0
b3,1,0.362253,0.830069,[38 59] ; [ 6 15],[36.16949153 60.83050847] ; [ 7.83050847 13.16949153],0
a4,1,0.366226,0.816431,[ 45 126] ; [ 8 33],[ 42.75 128.25] ; [10.25 30.75],0
u3,1,0.366582,0.815217,[35 45] ; [11  9],[36.8 43.2] ; [ 9.2 10.8],0
v1,1,0.469614,0.522885,[74 95] ; [15 25],[71.96650718 97.03349282] ; [17.03349282 22.96650718],0
p11,1,0.507636,0.438937,[116  55] ; [30 11],[117.76415094  53.23584906] ; [28.23584906 12.76415094],0
u1,1,0.529423,0.395499,[  5 166] ; [ 2 39],[  5.64622642 165.35377358] ; [ 1.35377358 39.64622642],0
s1,1,0.630609,0.231235,[  7 163] ; [ 1 39],[  6.47619048 163.52380952] ; [ 1.52380952 38.47619048],0
d5,1,0.657784,0.196227,[93 77] ; [24 17],[94.26540284 75.73459716] ; [22.73459716 18.26540284],0
a6,1,0.671802,0.179501,[98 73] ; [22 19],[96.79245283 74.20754717] ; [23.20754717 17.79245283],0
a7,1,0.761419,0.092184,[107  62] ; [27 14],[107.83809524  61.16190476] ; [26.16190476 14.83809524],0
u2,1,0.763994,0.090144,[41 39] ; [11  9],[41.6 38.4] ; [10.4  9.6],0
n5,1,0.777426,0.079905,[115  53] ; [29 12],[115.75119617  52.24880383] ; [28.24880383 12.75119617],0
b1,1,0.780984,0.077305,[75 96] ; [17 24],[74.20754717 96.79245283] ; [17.79245283 23.20754717],0
d3,1,0.835958,0.042877,[ 63 106] ; [16 25],[ 63.57619048 105.42380952] ; [15.42380952 25.57619048],0
a3,1,0.84291,0.039273,[90 80] ; [21 20],[89.43127962 80.56872038] ; [21.56872038 19.43127962],0
r2,1,0.849704,0.035909,[138  31] ; [34  7],[138.41904762  30.58095238] ; [33.58095238  7.41904762],0
a5,1,0.879502,0.022983,[94 77] ; [22 19],[93.56603774 77.43396226] ; [22.43396226 18.56603774],0
n2,1,0.904984,0.014249,[33 17] ; [9 5],[32.8125 17.1875] ; [9.1875 4.8125],0
n1,1,0.919545,0.010202,[20 30] ; [5 8],[19.84126984 30.15873016] ; [5.15873016 7.84126984],0
n3,1,0.94369,0.004989,[32 17] ; [9 5],[31.88888889 17.11111111] ; [9.11111111 4.88888889],0
