Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.4e-05,18.812306,[33 75] ; [17  4],[41.86046512 66.13953488] ; [ 8.13953488 12.86046512],1
s8,1,0.000325,12.920271,[  5 103] ; [ 6 15],[ 9.20930233 98.79069767] ; [ 1.79069767 19.20930233],1
a5,1,0.000799,11.244422,[55 53] ; [19  2],[61.95348837 46.04651163] ; [12.04651163  8.95348837],1
a4,1,0.001055,10.728579,[31 75] ; [14  7],[37.55905512 68.44094488] ; [ 7.44094488 13.55905512],0
d4,1,0.006663,7.361629,[71 37] ; [20  1],[76.18604651 31.81395349] ; [14.81395349  6.18604651],0
d2,1,0.006677,7.357839,[42 65] ; [15  6],[47.6484375 59.3515625] ; [ 9.3515625 11.6484375],0
p5,1,0.007603,7.124705,[  2 104] ; [ 3 18],[  4.17322835 101.82677165] ; [ 0.82677165 20.17322835],0
u1,1,0.017641,5.631426,[  5 103] ; [ 4 17],[  7.53488372 100.46511628] ; [ 1.46511628 19.53488372],0
s4,1,0.020688,5.352881,[14 94] ; [ 7 14],[17.58139535 90.41860465] ; [ 3.41860465 17.58139535],0
d5,1,0.047963,3.91127,[68 39] ; [18  3],[71.890625 35.109375] ; [14.109375  6.890625],0
p10,1,0.052453,3.761261,[39 67] ; [12  8],[42.9047619 63.0952381] ; [ 8.0952381 11.9047619],0
v1,1,0.060803,3.515352,[31 77] ; [10 10],[34.59375 73.40625] ; [ 6.40625 13.59375],0
r4,1,0.092038,2.838361,[61 47] ; [16  5],[64.46511628 43.53488372] ; [12.53488372  8.46511628],0
n2,1,0.09896,2.722222,[22 20] ; [6 1],[24. 18.] ; [4. 3.],0
d1,1,0.102128,2.671995,[41 67] ; [12  9],[44.37209302 63.62790698] ; [ 8.62790698 12.37209302],0
r3,1,0.105987,2.613057,[73 34] ; [18  3],[76.0703125 30.9296875] ; [14.9296875  6.0703125],0
s2,1,0.157749,1.995668,[21 87] ; [ 7 14],[23.44186047 84.55813953] ; [ 4.55813953 16.44186047],0
u3,1,0.16362,1.940443,[20 28] ; [1 6],[18.32727273 29.67272727] ; [2.67272727 4.32727273],0
n6,1,0.167007,1.909605,[59 48] ; [15  6],[61.859375 45.140625] ; [12.140625  8.859375],0
p2,1,0.173794,1.849905,[54 53] ; [14  7],[56.84375 50.15625] ; [11.15625  9.84375],0
d3,1,0.186883,1.742022,[54 52] ; [14  7],[56.75590551 49.24409449] ; [11.24409449  9.75590551],0
a8,1,0.188331,1.730629,[ 6 94] ; [ 3 18],[ 7.43801653 92.56198347] ; [ 1.56198347 19.43801653],0
a3,1,0.205236,1.604717,[58 48] ; [14  6],[60.57142857 45.42857143] ; [11.42857143  8.57142857],0
p9,1,0.212409,1.554928,[44 60] ; [12  9],[46.592 57.408] ; [ 9.408 11.592],0
b3,1,0.24495,1.351881,[21 37] ; [2 9],[19.33333333 38.66666667] ; [3.66666667 7.33333333],0
b2,1,0.24495,1.351881,[21 37] ; [2 9],[19.33333333 38.66666667] ; [3.66666667 7.33333333],0
v4,1,0.278879,1.172546,[80 27] ; [18  3],[81.921875 25.078125] ; [16.078125  4.921875],0
u2,1,0.308313,1.037889,[16 32] ; [1 6],[14.83636364 33.16363636] ; [2.16363636 4.83636364],0
r1,1,0.31266,1.019405,[58 48] ; [14  7],[60.09448819 45.90551181] ; [11.90551181  9.09448819],0
s3,1,0.355323,0.854357,[34 71] ; [ 9 12],[35.83333333 69.16666667] ; [ 7.16666667 13.83333333],0
b1,1,0.356504,0.850172,[53 55] ; [ 8 13],[51.06976744 56.93023256] ; [ 9.93023256 11.06976744],0
a2,1,0.368364,0.809175,[17 91] ; [ 5 16],[18.41860465 89.58139535] ; [ 3.58139535 17.41860465],0
n1,1,0.377135,0.780021,[13 28] ; [3 3],[13.95744681 27.04255319] ; [2.04255319 3.95744681],0
a6,1,0.408542,0.683039,[62 46] ; [10 11],[60.27906977 47.72093023] ; [11.72093023  9.27906977],0
p3,1,0.516833,0.420208,[28 78] ; [ 7 14],[29.21259843 76.78740157] ; [ 5.78740157 15.21259843],0
a1,1,0.575482,0.313595,[ 9 99] ; [ 1 20],[ 8.37209302 99.62790698] ; [ 1.62790698 19.37209302],0
p4,1,0.607019,0.264538,[31 75] ; [ 7 13],[31.96825397 74.03174603] ; [ 6.03174603 13.96825397],0
b5,1,0.687974,0.161287,[67 41] ; [14  7],[67.81395349 40.18604651] ; [13.18604651  7.81395349],0
v2,1,0.78376,0.075308,[36 67] ; [ 8 13],[36.5483871 66.4516129] ; [ 7.4516129 13.5483871],0
n4,1,0.804738,0.061118,[58 49] ; [12  9],[58.515625 48.484375] ; [11.484375  9.515625],0
a7,1,0.825717,0.048487,[68 38] ; [14  7],[68.44094488 37.55905512] ; [13.55905512  7.44094488],0
p8,1,0.838438,0.041572,[28 78] ; [ 6 15],[28.37795276 77.62204724] ; [ 5.62204724 15.37795276],0
b4,1,0.841736,0.03987,[54 54] ; [11 10],[54.41860465 53.58139535] ; [10.58139535 10.41860465],0
