Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,67.023827,[20 49] ; [81  7],[44.38853503 24.61146497] ; [56.61146497 31.38853503],1
s8,1,3.2e-05,17.287237,[12 58] ; [43 45],[24.36708861 45.63291139] ; [30.63291139 57.36708861],1
s5,1,6.5e-05,15.960427,[ 9 59] ; [35 46],[20.08053691 47.91946309] ; [23.91946309 57.08053691],1
s2,1,0.000183,13.994931,[22 48] ; [54 34],[33.67088608 36.32911392] ; [42.32911392 45.67088608],1
n6,1,0.001891,9.652267,[39 32] ; [68 19],[48.08227848 22.91772152] ; [58.91772152 28.08227848],0
s7,1,0.003182,8.700312,[21 46] ; [45 36],[29.87837838 37.12162162] ; [36.12162162 44.87837838],0
r2,1,0.009989,6.636801,[61  9] ; [85  2],[65.0955414  4.9044586] ; [80.9044586  6.0955414],0
s6,1,0.012484,6.240804,[36 34] ; [61 25],[43.52564103 26.47435897] ; [53.47435897 32.52564103],0
p2,1,0.012587,6.226293,[39 32] ; [65 23],[46.44025157 24.55974843] ; [57.55974843 30.44025157],0
p6,1,0.013268,6.132966,[14 55] ; [34 54],[21.0955414 47.9044586] ; [26.9044586 61.0955414],0
v4,1,0.014744,5.946773,[57 14] ; [82  6],[62.06918239  8.93081761] ; [76.93081761 11.06918239],0
p7,1,0.01819,5.577772,[25 46] ; [47 40],[32.35443038 38.64556962] ; [39.64556962 47.35443038],0
r4,1,0.023607,5.12331,[50 21] ; [75 13],[55.81761006 15.18238994] ; [69.18238994 18.81761006],0
n2,1,0.035091,4.440737,[16 14] ; [23  6],[19.83050847 10.16949153] ; [19.16949153  9.83050847],0
a1,1,0.039593,4.23525,[ 7 64] ; [ 2 86],[ 4.01886792 66.98113208] ; [ 4.98113208 83.01886792],0
v2,1,0.041702,4.147259,[26 44] ; [45 39],[32.27272727 37.72727273] ; [38.72727273 45.27272727],0
r3,1,0.096546,2.761691,[57 14] ; [78  9],[60.66455696 10.33544304] ; [74.33544304 12.66455696],0
p5,1,0.109911,2.555507,[ 2 68] ; [ 8 80],[ 4.43037975 65.56962025] ; [ 5.56962025 82.43037975],0
p8,1,0.152803,2.044044,[18 52] ; [32 56],[22.15189873 47.84810127] ; [27.84810127 60.15189873],0
s3,1,0.165243,1.925578,[32 38] ; [50 38],[36.32911392 33.67088608] ; [45.67088608 42.32911392],0
s1,1,0.196145,1.670845,[ 7 64] ; [ 4 83],[ 4.94303797 66.05696203] ; [ 6.05696203 80.94303797],0
r1,1,0.244097,1.356776,[51 19] ; [71 17],[54.05063291 15.94936709] ; [67.94936709 20.05063291],0
b1,1,0.24835,1.332561,[38 33] ; [39 49],[34.3836478 36.6163522] ; [42.6163522 45.3836478],0
a6,1,0.265668,1.238976,[46 24] ; [65 23],[49.17721519 20.82278481] ; [61.82278481 26.17721519],0
v3,1,0.267373,1.230173,[18 49] ; [31 57],[21.18064516 45.81935484] ; [27.81935484 60.18064516],0
n1,1,0.286233,1.137255,[14 15] ; [10 19],[12. 17.] ; [12. 17.],0
p4,1,0.295136,1.096043,[28 43] ; [42 46],[31.25786164 39.74213836] ; [38.74213836 49.25786164],0
d3,1,0.331846,0.94168,[50 20] ; [68 19],[52.61146497 17.38853503] ; [65.38853503 21.61146497],0
v1,1,0.36553,0.818803,[28 43] ; [41 47],[30.81132075 40.18867925] ; [38.18867925 49.81132075],0
a5,1,0.372568,0.795083,[47 24] ; [64 24],[49.56603774 21.43396226] ; [61.43396226 26.56603774],0
p3,1,0.394138,0.726138,[24 46] ; [36 52],[26.58227848 43.41772152] ; [33.41772152 54.58227848],0
d1,1,0.39549,0.721994,[38 33] ; [53 35],[40.63522013 30.36477987] ; [50.36477987 37.63522013],0
n3,1,0.401291,0.704453,[18 11] ; [21  8],[19.5  9.5] ; [19.5  9.5],0
s4,1,0.421344,0.646563,[13 57] ; [21 67],[15.06329114 54.93670886] ; [18.93670886 69.06329114],0
n4,1,0.467526,0.527818,[42 29] ; [57 31],[44.20754717 26.79245283] ; [54.79245283 33.20754717],0
p1,1,0.491961,0.472235,[ 8 63] ; [ 7 80],[ 6.74050633 64.25949367] ; [ 8.25949367 78.74050633],0
u1,1,0.494732,0.466219,[13 58] ; [20 68],[14.73584906 56.26415094] ; [18.26415094 69.73584906],0
d5,1,0.522364,0.409224,[57 13] ; [75 13],[58.48101266 11.51898734] ; [73.51898734 14.48101266],0
b5,1,0.544415,0.367418,[50 21] ; [58 30],[48.22641509 22.77358491] ; [59.77358491 28.22641509],0
d4,1,0.60971,0.260598,[55 15] ; [72 16],[56.26582278 13.73417722] ; [70.73417722 17.26582278],0
a3,1,0.644907,0.212382,[46 23] ; [61 26],[47.32692308 21.67307692] ; [59.67307692 27.32692308],0
a2,1,0.698926,0.149592,[23 48] ; [26 62],[21.88050314 49.11949686] ; [27.11949686 60.88050314],0
b3,1,0.752118,0.09976,[13 30] ; [10 27],[12.3625 30.6375] ; [10.6375 26.3625],0
b2,1,0.752118,0.09976,[13 30] ; [10 27],[12.3625 30.6375] ; [10.6375 26.3625],0
u3,1,0.7766,0.080515,[14 11] ; [13 12],[13.5 11.5] ; [13.5 11.5],0
a4,1,0.80441,0.061328,[34 36] ; [41 47],[33.2278481 36.7721519] ; [41.7721519 46.2278481],0
n5,1,0.821716,0.050777,[42 29] ; [53 34],[42.68987342 28.31012658] ; [52.31012658 34.68987342],0
d2,1,0.829732,0.046245,[37 33] ; [45 43],[36.32911392 33.67088608] ; [45.67088608 42.32911392],0
a8,1,0.845,0.038221,[ 6 57] ; [ 8 68],[ 6.34532374 56.65467626] ; [ 7.65467626 68.34532374],0
u2,1,0.906815,0.013702,[11 12] ; [12 14],[10.79591837 12.20408163] ; [12.20408163 13.79591837],0
b4,1,0.961418,0.00234,[39 32] ; [48 40],[38.8490566 32.1509434] ; [48.1509434 39.8490566],0
