Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,27.928048,[52  7] ; [16 26],[39.72277228 19.27722772] ; [28.27722772 13.72277228],1
n6,1,0.001505,10.072655,[50  9] ; [23 18],[43.07 15.93] ; [29.93 11.07],0
n2,1,0.0039,8.329945,[15  1] ; [7 8],[11.35483871  4.64516129] ; [10.64516129  4.35483871],0
d1,1,0.009927,6.647878,[30 29] ; [32 10],[36.21782178 22.78217822] ; [25.78217822 16.21782178],0
p9,1,0.014244,6.007663,[43 15] ; [20 20],[37.28571429 20.71428571] ; [25.71428571 14.28571429],0
v1,1,0.017306,5.665118,[38 21] ; [17 25],[32.12871287 26.87128713] ; [22.87128713 19.12871287],0
p10,1,0.032865,4.552817,[40 18] ; [19 21],[34.91836735 23.08163265] ; [24.08163265 15.91836735],0
s4,1,0.036663,4.365999,[ 9 49] ; [14 28],[13.34 44.66] ; [ 9.66 32.34],0
s8,1,0.038377,4.288253,[30 28] ; [13 29],[24.94 33.06] ; [18.06 23.94],0
n1,1,0.038382,4.287993,[9 7] ; [ 3 12],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
p2,1,0.047458,3.92906,[43 16] ; [22 19],[38.35 20.65] ; [26.65 14.35],0
b5,1,0.053196,3.73775,[42 17] ; [22 20],[37.38613861 21.61386139] ; [26.61386139 15.38613861],0
p6,1,0.059337,3.555817,[27 30] ; [11 28],[22.5625 34.4375] ; [15.4375 23.5625],0
s7,1,0.073552,3.20191,[31 22] ; [15 23],[26.79120879 26.20879121] ; [19.20879121 18.79120879],0
p7,1,0.077885,3.108488,[32 24] ; [16 25],[27.71134021 28.28865979] ; [20.28865979 20.71134021],0
b1,1,0.10936,2.563439,[32 27] ; [16 26],[28.03960396 30.96039604] ; [19.96039604 22.03960396],0
d2,1,0.131519,2.27448,[29 30] ; [27 15],[32.71287129 26.28712871] ; [23.28712871 18.71287129],0
p3,1,0.138175,2.198167,[28 31] ; [13 27],[24.43434343 34.56565657] ; [16.56565657 23.43434343],0
s2,1,0.150787,2.064274,[36 22] ; [20 22],[32.48 25.52] ; [23.52 18.48],0
p4,1,0.161145,1.96345,[33 25] ; [17 23],[29.59183673 28.40816327] ; [20.40816327 19.59183673],0
d3,1,0.172183,1.863831,[39 20] ; [33  9],[42.05940594 16.94059406] ; [29.94059406 12.05940594],0
n3,1,0.19271,1.69678,[13  3] ; [9 6],[11.35483871  4.64516129] ; [10.64516129  4.35483871],0
d4,1,0.20396,1.613791,[48 11] ; [38  4],[50.23762376  8.76237624] ; [35.76237624  6.23762376],0
v3,1,0.229999,1.440867,[31 27] ; [16 23],[28.10309278 29.89690722] ; [18.89690722 20.10309278],0
s6,1,0.235344,1.408269,[43 13] ; [27 14],[40.41237113 15.58762887] ; [29.58762887 11.41237113],0
d5,1,0.287148,1.132944,[49 10] ; [38  4],[50.82178218  8.17821782] ; [36.17821782  5.82178218],0
r4,1,0.297509,1.085328,[51  8] ; [33  9],[49.06930693  9.93069307] ; [34.93069307  7.06930693],0
u2,1,0.355918,0.852245,[6 9] ; [8 6],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
b2,1,0.356744,0.849324,[12 21] ; [ 4 13],[10.56 22.44] ; [ 5.44 11.56],0
b3,1,0.356744,0.849324,[12 21] ; [ 4 13],[10.56 22.44] ; [ 5.44 11.56],0
v4,1,0.372906,0.793957,[55  4] ; [37  5],[53.74257426  5.25742574] ; [38.25742574  3.74257426],0
r2,1,0.402775,0.700026,[56  2] ; [39  3],[55.1  2.9] ; [39.9  2.1],0
a5,1,0.402789,0.699983,[42 17] ; [33  9],[43.81188119 15.18811881] ; [31.18811881 10.81188119],0
a1,1,0.49227,0.471561,[ 3 56] ; [ 1 41],[ 2.33663366 56.66336634] ; [ 1.66336634 40.33663366],0
a3,1,0.500527,0.453818,[43 16] ; [28 14],[41.47524752 17.52475248] ; [29.52475248 12.47524752],0
r1,1,0.528386,0.397494,[48 11] ; [32 10],[46.73267327 12.26732673] ; [33.26732673  8.73267327],0
a6,1,0.561357,0.337361,[36 23] ; [28 14],[37.38613861 21.61386139] ; [26.61386139 15.38613861],0
s3,1,0.591131,0.288581,[32 27] ; [20 21],[30.68 28.32] ; [21.32 19.68],0
p1,1,0.643857,0.213733,[ 3 56] ; [ 3 38],[ 3.54 55.46] ; [ 2.46 38.54],0
b4,1,0.719002,0.12945,[33 26] ; [25 17],[33.88118812 25.11881188] ; [24.11881188 17.88118812],0
u3,1,0.732105,0.117188,[9 7] ; [7 7],[8.53333333 7.46666667] ; [7.46666667 6.53333333],0
s5,1,0.737715,0.112145,[22 34] ; [14 25],[21.22105263 34.77894737] ; [14.77894737 24.22105263],0
a4,1,0.749091,0.102296,[30 29] ; [20 22],[29.20792079 29.79207921] ; [20.79207921 21.20792079],0
p12,1,0.779944,0.07806,[ 1 58] ; [ 1 39],[ 1.19191919 57.80808081] ; [ 0.80808081 39.19191919],0
a2,1,0.816659,0.053752,[17 42] ; [13 29],[17.52475248 41.47524752] ; [12.47524752 29.52475248],0
p8,1,0.83825,0.04167,[20 38] ; [13 27],[19.53061224 38.46938776] ; [13.46938776 26.53061224],0
u1,1,0.894201,0.017686,[12 47] ; [ 9 33],[12.26732673 46.73267327] ; [ 8.73267327 33.26732673],0
s1,1,0.925932,0.008642,[ 3 55] ; [ 2 40],[ 2.9 55.1] ; [ 2.1 39.9],0
a7,1,0.978851,0.000703,[42 17] ; [30 12],[42.05940594 16.94059406] ; [29.94059406 12.05940594],0
