Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,23.299632,[42  6] ; [ 9 18],[32.64 15.36] ; [18.36  8.64],1
p11,1,0.001289,10.358828,[38 10] ; [12 16],[31.57894737 16.42105263] ; [18.42105263  9.57894737],0
n5,1,0.001315,10.320901,[33 14] ; [ 9 19],[26.32 20.68] ; [15.68 12.32],0
p7,1,0.030409,4.686008,[26 22] ; [ 8 20],[21.47368421 26.52631579] ; [12.52631579 15.47368421],0
u2,1,0.045126,4.013936,[10  6] ; [ 4 11],[7.22580645 8.77419355] ; [6.77419355 8.22580645],0
s8,1,0.046904,3.948835,[17 31] ; [ 4 24],[13.26315789 34.73684211] ; [ 7.73684211 20.26315789],0
a3,1,0.060667,3.519062,[32 16] ; [12 15],[28.16 19.84] ; [15.84 11.16],0
b1,1,0.075127,3.167295,[19 29] ; [17 11],[22.73684211 25.26315789] ; [13.26315789 14.73684211],0
s7,1,0.082382,3.017275,[22 24] ; [ 7 19],[18.52777778 27.47222222] ; [10.47222222 15.52777778],0
s2,1,0.091706,2.844171,[25 23] ; [ 9 19],[21.47368421 26.52631579] ; [12.52631579 15.47368421],0
b5,1,0.097851,2.740229,[25 23] ; [20  8],[28.42105263 19.57894737] ; [16.57894737 11.42105263],0
n4,1,0.172711,1.859257,[30 18] ; [13 15],[27.15789474 20.84210526] ; [15.84210526 12.15789474],0
s4,1,0.185601,1.752194,[11 37] ; [ 3 25],[ 8.84210526 39.15789474] ; [ 5.15789474 22.84210526],0
b2,1,0.191779,1.703896,[ 9 18] ; [ 2 12],[ 7.24390244 19.75609756] ; [ 3.75609756 10.24390244],0
b3,1,0.191779,1.703896,[ 9 18] ; [ 2 12],[ 7.24390244 19.75609756] ; [ 3.75609756 10.24390244],0
p2,1,0.211504,1.561102,[35 12] ; [17 11],[32.58666667 14.41333333] ; [19.41333333  8.58666667],0
n2,1,0.271434,1.209486,[13  4] ; [10  7],[11.5  5.5] ; [11.5  5.5],0
s3,1,0.281498,1.159843,[24 22] ; [11 17],[21.75675676 24.24324324] ; [13.24324324 14.75675676],0
b4,1,0.343439,0.89755,[31 17] ; [15 13],[29.05263158 18.94736842] ; [16.94736842 11.05263158],0
s5,1,0.37627,0.782852,[11 36] ; [ 4 23],[ 9.52702703 37.47297297] ; [ 5.47297297 21.52702703],0
d3,1,0.416771,0.659402,[24 23] ; [17 11],[25.69333333 21.30666667] ; [15.30666667 12.69333333],0
v2,1,0.443888,0.58621,[23 23] ; [16 11],[24.57534247 21.42465753] ; [14.42465753 12.57534247],0
v1,1,0.444779,0.583923,[16 30] ; [11 14],[17.49295775 28.50704225] ; [ 9.50704225 15.49295775],0
u3,1,0.445601,0.581818,[ 6 10] ; [ 4 12],[ 5. 11.] ; [ 5. 11.],0
d1,1,0.48094,0.496732,[20 28] ; [14 14],[21.47368421 26.52631579] ; [12.52631579 15.47368421],0
a7,1,0.48094,0.496732,[28 20] ; [14 14],[26.52631579 21.47368421] ; [15.47368421 12.52631579],0
r2,1,0.499047,0.456963,[27 18] ; [14 13],[25.625 19.375] ; [15.375 11.625],0
a5,1,0.515021,0.423852,[26 22] ; [13 15],[24.63157895 23.36842105] ; [14.36842105 13.63157895],0
