Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.004605,8.028519,[12 22] ; [135  86],[19.6 14.4] ; [127.4  93.6],0
s3,1,0.005133,7.831876,[25  9] ; [110 120],[17.38636364 16.61363636] ; [117.61363636 112.38636364],0
s1,1,0.018114,5.585132,[ 3 32] ; [  4 228],[ 0.917603 34.082397] ; [  6.082397 225.917603],0
b3,1,0.01852,5.546313,[ 3 17] ; [66 90],[ 7.84090909 12.15909091] ; [61.15909091 94.84090909],0
b2,1,0.01852,5.546313,[ 3 17] ; [66 90],[ 7.84090909 12.15909091] ; [61.15909091 94.84090909],0
s2,1,0.023471,5.133288,[20 14] ; [ 89 143],[13.93233083 20.06766917] ; [ 95.06766917 136.93233083],0
r2,1,0.028548,4.794639,[30  5] ; [218  11],[32.87878788  2.12121212] ; [215.12121212  13.87878788],0
s6,1,0.030915,4.657652,[27  8] ; [134  97],[21.18421053 13.81578947] ; [139.81578947  91.18421053],0
a7,1,0.060479,3.524209,[22 13] ; [179  52],[26.44736842  8.55263158] ; [174.55263158  56.44736842],0
p9,1,0.102223,2.670508,[26  9] ; [196  34],[29.32075472  5.67924528] ; [192.67924528  37.32075472],0
v4,1,0.109262,2.564857,[31  4] ; [221  11],[33.03370787  1.96629213] ; [218.96629213  13.03370787],0
r4,1,0.138879,2.190337,[29  6] ; [211  21],[31.46067416  3.53932584] ; [208.53932584  23.46067416],0
v3,1,0.139303,2.18564,[11 24] ; [ 98 121],[15.01968504 19.98031496] ; [ 93.98031496 125.01968504],0
p5,1,0.170138,1.88173,[ 1 34] ; [ 23 207],[ 3.16981132 31.83018868] ; [ 20.83018868 209.16981132],0
p12,1,0.189099,1.724624,[ 1 34] ; [ 22 208],[ 3.03773585 31.96226415] ; [ 19.96226415 210.03773585],0
u1,1,0.200998,1.635108,[ 9 26] ; [ 39 193],[ 6.29213483 28.70786517] ; [ 41.70786517 190.29213483],0
a8,1,0.250194,1.322222,[ 2 32] ; [ 26 178],[ 4. 30.] ; [ 24. 180.],0
b1,1,0.252922,1.307089,[19 16] ; [102 130],[15.86142322 19.13857678] ; [105.13857678 126.86142322],0
p6,1,0.270375,1.214843,[11 24] ; [ 94 134],[13.97338403 21.02661597] ; [ 91.02661597 136.97338403],0
b4,1,0.330447,0.947147,[17 18] ; [133  99],[19.66292135 15.33707865] ; [130.33707865 101.66292135],0
u2,1,0.362512,0.829174,[5 7] ; [38 30],[6.45 5.55] ; [36.55 31.45],0
p1,1,0.381777,0.764973,[ 2 33] ; [ 24 206],[ 3.43396226 31.56603774] ; [ 22.56603774 207.43396226],0
u3,1,0.454269,0.559978,[8 4] ; [38 31],[6.81481481 5.18518519] ; [39.18518519 29.81481481],0
v1,1,0.48928,0.478109,[18 17] ; [128  94],[19.88326848 15.11673152] ; [126.11673152  95.88326848],0
r3,1,0.490445,0.475549,[32  3] ; [219  13],[32.90262172  2.09737828] ; [218.09737828  13.90262172],0
d4,1,0.498898,0.457279,[26  9] ; [184  48],[27.52808989  7.47191011] ; [182.47191011  49.52808989],0
r1,1,0.507282,0.439669,[26  9] ; [183  48],[27.5  7.5] ; [181.5  49.5],0
p10,1,0.52534,0.403398,[27  8] ; [187  42],[28.37121212  6.62878788] ; [185.62878788  43.37121212],0
d5,1,0.541746,0.372313,[30  5] ; [189  43],[28.70786517  6.29213483] ; [190.29213483  41.70786517],0
a6,1,0.549204,0.358745,[23 12] ; [164  68],[24.51310861 10.48689139] ; [162.48689139  69.51310861],0
s8,1,0.590549,0.289488,[17 18] ; [101 130],[15.52631579 19.47368421] ; [102.47368421 128.52631579],0
a3,1,0.596818,0.279822,[23 12] ; [162  69],[24.34210526 10.65789474] ; [160.65789474  70.34210526],0
n5,1,0.610445,0.259527,[28  7] ; [175  55],[26.81132075  8.18867925] ; [176.18867925  53.81132075],0
a1,1,0.615989,0.251546,[ 1 34] ; [ 11 221],[ 1.57303371 33.42696629] ; [ 10.42696629 221.57303371],0
a5,1,0.692397,0.156503,[25 10] ; [173  59],[25.95505618  9.04494382] ; [172.04494382  59.95505618],0
d2,1,0.705625,0.142686,[16 19] ; [114 118],[17.0411985 17.9588015] ; [112.9588015 119.0411985],0
p4,1,0.748339,0.102932,[28  7] ; [180  52],[27.2659176  7.7340824] ; [180.7340824  51.2659176],0
n6,1,0.761091,0.092446,[29  6] ; [196  35],[29.60526316  5.39473684] ; [195.39473684  35.60526316],0
p8,1,0.819856,0.051861,[21 14] ; [142  87],[21.60984848 13.39015152] ; [141.39015152  87.60984848],0
n1,1,0.822066,0.050575,[3 5] ; [12 24],[2.72727273 5.27272727] ; [12.27272727 23.72727273],0
d3,1,0.82526,0.048746,[23 12] ; [148  84],[22.41573034 12.58426966] ; [148.58426966  83.41573034],0
b5,1,0.830643,0.045743,[20 15] ; [137  95],[20.58052434 14.41947566] ; [136.41947566  95.58052434],0
n4,1,0.835883,0.042916,[28  7] ; [189  43],[28.44569288  6.55430712] ; [188.55430712  43.44569288],0
a2,1,0.839478,0.041031,[ 9 26] ; [ 56 176],[ 8.52059925 26.47940075] ; [ 56.47940075 175.52059925],0
p11,1,0.884611,0.021062,[28  7] ; [188  44],[28.31460674  6.68539326] ; [187.68539326  44.31460674],0
d1,1,0.901955,0.015176,[20 15] ; [130 102],[19.66292135 15.33707865] ; [130.33707865 101.66292135],0
s7,1,0.914927,0.011412,[16 17] ; [104 115],[15.71428571 17.28571429] ; [104.28571429 114.71428571],0
a4,1,0.923318,0.009265,[15 20] ; [101 130],[15.26315789 19.73684211] ; [100.73684211 130.26315789],0
n2,1,0.941825,0.005326,[5 3] ; [22 14],[4.90909091 3.09090909] ; [22.09090909 13.90909091],0
p7,1,0.951343,0.003723,[26  9] ; [169  60],[25.85227273  9.14772727] ; [169.14772727  59.85227273],0
