Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,77.348238,[ 26 131] ; [144  90],[68.26086957 88.73913043] ; [101.73913043 132.26086957],1
v1,1,0.0,33.586429,[66 90] ; [169  67],[93.52040816 62.47959184] ; [141.47959184  94.52040816],1
a3,1,3e-05,17.439168,[94 65] ; [187  51],[112.54156171  46.45843829] ; [168.45843829  69.54156171],1
s4,1,0.000712,11.458518,[ 38 118] ; [ 27 210],[ 25.80152672 130.19847328] ; [ 39.19847328 197.80152672],1
p3,1,0.004301,8.15201,[88 70] ; [166  72],[101.34343434  56.65656566] ; [152.65656566  85.34343434],0
n2,1,0.004305,8.150448,[17 11] ; [31  3],[21.67741935  6.32258065] ; [26.32258065  7.67741935],0
r1,1,0.006898,7.299408,[120  39] ; [205  33],[130.16372796  28.83627204] ; [194.83627204  43.16372796],0
u1,1,0.013339,6.123616,[ 16 143] ; [ 46 193],[ 24.76884422 134.23115578] ; [ 37.23115578 201.76884422],0
p12,1,0.019242,5.479433,[ 10 147] ; [ 33 205],[ 17.09113924 139.90886076] ; [ 25.90886076 212.09113924],0
a5,1,0.024794,5.038189,[113  46] ; [193  46],[122.24623116  36.75376884] ; [183.75376884  55.24623116],0
d1,1,0.025186,5.011018,[86 73] ; [156  83],[96.67839196 62.32160804] ; [145.32160804  93.67839196],0
n5,1,0.03351,4.519555,[119  39] ; [199  38],[127.2  30.8] ; [190.8  46.2],0
b4,1,0.041236,4.166284,[80 79] ; [145  94],[89.88693467 69.11306533] ; [135.11306533 103.88693467],0
r4,1,0.047327,3.933736,[140  19] ; [224  15],[145.41708543  13.58291457] ; [218.58291457  20.41708543],0
b3,1,0.067022,3.354482,[30 68] ; [64 88],[36.848 61.152] ; [57.152 94.848],0
b2,1,0.067022,3.354482,[30 68] ; [64 88],[36.848 61.152] ; [57.152 94.848],0
d2,1,0.067993,3.330818,[66 93] ; [121 117],[74.89420655 84.10579345] ; [112.10579345 125.89420655],0
d4,1,0.071508,3.248052,[126  32] ; [206  32],[132.46464646  25.53535354] ; [199.53535354  38.46464646],0
a7,1,0.075837,3.151932,[111  48] ; [185  53],[118.54911839  40.45088161] ; [177.45088161  60.54911839],0
d3,1,0.076598,3.135652,[103  56] ; [174  64],[110.9395466  48.0604534] ; [166.0604534  71.9395466],0
a2,1,0.082327,3.018358,[ 27 132] ; [ 58 181],[ 33.95728643 125.04271357] ; [ 51.04271357 187.95728643],0
n3,1,0.086504,2.938256,[16 11] ; [27  7],[19.03278689  7.96721311] ; [23.96721311 10.03278689],0
r3,1,0.107948,2.584013,[150   9] ; [232   6],[152.99244332   6.00755668] ; [229.00755668   8.99244332],0
u4,1,0.109306,2.564226,[  1 158] ; [  7 232],[  3.1959799 155.8040201] ; [  4.8040201 234.1959799],0
a6,1,0.115051,2.483432,[100  59] ; [167  70],[107.20454545  51.79545455] ; [159.79545455  77.20454545],0
n4,1,0.137539,2.205279,[122  37] ; [197  41],[127.76070529  31.23929471] ; [191.23929471  46.76070529],0
p4,1,0.138971,2.189316,[113  46] ; [184  53],[119.25  39.75] ; [177.75  59.25],0
n6,1,0.155197,2.020417,[136  22] ; [214  22],[140.35532995  17.64467005] ; [209.64467005  26.35532995],0
b1,1,0.170938,1.874698,[66 93] ; [ 83 156],[59.52512563 99.47487437] ; [ 89.47487437 149.52512563],0
s1,1,0.181509,1.785222,[  7 150] ; [  5 233],[  4.76962025 152.23037975] ; [  7.23037975 230.76962025],0
s6,1,0.199043,1.649383,[113  41] ; [156  76],[107.32124352  46.67875648] ; [161.67875648  70.32124352],0
d5,1,0.238791,1.387717,[124  34] ; [198  40],[128.47474747  29.52525253] ; [193.52525253  44.47474747],0
a4,1,0.254831,1.296621,[61 98] ; [105 133],[66.4836272 92.5163728] ; [ 99.5163728 138.4836272],0
p7,1,0.284443,1.14574,[127  27] ; [204  32],[130.7025641  23.2974359] ; [200.2974359  35.7025641],0
s7,1,0.343016,0.899126,[76 77] ; [124 103],[80.52631579 72.47368421] ; [119.47368421 107.52631579],0
p10,1,0.349889,0.873858,[140  17] ; [217  19],[142.61832061  14.38167939] ; [214.38167939  21.61832061],0
p9,1,0.407609,0.685764,[143  15] ; [220  17],[145.2  12.8] ; [217.8  19.2],0
a1,1,0.42304,0.641856,[  7 152] ; [ 15 224],[  8.78894472 150.21105528] ; [ 13.21105528 225.78894472],0
r2,1,0.432845,0.615177,[146  11] ; [223  12],[147.78826531   9.21173469] ; [221.21173469  13.78826531],0
s5,1,0.449562,0.571757,[57 98] ; [ 93 136],[60.546875 94.453125] ; [ 89.453125 139.546875],0
s8,1,0.522361,0.40923,[78 81] ; [123 112],[81.1142132 77.8857868] ; [119.8857868 115.1142132],0
a8,1,0.522908,0.408153,[ 21 127] ; [ 36 180],[ 23.17582418 124.82417582] ; [ 33.82417582 182.17582418],0
n1,1,0.617809,0.248959,[ 9 19] ; [13 21],[ 9.93548387 18.06451613] ; [12.06451613 21.93548387],0
p2,1,0.646978,0.209731,[148  10] ; [221  18],[146.85642317  11.14357683] ; [222.14357683  16.85642317],0
v4,1,0.650704,0.205013,[152   6] ; [229   7],[152.78680203   5.21319797] ; [228.21319797   7.78680203],0
p5,1,0.659664,0.193932,[ 27 131] ; [ 45 194],[ 28.65491184 129.34508816] ; [ 43.34508816 195.65491184],0
p1,1,0.691575,0.157385,[ 17 140] ; [ 29 210],[ 18.23737374 138.76262626] ; [ 27.76262626 211.23737374],0
p6,1,0.711262,0.13702,[81 77] ; [116 119],[79.20101781 78.79898219] ; [117.79898219 117.20101781],0
s2,1,0.724626,0.124104,[83 74] ; [121 116],[81.2893401 75.7106599] ; [122.7106599 114.2893401],0
b5,1,0.756067,0.096503,[89 70] ; [130 109],[87.48994975 71.51005025] ; [131.51005025 107.48994975],0
s3,1,0.806798,0.059809,[87 69] ; [134 101],[88.17391304 67.82608696] ; [132.82608696 102.17391304],0
u3,1,0.876034,0.024336,[36 28] ; [30 22],[36.4137931 27.5862069] ; [29.5862069 22.4137931],0
u2,1,0.966816,0.001731,[36 29] ; [29 23],[36.11111111 28.88888889] ; [28.88888889 23.11111111],0
