Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.36692,[133  13] ; [33 20],[121.78894472  24.21105528] ; [44.21105528  8.78894472],1
p11,1,2e-06,22.487532,[106  40] ; [19 34],[91.70854271 54.29145729] ; [33.29145729 19.70854271],1
n5,1,2e-06,22.170759,[105  40] ; [19 34],[90.80808081 54.19191919] ; [33.19191919 19.80808081],1
r3,1,8.7e-05,15.401614,[129  15] ; [35 18],[119.87817259  24.12182741] ; [44.12182741  8.87817259],1
p10,1,8.8e-05,15.386147,[95 49] ; [18 34],[83.02040816 60.97959184] ; [29.97959184 22.02040816],1
s6,1,0.001684,9.865201,[59 85] ; [ 9 44],[49.70558376 94.29441624] ; [18.29441624 34.70558376],0
n4,1,0.003666,8.442411,[104  42] ; [26 27],[95.37688442 50.62311558] ; [34.62311558 18.37688442],0
p9,1,0.006122,7.514165,[101  41] ; [26 26],[92.95876289 49.04123711] ; [34.04123711 17.95876289],0
r4,1,0.007692,7.103873,[111  35] ; [30 23],[103.44723618  42.55276382] ; [37.55276382 15.44723618],0
n2,1,0.015972,5.805908,[35 13] ; [10 13],[30.42253521 17.57746479] ; [14.57746479  8.42253521],0
p2,1,0.031387,4.631662,[91 55] ; [24 29],[84.3718593 61.6281407] ; [30.6281407 22.3718593],0
p3,1,0.045762,3.990319,[ 39 107] ; [ 7 46],[ 33.74874372 112.25125628] ; [12.25125628 40.74874372],0
d4,1,0.088109,2.908587,[113  32] ; [35 18],[108.38383838  36.61616162] ; [39.61616162 13.38383838],0
s8,1,0.098734,2.725882,[ 28 117] ; [ 5 48],[ 24.16666667 120.83333333] ; [ 8.83333333 44.16666667],0
d3,1,0.104026,2.642715,[93 53] ; [27 26],[88.04020101 57.95979899] ; [31.95979899 21.04020101],0
d1,1,0.109309,2.564177,[71 75] ; [19 34],[66.03015075 79.96984925] ; [23.96984925 29.03015075],0
p4,1,0.111701,2.529991,[56 89] ; [14 39],[51.26262626 93.73737374] ; [18.73737374 34.26262626],0
