Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,7e-06,20.331298,[73  1] ; [5 3],[70.3902439  3.6097561] ; [7.6097561 0.3902439],1
s7,1,0.000532,11.999693,[59 11] ; [2 5],[55.45454545 14.54545455] ; [5.54545455 1.45454545],1
r4,1,0.000713,11.455126,[73  1] ; [6 2],[71.29268293  2.70731707] ; [7.70731707 0.29268293],1
s3,1,0.002074,9.482661,[56 17] ; [2 6],[52.27160494 20.72839506] ; [5.72839506 2.27160494],0
r1,1,0.009176,6.788326,[64 10] ; [4 4],[61.36585366 12.63414634] ; [6.63414634 1.36585366],0
p6,1,0.011312,6.415653,[51 22] ; [2 6],[47.7654321 25.2345679] ; [5.2345679 2.7654321],0
s8,1,0.011312,6.415653,[51 22] ; [2 6],[47.7654321 25.2345679] ; [5.2345679 2.7654321],0
p8,1,0.021988,5.246724,[62 12] ; [4 4],[59.56097561 14.43902439] ; [6.43902439 1.56097561],0
a7,1,0.029659,4.728963,[55 19] ; [3 5],[52.34146341 21.65853659] ; [5.65853659 2.34146341],0
n4,1,0.043205,4.087364,[70  4] ; [6 2],[68.58536585  5.41463415] ; [7.41463415 0.58536585],0
s2,1,0.048812,3.881803,[53 21] ; [3 5],[50.53658537 23.46341463] ; [5.46341463 2.53658537],0
v1,1,0.065271,3.398116,[51 22] ; [3 5],[48.66666667 24.33333333] ; [5.33333333 2.66666667],0
n5,1,0.079389,3.077375,[69  5] ; [6 2],[67.68292683  6.31707317] ; [7.31707317 0.68292683],0
a4,1,0.080048,3.063932,[33 41] ; [1 7],[30.68292683 43.31707317] ; [3.31707317 4.68292683],0
d1,1,0.151895,2.053117,[47 27] ; [3 5],[45.12195122 28.87804878] ; [4.87804878 3.12195122],0
p4,1,0.194502,1.683186,[65  7] ; [6 2],[63.9  8.1] ; [7.1 0.9],0
v3,1,0.215316,1.535319,[44 29] ; [3 5],[42.35802469 30.64197531] ; [4.64197531 3.35802469],0
p7,1,0.245959,1.346111,[57 14] ; [5 3],[55.72151899 15.27848101] ; [6.27848101 1.72151899],0
d3,1,0.253279,1.305125,[51 22] ; [4 4],[49.56790123 23.43209877] ; [5.43209877 2.56790123],0
d5,1,0.273571,1.198752,[58 15] ; [5 3],[56.77777778 16.22222222] ; [6.22222222 1.77777778],0
p3,1,0.273571,1.198752,[58 15] ; [5 3],[56.77777778 16.22222222] ; [6.22222222 1.77777778],0
v2,1,0.27899,1.172003,[42 31] ; [3 5],[40.55555556 32.44444444] ; [4.44444444 3.55555556],0
r3,1,0.292107,1.109884,[71  3] ; [7 1],[70.3902439  3.6097561] ; [7.6097561 0.3902439],0
p1,1,0.302766,1.061971,[22 52] ; [1 7],[20.75609756 53.24390244] ; [2.24390244 5.75609756],0
a3,1,0.311932,1.022477,[58 16] ; [5 3],[56.85365854 17.14634146] ; [6.14634146 1.85365854],0
b4,1,0.35469,0.856608,[43 31] ; [6 2],[44.2195122 29.7804878] ; [4.7804878 3.2195122],0
p2,1,0.382552,0.762484,[64 10] ; [6 2],[63.17073171 10.82926829] ; [6.82926829 1.17073171],0
a8,1,0.397824,0.714895,[11 58] ; [2 5],[11.80263158 57.19736842] ; [1.19736842 5.80263158],0
a5,1,0.417317,0.657858,[56 18] ; [5 3],[55.04878049 18.95121951] ; [5.95121951 2.04878049],0
b5,1,0.456666,0.554054,[36 38] ; [5 3],[37. 37.] ; [4. 4.],0
d4,1,0.46753,0.527808,[62 11] ; [6 2],[61.28395062 11.71604938] ; [6.71604938 1.28395062],0
p9,1,0.553466,0.351144,[69  5] ; [7 1],[68.58536585  5.41463415] ; [7.41463415 0.58536585],0
b1,1,0.605917,0.266163,[30 44] ; [4 4],[30.68292683 43.31707317] ; [3.31707317 4.68292683],0
s5,1,0.707247,0.141042,[49 22] ; [5 3],[48.53164557 22.46835443] ; [5.46835443 2.53164557],0
p11,1,0.717452,0.130948,[61 13] ; [7 1],[61.36585366 12.63414634] ; [6.63414634 1.36585366],0
b2,1,0.72704,0.121847,[26 28] ; [2 3],[25.62711864 28.37288136] ; [2.37288136 2.62711864],0
b3,1,0.72704,0.121847,[26 28] ; [2 3],[25.62711864 28.37288136] ; [2.37288136 2.62711864],0
p12,1,0.780008,0.078013,[22 52] ; [2 6],[21.65853659 52.34146341] ; [2.34146341 5.65853659],0
a1,1,0.784558,0.074739,[12 62] ; [1 7],[11.73170732 62.26829268] ; [1.26829268 6.73170732],0
p10,1,0.793332,0.068637,[66  7] ; [7 1],[65.79012346  7.20987654] ; [7.20987654 0.79012346],0
a6,1,0.844213,0.038615,[43 30] ; [5 3],[43.25925926 29.74074074] ; [4.74074074 3.25925926],0
u3,1,0.8908,0.018849,[10  6] ; [2 1],[10.10526316  5.89473684] ; [1.89473684 1.10526316],0
n3,1,0.929308,0.00787,[8 7] ; [1 1],[7.94117647 7.05882353] ; [1.05882353 0.94117647],0
u2,1,0.943209,0.005075,[11  5] ; [2 1],[10.94736842  5.05263158] ; [2.05263158 0.94736842],0
d2,1,0.970656,0.001353,[37 36] ; [4 4],[36.95061728 36.04938272] ; [4.04938272 3.95061728],0
