Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-05,19.53342,[14 57] ; [19 10],[23.43 47.57] ; [ 9.57 19.43],1
v2,1,9.2e-05,15.290801,[15 52] ; [18 10],[23.27368421 43.72631579] ; [ 9.72631579 18.27368421],1
p6,1,0.00028,13.196663,[10 61] ; [14 15],[17.04 53.96] ; [ 6.96 22.04],1
p7,1,0.000338,12.848645,[25 44] ; [22  7],[33.09183673 35.90816327] ; [13.90816327 15.09183673],1
p8,1,0.000592,11.80197,[16 54] ; [17 12],[23.33333333 46.66666667] ; [ 9.66666667 19.33333333],1
r4,1,0.000762,11.330384,[36 36] ; [25  4],[43.48514851 28.51485149] ; [17.51485149 11.48514851],1
a5,1,0.003082,8.758565,[24 48] ; [19 10],[30.65346535 41.34653465] ; [12.34653465 16.65346535],0
n4,1,0.00579,7.614534,[35 36] ; [23  6],[41.18 29.82] ; [16.82 12.18],0
p1,1,0.006685,7.355617,[ 4 68] ; [ 7 22],[ 7.84158416 64.15841584] ; [ 3.15841584 25.84158416],0
a6,1,0.010529,6.543078,[27 45] ; [19 10],[32.79207921 39.20792079] ; [13.20792079 15.79207921],0
v3,1,0.012721,6.207562,[13 57] ; [12 16],[17.85714286 52.14285714] ; [ 7.14285714 20.85714286],0
s8,1,0.015471,5.862048,[ 8 64] ; [ 9 20],[12.11881188 59.88118812] ; [ 4.88118812 24.11881188],0
s7,1,0.017462,5.649379,[ 9 58] ; [10 19],[13.26041667 53.73958333] ; [ 5.73958333 23.26041667],0
r2,1,0.019797,5.429684,[51 20] ; [27  2],[55.38 15.62] ; [22.62  6.38],0
a7,1,0.025036,5.021419,[29 42] ; [19 10],[34.08 36.92] ; [13.92 15.08],0
n6,1,0.028804,4.77931,[42 28] ; [24  5],[46.66666667 23.33333333] ; [19.33333333  9.66666667],0
p10,1,0.029986,4.710091,[32 39] ; [20  9],[36.92 34.08] ; [15.08 13.92],0
p12,1,0.038518,4.282014,[ 1 70] ; [ 3 26],[ 2.84 68.16] ; [ 1.16 27.84],0
v4,1,0.067303,3.347607,[51 19] ; [26  3],[54.44444444 15.55555556] ; [22.55555556  6.44444444],0
s5,1,0.078625,3.093093,[ 3 68] ; [ 4 24],[ 5.02020202 65.97979798] ; [ 1.97979798 26.02020202],0
s2,1,0.10745,2.591338,[12 60] ; [ 9 20],[14.97029703 57.02970297] ; [ 6.02970297 22.97029703],0
r3,1,0.118395,2.438424,[50 20] ; [25  4],[53.03030303 16.96969697] ; [21.96969697  7.03030303],0
