Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.5e-05,17.767695,[31  7] ; [16 29],[21.51807229 16.48192771] ; [25.48192771 19.51807229],1
s6,1,6.2e-05,16.045781,[33  5] ; [20 25],[24.26506024 13.73493976] ; [28.73493976 16.26506024],1
s7,1,0.001591,9.970144,[23 14] ; [12 32],[15.98765432 21.01234568] ; [19.01234568 24.98765432],0
s8,1,0.008182,6.993224,[19 19] ; [10 35],[13.27710843 24.72289157] ; [15.72289157 29.27710843],0
s5,1,0.037894,4.309764,[13 23] ; [ 7 37],[ 9. 27.] ; [11. 33.],0
n5,1,0.046324,3.96979,[26 12] ; [21 24],[21.51807229 16.48192771] ; [25.48192771 19.51807229],0
s4,1,0.063585,3.441322,[10 27] ; [ 5 40],[ 6.76829268 30.23170732] ; [ 8.23170732 36.76829268],0
n2,1,0.07776,3.111111,[11  1] ; [10  6],[9. 3.] ; [12.  4.],0
d4,1,0.103921,2.64432,[32  6] ; [31 14],[28.84337349  9.15662651] ; [34.15662651 10.84337349],0
a4,1,0.111162,2.53763,[21 17] ; [17 28],[17.39759036 20.60240964] ; [20.60240964 24.39759036],0
n6,1,0.128629,2.30897,[30  8] ; [28 16],[26.87804878 11.12195122] ; [31.12195122 12.87804878],0
a5,1,0.129948,2.293127,[28 10] ; [26 19],[24.72289157 13.27710843] ; [29.27710843 15.72289157],0
d1,1,0.132988,2.257273,[24 14] ; [21 24],[20.60240964 17.39759036] ; [24.39759036 20.60240964],0
p3,1,0.144053,2.13412,[23 15] ; [20 25],[19.68674699 18.31325301] ; [23.31325301 21.68674699],0
v1,1,0.201059,1.634665,[17 21] ; [14 31],[14.19277108 23.80722892] ; [16.80722892 28.19277108],0
a2,1,0.222088,1.490831,[ 9 29] ; [ 6 39],[ 6.86746988 31.13253012] ; [ 8.13253012 36.86746988],0
u1,1,0.226197,1.464619,[10 28] ; [ 7 38],[ 7.78313253 30.21686747] ; [ 9.21686747 35.78313253],0
a1,1,0.229294,1.445235,[ 3 35] ; [ 1 44],[ 1.8313253 36.1686747] ; [ 2.1686747 42.8313253],0
v4,1,0.285432,1.141042,[35  3] ; [38  7],[33.42168675  4.57831325] ; [39.57831325  5.42168675],0
p8,1,0.288455,1.126817,[20 18] ; [18 26],[17.6097561 20.3902439] ; [20.3902439 23.6097561],0
p2,1,0.300944,1.070006,[30  8] ; [31 14],[27.92771084 10.07228916] ; [33.07228916 11.92771084],0
v3,1,0.319699,0.990176,[13 24] ; [11 33],[10.96296296 26.03703704] ; [13.03703704 30.96296296],0
p5,1,0.334649,0.930824,[ 5 33] ; [ 3 41],[ 3.70731707 34.29268293] ; [ 4.29268293 39.70731707],0
s1,1,0.339487,0.912369,[ 2 36] ; [ 5 40],[ 3.20481928 34.79518072] ; [ 3.79518072 41.20481928],0
a8,1,0.392715,0.730519,[ 3 32] ; [ 6 34],[ 4.2 30.8] ; [ 4.8 35.2],0
p6,1,0.410454,0.677485,[16 22] ; [15 30],[14.19277108 23.80722892] ; [16.80722892 28.19277108],0
a7,1,0.42596,0.633815,[23 15] ; [31 14],[24.72289157 13.27710843] ; [29.27710843 15.72289157],0
b5,1,0.42596,0.633815,[23 15] ; [31 14],[24.72289157 13.27710843] ; [29.27710843 15.72289157],0
d3,1,0.451335,0.567297,[29  9] ; [31 14],[27.46987952 10.53012048] ; [32.53012048 12.46987952],0
a3,1,0.510032,0.434002,[23 15] ; [24 21],[21.51807229 16.48192771] ; [25.48192771 19.51807229],0
r2,1,0.530438,0.393553,[33  4] ; [38  7],[32.03658537  4.96341463] ; [38.96341463  6.03658537],0
p9,1,0.541332,0.373076,[16 22] ; [16 29],[14.65060241 23.34939759] ; [17.34939759 27.65060241],0
b1,1,0.562567,0.335279,[21 17] ; [22 23],[19.68674699 18.31325301] ; [23.31325301 21.68674699],0
p11,1,0.562567,0.335279,[17 21] ; [23 22],[18.31325301 19.68674699] ; [21.68674699 23.31325301],0
n4,1,0.586963,0.295112,[25 13] ; [27 18],[23.80722892 14.19277108] ; [28.19277108 16.80722892],0
v2,1,0.596743,0.279936,[19 18] ; [20 24],[17.81481481 19.18518519] ; [21.18518519 22.81481481],0
b4,1,0.61779,0.248985,[24 14] ; [26 19],[22.89156627 15.10843373] ; [27.10843373 17.89156627],0
r4,1,0.684906,0.164656,[29  9] ; [36  9],[29.75903614  8.24096386] ; [35.24096386  9.75903614],0
d5,1,0.714037,0.134278,[30  8] ; [34 11],[29.30120482  8.69879518] ; [34.69879518 10.30120482],0
u2,1,0.761922,0.091783,[6 9] ; [ 7 13],[5.57142857 9.42857143] ; [ 7.42857143 12.57142857],0
