Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,36.746863,[69 69] ; [ 25 126],[44.88581315 93.11418685] ; [ 49.11418685 101.88581315],1
p3,1,2e-06,23.004976,[49 92] ; [ 17 134],[ 31.86986301 109.13013699] ; [ 34.13013699 116.86986301],1
p6,1,2.7e-05,17.606334,[ 35 103] ; [ 11 140],[ 21.96539792 116.03460208] ; [ 24.03460208 126.96539792],1
p2,1,5.7e-05,16.207679,[116  25] ; [92 59],[100.43835616  40.56164384] ; [107.56164384  43.43835616],1
a8,1,0.000834,11.163852,[31 98] ; [ 13 130],[ 20.86764706 108.13235294] ; [ 23.13235294 119.86764706],1
p10,1,0.003335,8.614561,[109  31] ; [93 57],[97.51724138 42.48275862] ; [104.48275862  45.51724138],0
r3,1,0.003374,8.593338,[137   3] ; [134  16],[130.82758621   9.17241379] ; [140.17241379   9.82758621],0
p11,1,0.019718,5.436687,[109  32] ; [98 53],[99.95547945 41.04452055] ; [107.04452055  43.95547945],0
v2,1,0.02031,5.385067,[84 52] ; [67 73],[74.4057971 61.5942029] ; [76.5942029 63.4057971],0
r4,1,0.022365,5.217152,[134   7] ; [132  19],[128.44520548  12.55479452] ; [137.55479452  13.44520548],0
n6,1,0.023768,5.111513,[114  25] ; [106  44],[105.81314879  33.18685121] ; [114.18685121  35.81314879],0
s5,1,0.028843,4.776977,[46 93] ; [ 31 113],[ 37.81978799 101.18021201] ; [ 39.18021201 104.81978799],0
v4,1,0.033446,4.522777,[133   5] ; [135  15],[128.41666667   9.58333333] ; [139.58333333  10.41666667],0
s2,1,0.043391,4.080119,[68 73] ; [54 94],[59.52249135 81.47750865] ; [62.47750865 85.52249135],0
s7,1,0.053437,3.730196,[62 74] ; [49 94],[54.10752688 81.89247312] ; [56.89247312 86.10752688],0
p9,1,0.066088,3.377594,[108  30] ; [103  47],[101.10416667  36.89583333] ; [109.89583333  40.10416667],0
v1,1,0.085495,2.957219,[70 69] ; [60 89],[62.74305556 76.25694444] ; [67.25694444 81.74305556],0
s6,1,0.090488,2.865669,[85 53] ; [77 72],[77.89547038 60.10452962] ; [84.10452962 64.89547038],0
s8,1,0.102693,2.663221,[57 82] ; [ 48 103],[50.32758621 88.67241379] ; [54.67241379 96.32758621],0
a6,1,0.104996,2.627974,[86 53] ; [107  44],[92.50689655 46.49310345] ; [100.49310345  50.50689655],0
b4,1,0.117148,2.455045,[75 66] ; [94 57],[81.60616438 59.39383562] ; [87.39383562 63.60616438],0
s3,1,0.12115,2.402392,[79 61] ; [70 78],[72.43055556 67.56944444] ; [76.56944444 71.43055556],0
n3,1,0.139622,2.182124,[28  7] ; [34 18],[24.94252874 10.05747126] ; [37.05747126 14.94252874],0
n5,1,0.223509,1.481698,[93 46] ; [90 60],[88.01730104 50.98269896] ; [94.98269896 55.01730104],0
n1,1,0.225989,1.465932,[11 22] ; [26 30],[13.71910112 19.28089888] ; [23.28089888 32.71910112],0
s4,1,0.249692,1.325024,[ 16 124] ; [ 24 125],[ 19.37716263 120.62283737] ; [ 20.62283737 128.37716263],0
u3,1,0.327349,0.959358,[20 20] ; [29 19],[22.27272727 17.72727273] ; [26.72727273 21.27272727],0
a4,1,0.332863,0.937729,[56 85] ; [68 82],[60.08247423 80.91752577] ; [63.91752577 86.08247423],0
b1,1,0.34007,0.910169,[60 81] ; [56 95],[56.01369863 84.98630137] ; [59.98630137 91.01369863],0
v3,1,0.375861,0.784195,[50 89] ; [44 98],[46.49822064 92.50177936] ; [47.50177936 94.49822064],0
n4,1,0.394013,0.72652,[101  39] ; [102  49],[97.66323024 42.33676976] ; [105.33676976  45.66323024],0
d3,1,0.452314,0.564848,[83 57] ; [96 55],[86.11683849 53.88316151] ; [92.88316151 58.11683849],0
a2,1,0.467749,0.527288,[ 26 115] ; [ 33 118],[ 28.48972603 112.51027397] ; [ 30.51027397 120.48972603],0
n2,1,0.483216,0.491597,[26  8] ; [39 17],[24.55555556  9.44444444] ; [40.44444444 15.55555556],0
a7,1,0.538258,0.378778,[93 48] ; [104  46],[95.45360825 45.54639175] ; [101.54639175  48.45360825],0
u2,1,0.541745,0.372315,[19 20] ; [26 21],[20.40697674 18.59302326] ; [24.59302326 22.40697674],0
a3,1,0.573956,0.316108,[101  39] ; [103  46],[98.82352941 41.17647059] ; [105.17647059  43.82352941],0
a1,1,0.639271,0.219697,[  5 136] ; [  7 144],[  5.79452055 135.20547945] ; [  6.20547945 144.79452055],0
p1,1,0.639817,0.218982,[  5 135] ; [  7 143],[  5.79310345 134.20689655] ; [  6.20689655 143.79310345],0
p5,1,0.664964,0.18755,[  5 136] ; [  4 146],[  4.36082474 136.63917526] ; [  4.63917526 145.36082474],0
u1,1,0.687664,0.161626,[ 20 121] ; [ 19 132],[ 18.83219178 122.16780822] ; [ 20.16780822 130.83219178],0
d2,1,0.710856,0.137423,[59 81] ; [60 90],[57.44827586 82.55172414] ; [61.55172414 88.44827586],0
b5,1,0.724733,0.124002,[84 57] ; [93 58],[85.46917808 55.53082192] ; [91.53082192 59.46917808],0
b2,1,0.734006,0.115465,[28 50] ; [27 54],[26.98113208 51.01886792] ; [28.01886792 52.98113208],0
b3,1,0.734006,0.115465,[28 50] ; [27 54],[26.98113208 51.01886792] ; [28.01886792 52.98113208],0
d5,1,0.761741,0.091927,[106  34] ; [112  39],[104.87972509  35.12027491] ; [113.12027491  37.87972509],0
s1,1,0.876186,0.024276,[  6 133] ; [  7 142],[  6.27430556 132.72569444] ; [  6.72569444 142.27430556],0
r2,1,0.895585,0.017224,[133   6] ; [144   7],[132.76896552   6.23103448] ; [144.23103448   6.76896552],0
p12,1,0.898821,0.016167,[  7 132] ; [  8 141],[  7.23958333 131.76041667] ; [  7.76041667 141.23958333],0
a5,1,0.914746,0.011461,[97 44] ; [103  48],[96.57534247 44.42465753] ; [103.42465753  47.57534247],0
