Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2.1e-05,18.126732,[1 5] ; [51  7],[4.875 1.125] ; [47.125 10.875],1
r4,1,0.007815,7.075444,[3 3] ; [52  6],[5.15625 0.84375] ; [49.84375  8.15625],0
r1,1,0.008644,6.894925,[2 4] ; [47 11],[4.59375 1.40625] ; [44.40625 13.59375],0
r3,1,0.034435,4.472982,[4 2] ; [54  4],[5.4375 0.5625] ; [52.5625  5.4375],0
p3,1,0.040061,4.215289,[1 5] ; [35 23],[3.375 2.625] ; [32.625 25.375],0
s1,1,0.049917,3.844246,[1 5] ; [ 1 55],[0.19354839 5.80645161] ; [ 1.80645161 54.19354839],0
a5,1,0.106646,2.603237,[3 3] ; [46 12],[4.59375 1.40625] ; [44.40625 13.59375],0
v4,1,0.144771,2.1265,[5 1] ; [56  2],[5.71875 0.28125] ; [55.28125  2.71875],0
n6,1,0.153764,2.034506,[4 2] ; [51  7],[5.15625 0.84375] ; [49.84375  8.15625],0
s5,1,0.162209,1.953512,[2 2] ; [11 44],[0.88135593 3.11864407] ; [12.11864407 42.88135593],0
a6,1,0.172461,1.861417,[2 4] ; [36 22],[3.5625 2.4375] ; [34.4375 23.5625],0
b4,1,0.172461,1.861417,[2 4] ; [36 22],[3.5625 2.4375] ; [34.4375 23.5625],0
p6,1,0.184034,1.764745,[4 2] ; [22 35],[2.47619048 3.52380952] ; [23.52380952 33.47619048],0
p7,1,0.187401,1.737931,[2 3] ; [40 18],[3.33333333 1.66666667] ; [38.66666667 19.33333333],0
u3,1,0.198211,1.65551,[4 1] ; [3 4],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
b3,1,0.206571,1.595296,[1 3] ; [26 19],[2.20408163 1.79591837] ; [24.79591837 20.20408163],0
b2,1,0.206571,1.595296,[1 3] ; [26 19],[2.20408163 1.79591837] ; [24.79591837 20.20408163],0
p2,1,0.209512,1.574798,[4 2] ; [50  8],[5.0625 0.9375] ; [48.9375  9.0625],0
p11,1,0.209512,1.574798,[4 2] ; [50  8],[5.0625 0.9375] ; [48.9375  9.0625],0
d2,1,0.234579,1.412881,[2 4] ; [34 24],[3.375 2.625] ; [32.625 25.375],0
u1,1,0.270819,1.212594,[2 4] ; [ 9 49],[1.03125 4.96875] ; [ 9.96875 48.03125],0
r2,1,0.298315,1.081712,[4 1] ; [54  4],[4.6031746 0.3968254] ; [53.3968254  4.6031746],0
v2,1,0.312567,1.019798,[3 3] ; [40 17],[4.0952381 1.9047619] ; [38.9047619 18.0952381],0
n4,1,0.33636,0.924256,[4 2] ; [48 10],[4.875 1.125] ; [47.125 10.875],0
d1,1,0.397286,0.716525,[3 3] ; [39 19],[3.9375 2.0625] ; [38.0625 19.9375],0
d3,1,0.418195,0.655381,[5 1] ; [39 19],[4.125 1.875] ; [39.875 18.125],0
a7,1,0.46337,0.537743,[5 1] ; [40 18],[4.21875 1.78125] ; [40.78125 17.21875],0
s2,1,0.491171,0.473961,[3 3] ; [20 36],[2.22580645 3.77419355] ; [20.77419355 35.22580645],0
n5,1,0.491297,0.473684,[4 2] ; [45 12],[4.66666667 1.33333333] ; [44.33333333 12.66666667],0
a4,1,0.53579,0.383398,[2 4] ; [27 31],[2.71875 3.28125] ; [26.28125 31.71875],0
p4,1,0.564055,0.332732,[3 3] ; [36 22],[3.65625 2.34375] ; [35.34375 22.65625],0
s3,1,0.61113,0.258533,[3 3] ; [22 34],[2.41935484 3.58064516] ; [22.58064516 33.41935484],0
p8,1,0.623312,0.24124,[3 3] ; [35 23],[3.5625 2.4375] ; [34.4375 23.5625],0
v1,1,0.683977,0.165683,[3 3] ; [34 24],[3.46875 2.53125] ; [33.53125 24.46875],0
d5,1,0.693243,0.155597,[4 2] ; [43 15],[4.40625 1.59375] ; [42.59375 15.40625],0
s7,1,0.765709,0.0888,[3 3] ; [31 24],[3.3442623 2.6557377] ; [30.6557377 24.3442623],0
a2,1,0.81563,0.054368,[1 5] ; [12 46],[1.21875 4.78125] ; [11.78125 46.21875],0
p10,1,0.87592,0.024381,[5 1] ; [46 11],[4.85714286 1.14285714] ; [46.14285714 10.85714286],0
b1,1,0.888936,0.019502,[2 4] ; [21 37],[2.15625 3.84375] ; [20.84375 37.15625],0
u2,1,0.921159,0.009796,[3 2] ; [4 3],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
b5,1,0.935881,0.006472,[3 3] ; [28 30],[2.90625 3.09375] ; [28.09375 29.90625],0
d4,1,0.971664,0.001262,[5 1] ; [48 10],[4.96875 1.03125] ; [48.03125  9.96875],0
