Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.3e-05,17.949474,[48 12] ; [ 9 18],[39.31034483 20.68965517] ; [17.68965517  9.31034483],1
a7,1,0.002973,8.823662,[45 16] ; [11 16],[38.81818182 22.18181818] ; [17.18181818  9.81818182],0
p11,1,0.018093,5.587167,[47 14] ; [14 13],[42.28409091 18.71590909] ; [18.71590909  8.28409091],0
s8,1,0.029031,4.765775,[26 35] ; [ 5 22],[21.48863636 39.51136364] ; [ 9.51136364 17.48863636],0
a3,1,0.029851,4.717878,[44 17] ; [13 14],[39.51136364 21.48863636] ; [17.48863636  9.51136364],0
a5,1,0.030111,4.70293,[42 19] ; [12 15],[37.43181818 23.56818182] ; [16.56818182 10.43181818],0
n5,1,0.030949,4.655788,[35 25] ; [ 9 18],[30.34482759 29.65517241] ; [13.65517241 13.34482759],0
p4,1,0.050518,3.824176,[40 20] ; [12 15],[35.86206897 24.13793103] ; [16.13793103 10.86206897],0
n4,1,0.056949,3.624091,[36 25] ; [10 17],[31.88636364 29.11363636] ; [14.11363636 12.88636364],0
d5,1,0.06554,3.391325,[47 13] ; [16 11],[43.44827586 16.55172414] ; [19.55172414  7.44827586],0
p3,1,0.083822,2.989183,[32 28] ; [ 9 18],[28.27586207 31.72413793] ; [12.72413793 14.27586207],0
b5,1,0.09138,2.849898,[43 18] ; [14 13],[39.51136364 21.48863636] ; [17.48863636  9.51136364],0
s7,1,0.1108,2.542767,[25 32] ; [ 6 18],[21.81481481 35.18518519] ; [ 9.18518519 14.81481481],0
d2,1,0.138085,2.199167,[21 39] ; [14 13],[24.13793103 35.86206897] ; [10.86206897 16.13793103],0
d4,1,0.150868,2.063455,[46 14] ; [16 10],[43.25581395 16.74418605] ; [18.74418605  7.25581395],0
b1,1,0.154162,2.030577,[38 23] ; [21  6],[40.89772727 20.10227273] ; [18.10227273  8.89772727],0
d3,1,0.155689,2.015609,[40 19] ; [14 13],[37.04651163 21.95348837] ; [16.95348837 10.04651163],0
s6,1,0.16482,1.929434,[39 22] ; [13 14],[36.04545455 24.95454545] ; [15.95454545 11.04545455],0
a8,1,0.16648,1.914355,[ 8 47] ; [ 1 24],[ 6.1875 48.8125] ; [ 2.8125 22.1875],0
r2,1,0.179747,1.799716,[49 10] ; [19  8],[46.65116279 12.34883721] ; [21.34883721  5.65116279],0
d1,1,0.231967,1.428759,[31 30] ; [10 17],[28.42045455 32.57954545] ; [12.57954545 14.42045455],0
u2,1,0.238514,1.389356,[15  2] ; [10  4],[13.70967742  3.29032258] ; [11.29032258  2.70967742],0
a2,1,0.252567,1.309047,[13 48] ; [ 3 24],[11.09090909 49.90909091] ; [ 4.90909091 22.09090909],0
b4,1,0.291401,1.113135,[31 30] ; [17 10],[33.27272727 27.72727273] ; [14.72727273 12.27272727],0
s1,1,0.298022,1.083025,[ 3 57] ; [ 3 24],[ 4.13793103 55.86206897] ; [ 1.86206897 25.13793103],0
r1,1,0.305465,1.050181,[45 16] ; [17 10],[42.97727273 18.02272727] ; [19.02272727  7.97727273],0
r4,1,0.305465,1.050181,[45 16] ; [17 10],[42.97727273 18.02272727] ; [19.02272727  7.97727273],0
a6,1,0.325513,0.966667,[42 18] ; [16 11],[40. 20.] ; [18.  9.],0
v4,1,0.326544,0.962556,[55  5] ; [22  4],[53.72093023  6.27906977] ; [23.27906977  2.72093023],0
p2,1,0.331983,0.941145,[49 10] ; [20  7],[47.3372093 11.6627907] ; [21.6627907  5.3372093],0
v2,1,0.342487,0.901099,[30 26] ; [11 15],[28. 28.] ; [13. 13.],0
r3,1,0.34471,0.892838,[56  5] ; [23  4],[54.76136364  6.23863636] ; [24.23863636  2.76136364],0
v1,1,0.347006,0.884375,[26 33] ; [ 9 18],[24.01162791 34.98837209] ; [10.98837209 16.01162791],0
s3,1,0.366472,0.815594,[31 28] ; [17 10],[32.93023256 26.06976744] ; [15.06976744 11.93023256],0
n2,1,0.372929,0.793882,[13  2] ; [8 3],[12.11538462  2.88461538] ; [8.88461538 2.11538462],0
v3,1,0.409335,0.680731,[15 41] ; [ 5 22],[13.4939759 42.5060241] ; [ 6.5060241 20.4939759],0
s4,1,0.513246,0.427444,[10 51] ; [ 6 21],[11.09090909 49.90909091] ; [ 4.90909091 22.09090909],0
a4,1,0.556943,0.345026,[22 39] ; [ 8 19],[20.79545455 40.20454545] ; [ 9.20454545 17.79545455],0
u1,1,0.561368,0.337341,[ 7 54] ; [ 2 25],[ 6.23863636 54.76136364] ; [ 2.76136364 24.23863636],0
s5,1,0.615048,0.25289,[14 46] ; [ 5 22],[13.10344828 46.89655172] ; [ 5.89655172 21.10344828],0
p1,1,0.800882,0.063608,[ 3 58] ; [ 1 26],[ 2.77272727 58.22727273] ; [ 1.22727273 25.77272727],0
s2,1,0.8314,0.045329,[23 37] ; [11 16],[23.44827586 36.55172414] ; [10.55172414 16.44827586],0
n1,1,0.855702,0.033069,[ 4 11] ; [3 7],[ 4.2 10.8] ; [2.8 7.2],0
u3,1,0.919347,0.010253,[10  6] ; [9 5],[10.13333333  5.86666667] ; [8.86666667 5.13333333],0
p8,1,0.921365,0.009744,[33 27] ; [14 12],[32.79069767 27.20930233] ; [14.20930233 11.79069767],0
n3,1,0.972542,0.001185,[11  4] ; [8 3],[10.96153846  4.03846154] ; [8.03846154 2.96153846],0
p6,1,0.99057,0.00014,[20 38] ; [ 9 17],[20.02380952 37.97619048] ; [ 8.97619048 17.02380952],0
