Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4e-06,21.19151,[ 3 26] ; [28 15],[12.48611111 16.51388889] ; [18.51388889 24.48611111],1
p3,1,8e-06,20.04051,[ 6 25] ; [31 12],[15.5 15.5] ; [21.5 21.5],1
p8,1,0.000433,12.383292,[ 6 22] ; [27 15],[13.2 14.8] ; [19.8 22.2],1
d1,1,0.00106,10.718903,[13 18] ; [34  9],[19.68918919 11.31081081] ; [27.31081081 15.68918919],0
p2,1,0.001188,10.508283,[16 15] ; [37  6],[22.2027027  8.7972973] ; [30.7972973 12.2027027],0
n5,1,0.002765,8.956239,[15 16] ; [35  8],[20.94594595 10.05405405] ; [29.05405405 13.94594595],0
p7,1,0.003115,8.738607,[14 15] ; [35  8],[19.73611111  9.26388889] ; [29.26388889 13.73611111],0
a2,1,0.007112,7.244561,[ 2 29] ; [14 29],[ 6.7027027 24.2972973] ; [ 9.2972973 33.7027027],0
b4,1,0.021728,5.267432,[15 16] ; [32 11],[19.68918919 11.31081081] ; [27.31081081 15.68918919],0
d2,1,0.024518,5.057641,[12 19] ; [28 15],[16.75675676 14.24324324] ; [23.24324324 19.75675676],0
a5,1,0.02628,4.937517,[17 14] ; [34  9],[21.36486486  9.63513514] ; [29.63513514 13.36486486],0
n4,1,0.047026,3.944446,[17 14] ; [33 10],[20.94594595 10.05405405] ; [29.05405405 13.94594595],0
u1,1,0.080388,3.057044,[ 4 27] ; [13 30],[ 7.12162162 23.87837838] ; [ 9.87837838 33.12162162],0
p11,1,0.086717,2.934285,[18 13] ; [33 10],[21.36486486  9.63513514] ; [29.63513514 13.36486486],0
a3,1,0.094171,2.80158,[19 12] ; [34  9],[22.2027027  8.7972973] ; [30.7972973 12.2027027],0
s6,1,0.094359,2.798383,[22  7] ; [38  4],[24.50704225  4.49295775] ; [35.49295775  6.50704225],0
a4,1,0.099087,2.72018,[12 19] ; [25 18],[15.5 15.5] ; [21.5 21.5],0
a6,1,0.099516,2.713283,[15 16] ; [29 14],[18.43243243 12.56756757] ; [25.56756757 17.43243243],0
r1,1,0.111399,2.534256,[22  9] ; [37  6],[24.71621622  6.28378378] ; [34.28378378  8.71621622],0
n6,1,0.123222,2.375885,[24  7] ; [38  4],[26.32876712  4.67123288] ; [35.67123288  6.32876712],0
s5,1,0.144895,2.125188,[12 15] ; [25 15],[14.91044776 12.08955224] ; [22.08955224 17.91044776],0
a8,1,0.161666,1.958569,[ 4 22] ; [ 2 37],[ 2.4 23.6] ; [ 3.6 35.4],0
u2,1,0.194567,1.682692,[6 6] ; [2 7],[4.57142857 7.42857143] ; [3.42857143 5.57142857],0
r4,1,0.210949,1.564903,[26  5] ; [40  3],[27.64864865  3.35135135] ; [38.35135135  4.64864865],0
s8,1,0.238769,1.387847,[13 18] ; [24 19],[15.5 15.5] ; [21.5 21.5],0
v1,1,0.249922,1.323742,[15 16] ; [26 16],[17.4109589 13.5890411] ; [23.5890411 18.4109589],0
u3,1,0.308512,1.037037,[8 4] ; [4 5],[6.85714286 5.14285714] ; [5.14285714 3.85714286],0
b1,1,0.350443,0.871853,[ 9 22] ; [17 26],[10.89189189 20.10810811] ; [15.10810811 27.89189189],0
d5,1,0.356594,0.849851,[25  6] ; [38  5],[26.39189189  4.60810811] ; [36.60810811  6.39189189],0
a1,1,0.374584,0.788401,[ 2 29] ; [ 1 42],[ 1.25675676 29.74324324] ; [ 1.74324324 41.25675676],0
n1,1,0.437558,0.602679,[1 7] ; [2 5],[1.6 6.4] ; [1.4 5.6],0
d3,1,0.457783,0.55131,[23  8] ; [35  8],[24.2972973  6.7027027] ; [33.7027027  9.2972973],0
s7,1,0.467036,0.52898,[16 14] ; [26 16],[17.5 12.5] ; [24.5 17.5],0
v4,1,0.481413,0.49566,[30  1] ; [40  3],[29.32432432  1.67567568] ; [40.67567568  2.32432432],0
n3,1,0.604773,0.267857,[6 2] ; [6 1],[6.4 1.6] ; [5.6 1.4],0
d4,1,0.622591,0.242242,[27  4] ; [39  4],[27.64864865  3.35135135] ; [38.35135135  4.64864865],0
v3,1,0.640236,0.218434,[13 18] ; [19 21],[13.97183099 17.02816901] ; [18.02816901 21.97183099],0
r2,1,0.657581,0.196476,[29  2] ; [39  4],[28.48648649  2.51351351] ; [39.51351351  3.48648649],0
a7,1,0.766584,0.088117,[24  7] ; [32 11],[23.45945946  7.54054054] ; [32.54054054 10.45945946],0
r3,1,0.780195,0.077877,[29  1] ; [41  2],[28.76712329  1.23287671] ; [41.23287671  1.76712329],0
s2,1,0.859724,0.031232,[22  9] ; [29 13],[21.65753425  9.34246575] ; [29.34246575 12.65753425],0
n2,1,0.875996,0.024351,[6 2] ; [5 2],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
p9,1,0.883571,0.021446,[26  3] ; [39  4],[26.18055556  2.81944444] ; [38.81944444  4.18055556],0
b5,1,0.895536,0.01724,[19 12] ; [27 16],[19.27027027 11.72972973] ; [26.72972973 16.27027027],0
s3,1,0.965707,0.001848,[22  9] ; [30 12],[22.08219178  8.91780822] ; [29.91780822 12.08219178],0
b2,1,0.982244,0.000495,[ 3 11] ; [ 5 18],[ 3.02702703 10.97297297] ; [ 4.97297297 18.02702703],0
b3,1,0.982244,0.000495,[ 3 11] ; [ 5 18],[ 3.02702703 10.97297297] ; [ 4.97297297 18.02702703],0
p10,1,0.984601,0.000373,[25  4] ; [37  6],[24.97222222  4.02777778] ; [37.02777778  5.97222222],0
