Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000752,11.355,[ 4 11] ; [27  8],[9.3 5.7] ; [21.7 13.3],1
p8,1,0.027454,4.862016,[ 4 10] ; [ 2 33],[ 1.71428571 12.28571429] ; [ 4.28571429 30.71428571],0
b1,1,0.030754,4.666667,[ 4 11] ; [21 14],[7.5 7.5] ; [17.5 17.5],0
p11,1,0.091368,2.850106,[9 6] ; [12 23],[6.3 8.7] ; [14.7 20.3],0
r3,1,0.128223,2.313889,[11  4] ; [17 17],[8.57142857 6.42857143] ; [19.42857143 14.57142857],0
b4,1,0.171285,1.871658,[12  3] ; [21 14],[9.9 5.1] ; [23.1 11.9],0
s5,1,0.193348,1.691918,[ 4 11] ; [ 4 30],[ 2.44897959 12.55102041] ; [ 5.55102041 28.44897959],0
s6,1,0.216021,1.530612,[6 9] ; [ 8 27],[ 4.2 10.8] ; [ 9.8 25.2],0
d4,1,0.233722,1.418067,[12  3] ; [22 13],[10.2  4.8] ; [23.8 11.2],0
s4,1,0.254451,1.298701,[ 3 12] ; [ 3 32],[ 1.8 13.2] ; [ 4.2 30.8],0
s7,1,0.334038,0.93318,[ 4 10] ; [ 5 26],[ 2.8 11.2] ; [ 6.2 24.8],0
a5,1,0.354539,0.857143,[6 9] ; [19 16],[7.5 7.5] ; [17.5 17.5],0
a7,1,0.354539,0.857143,[9 6] ; [16 19],[7.5 7.5] ; [17.5 17.5],0
n1,1,0.363722,0.825,[1 3] ; [9 9],[1.81818182 2.18181818] ; [8.18181818 9.81818182],0
r2,1,0.429795,0.623377,[10  5] ; [18 15],[8.75 6.25] ; [19.25 13.75],0
b2,1,0.457459,0.552105,[3 6] ; [11 12],[3.9375 5.0625] ; [10.0625 12.9375],0
b3,1,0.457459,0.552105,[3 6] ; [11 12],[3.9375 5.0625] ; [10.0625 12.9375],0
n6,1,0.51799,0.417893,[6 9] ; [17 17],[7.04081633 7.95918367] ; [15.95918367 18.04081633],0
p4,1,0.573919,0.31617,[ 2 13] ; [ 7 28],[ 2.7 12.3] ; [ 6.3 28.7],0
a3,1,0.579965,0.306291,[8 7] ; [21 13],[8.87755102 6.12244898] ; [20.12244898 13.87755102],0
u3,1,0.599126,0.276316,[1 6] ; [ 1 13],[0.66666667 6.33333333] ; [ 1.33333333 12.66666667],0
s8,1,0.607011,0.26455,[ 1 14] ; [ 4 31],[ 1.5 13.5] ; [ 3.5 31.5],0
d3,1,0.621189,0.2442,[8 7] ; [16 19],[7.2 7.8] ; [16.8 18.2],0
v1,1,0.627364,0.235652,[ 3 12] ; [ 9 25],[ 3.67346939 11.32653061] ; [ 8.32653061 25.67346939],0
s3,1,0.668513,0.183346,[ 5 10] ; [ 9 24],[ 4.375 10.625] ; [ 9.625 23.375],0
u2,1,0.694354,0.154412,[1 6] ; [ 3 11],[1.33333333 5.66666667] ; [ 2.66666667 11.33333333],0
d5,1,0.699676,0.14881,[9 6] ; [23 12],[9.6 5.4] ; [22.4 12.6],0
a6,1,0.709131,0.139147,[6 9] ; [16 19],[6.6 8.4] ; [15.4 19.6],0
n3,1,0.718816,0.12963,[1 2] ; [ 8 10],[1.28571429 1.71428571] ; [ 7.71428571 10.28571429],0
p1,1,0.73633,0.113379,[ 2 13] ; [ 6 29],[ 2.4 12.6] ; [ 5.6 29.4],0
v2,1,0.752819,0.099178,[6 9] ; [12 22],[5.51020408 9.48979592] ; [12.48979592 21.51020408],0
r4,1,0.772553,0.083542,[ 4 11] ; [ 8 27],[ 3.6 11.4] ; [ 8.4 26.6],0
s2,1,0.784933,0.074472,[ 3 12] ; [ 8 26],[ 3.36734694 11.63265306] ; [ 7.63265306 26.36734694],0
d1,1,0.803606,0.061843,[7 8] ; [15 20],[6.6 8.4] ; [15.4 19.6],0
s1,1,0.820029,0.05176,[ 1 14] ; [ 3 32],[ 1.2 13.8] ; [ 2.8 32.2],0
v3,1,0.82315,0.04995,[ 3 12] ; [ 8 27],[ 3.3 11.7] ; [ 7.7 27.3],0
d2,1,0.829672,0.046278,[7 8] ; [17 17],[7.34693878 7.65306122] ; [16.65306122 17.34693878],0
b5,1,0.84873,0.036381,[6 9] ; [13 22],[5.7 9.3] ; [13.3 21.7],0
a2,1,0.849361,0.036075,[ 2 13] ; [ 4 31],[ 1.8 13.2] ; [ 4.2 30.8],0
a4,1,0.894275,0.017661,[ 5 10] ; [12 22],[5.20408163 9.79591837] ; [11.79591837 22.20408163],0
u1,1,0.896608,0.016886,[ 1 14] ; [ 2 33],[ 0.9 14.1] ; [ 2.1 32.9],0
p3,1,0.92913,0.00791,[ 2 13] ; [ 5 30],[ 2.1 12.9] ; [ 4.9 30.1],0
p2,1,0.948057,0.004244,[ 5 10] ; [12 23],[5.1 9.9] ; [11.9 23.1],0
p9,1,0.967535,0.001656,[6 9] ; [13 19],[6.06382979 8.93617021] ; [12.93617021 19.06382979],0
r1,1,1.0,0.0,[6 9] ; [14 21],[6. 9.] ; [14. 21.],0
p10,1,1.0,0.0,[ 5 10] ; [11 22],[ 5. 10.] ; [11. 22.],0
