Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,23.185465,[ 6 76] ; [14 16],[14.64285714 67.35714286] ; [ 5.35714286 24.64285714],1
v2,1,0.061817,3.487962,[30 48] ; [17 12],[34.26168224 43.73831776] ; [12.73831776 16.26168224],0
n5,1,0.129341,2.300395,[29 54] ; [ 6 24],[25.7079646 57.2920354] ; [ 9.2920354 20.7079646],0
s6,1,0.131089,2.279563,[36 46] ; [18 12],[39.53571429 42.46428571] ; [14.46428571 15.53571429],0
u3,1,0.140131,2.176515,[21 15] ; [12  3],[23.29411765 12.70588235] ; [9.70588235 5.29411765],0
s2,1,0.143422,2.140849,[26 56] ; [14 16],[29.28571429 52.71428571] ; [10.71428571 19.28571429],0
v3,1,0.151574,2.056342,[15 64] ; [ 9 19],[17.71962617 61.28037383] ; [ 6.28037383 21.71962617],0
d3,1,0.164897,1.92873,[49 34] ; [22  8],[52.15044248 30.84955752] ; [18.84955752 11.15044248],0
p9,1,0.179643,1.800576,[57 22] ; [17 12],[54.12962963 24.87037037] ; [19.87037037  9.12962963],0
r1,1,0.200189,1.640992,[49 34] ; [21  8],[51.875 31.125] ; [18.125 10.875],0
p10,1,0.207562,1.588349,[50 31] ; [14 15],[47.12727273 33.87272727] ; [16.87272727 12.12727273],0
v4,1,0.21328,1.549023,[70 13] ; [28  2],[71.98230088 11.01769912] ; [26.01769912  3.98230088],0
p8,1,0.237839,1.393359,[16 66] ; [ 9 21],[18.30357143 63.69642857] ; [ 6.69642857 23.30357143],0
a5,1,0.255951,1.290525,[37 46] ; [17 13],[39.66371681 43.33628319] ; [14.33628319 15.66371681],0
p11,1,0.255951,1.290525,[46 37] ; [13 17],[43.33628319 39.66371681] ; [15.66371681 14.33628319],0
s4,1,0.265118,1.241831,[19 64] ; [ 4 26],[16.89380531 66.10619469] ; [ 6.10619469 23.89380531],0
d5,1,0.278757,1.173138,[61 22] ; [25  5],[63.16814159 19.83185841] ; [22.83185841  7.16814159],0
p5,1,0.285674,1.139898,[ 2 80] ; [ 2 28],[ 2.92857143 79.07142857] ; [ 1.07142857 28.92857143],0
p2,1,0.329323,0.951557,[44 39] ; [19 11],[46.27433628 36.72566372] ; [16.72566372 13.27433628],0
d4,1,0.335541,0.927392,[62 21] ; [25  5],[63.90265487 19.09734513] ; [23.09734513  6.90265487],0
v1,1,0.343723,0.896496,[29 54] ; [13 16],[31.125 51.875] ; [10.875 18.125],0
d1,1,0.363503,0.825753,[39 44] ; [17 13],[41.13274336 41.86725664] ; [14.86725664 15.13274336],0
s5,1,0.421469,0.646216,[19 62] ; [ 9 20],[20.61818182 60.38181818] ; [ 7.38181818 21.61818182],0
b5,1,0.438263,0.600827,[51 32] ; [16 14],[49.21238938 33.78761062] ; [17.78761062 12.21238938],0
p1,1,0.448096,0.575465,[ 6 77] ; [ 1 29],[ 5.14159292 77.85840708] ; [ 1.85840708 28.14159292],0
p12,1,0.454427,0.559586,[ 1 81] ; [ 1 29],[ 1.46428571 80.53571429] ; [ 0.53571429 29.46428571],0
p6,1,0.47761,0.504315,[ 5 77] ; [ 3 27],[ 5.85714286 76.14285714] ; [ 2.14285714 27.85714286],0
a3,1,0.531912,0.390738,[47 36] ; [15 15],[45.53982301 37.46017699] ; [16.46017699 13.53982301],0
r3,1,0.537405,0.380371,[71 12] ; [27  3],[71.98230088 11.01769912] ; [26.01769912  3.98230088],0
