Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,36.038066,[75  5] ; [99 78],[54.16342412 25.83657588] ; [119.83657588  57.16342412],1
s2,1,5e-06,20.718729,[54 28] ; [ 63 114],[37.04247104 44.95752896] ; [79.95752896 97.04247104],1
p6,1,9.5e-05,15.232176,[52 29] ; [ 67 109],[37.50583658 43.49416342] ; [81.49416342 94.50583658],1
s3,1,0.002818,8.92154,[52 30] ; [76 99],[40.84046693 41.15953307] ; [87.15953307 87.84046693],0
r4,1,0.00504,7.865123,[79  3] ; [149  28],[72.18532819  9.81467181] ; [155.81467181  21.18532819],0
s7,1,0.00551,7.704003,[46 33] ; [ 67 103],[35.85140562 43.14859438] ; [77.14859438 92.85140562],0
v1,1,0.006097,7.521375,[47 34] ; [ 69 105],[36.84705882 44.15294118] ; [79.15294118 94.84705882],0
p10,1,0.007778,7.083808,[76  6] ; [140  36],[68.65116279 13.34883721] ; [147.34883721  28.65116279],0
s8,1,0.007884,7.059588,[44 38] ; [ 64 113],[34.19305019 47.80694981] ; [ 73.80694981 103.19305019],0
s4,1,0.008982,6.826342,[23 57] ; [ 26 149],[15.37254902 64.62745098] ; [ 33.62745098 141.37254902],0
p3,1,0.009046,6.813671,[57 25] ; [92 84],[47.35658915 34.64341085] ; [101.64341085  74.35658915],0
u1,1,0.012961,6.174416,[19 63] ; [ 20 157],[12.34749035 69.65250965] ; [ 26.65250965 150.34749035],0
p12,1,0.014409,5.987334,[ 9 72] ; [  6 170],[ 4.72762646 76.27237354] ; [ 10.27237354 165.72762646],0
b5,1,0.01703,5.69328,[39 43] ; [112  65],[47.80694981 34.19305019] ; [103.19305019  73.80694981],0
p7,1,0.017233,5.672482,[71  9] ; [132  42],[63.93700787 16.06299213] ; [139.06299213  34.93700787],0
p9,1,0.023777,5.110815,[75  6] ; [144  32],[69.0233463 11.9766537] ; [149.9766537  26.0233463],0
b2,1,0.030991,4.653488,[24 32] ; [24 69],[18.04026846 37.95973154] ; [29.95973154 63.04026846],0
b3,1,0.030991,4.653488,[24 32] ; [24 69],[18.04026846 37.95973154] ; [29.95973154 63.04026846],0
d4,1,0.048471,3.89359,[72 10] ; [137  40],[66.16988417 15.83011583] ; [142.83011583  34.16988417],0
a3,1,0.052735,3.752306,[60 22] ; [107  69],[53.07751938 28.92248062] ; [113.92248062  62.07751938],0
a1,1,0.056791,3.628697,[ 5 77] ; [  3 174],[ 2.53281853 79.46718147] ; [  5.46718147 171.53281853],0
d1,1,0.05871,3.573453,[52 30] ; [90 87],[44.95752896 37.04247104] ; [97.04247104 79.95752896],0
a4,1,0.059053,3.563786,[38 44] ; [ 60 116],[31.14728682 50.85271318] ; [ 66.85271318 109.14728682],0
r1,1,0.060019,3.536853,[70 12] ; [132  44],[64.20155039 17.79844961] ; [137.79844961  38.20155039],0
