Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000477,12.202897,[13 77] ; [11 12],[19.11504425 70.88495575] ; [ 4.88495575 18.11504425],1
p7,1,0.002642,9.039637,[28 62] ; [15  8],[34.24778761 55.75221239] ; [ 8.75221239 14.24778761],0
p2,1,0.004194,8.197937,[45 46] ; [19  4],[51.0877193 39.9122807] ; [12.9122807 10.0877193],0
s2,1,0.006977,7.278763,[ 6 84] ; [ 6 17],[ 9.55752212 80.44247788] ; [ 2.44247788 20.55752212],0
p4,1,0.008739,6.875326,[19 72] ; [11 12],[23.94736842 67.05263158] ; [ 6.05263158 16.94736842],0
n3,1,0.012558,6.230397,[18 19] ; [10  1],[21.58333333 15.41666667] ; [6.41666667 4.58333333],0
s7,1,0.012675,6.213917,[ 7 76] ; [ 6 15],[10.375 72.625] ; [ 2.625 18.375],0
b5,1,0.016717,5.725872,[46 45] ; [18  5],[51.0877193 39.9122807] ; [12.9122807 10.0877193],0
b3,1,0.024865,5.033229,[17 42] ; [8 5],[20.48611111 38.51388889] ; [4.51388889 8.48611111],0
b2,1,0.024865,5.033229,[17 42] ; [8 5],[20.48611111 38.51388889] ; [4.51388889 8.48611111],0
p3,1,0.025654,4.97919,[16 75] ; [ 9 14],[19.95614035 71.04385965] ; [ 5.04385965 17.95614035],0
s8,1,0.027955,4.830858,[ 6 85] ; [ 5 18],[ 8.78070175 82.21929825] ; [ 2.21929825 20.78070175],0
v4,1,0.034677,4.460993,[62 27] ; [21  2],[65.95535714 23.04464286] ; [17.04464286  5.95535714],0
a7,1,0.035636,4.41444,[44 45] ; [17  6],[48.47321429 40.52678571] ; [12.52678571 10.47321429],0
v2,1,0.040652,4.190476,[24 64] ; [11 11],[28. 60.] ; [ 7. 15.],0
p11,1,0.04387,4.06156,[38 53] ; [15  8],[42.30701754 48.69298246] ; [10.69298246 12.30701754],0
n2,1,0.050792,3.815124,[19 20] ; [9 2],[21.84 17.16] ; [6.16 4.84],0
p9,1,0.081515,3.03444,[22 66] ; [10 13],[25.36936937 62.63063063] ; [ 6.63063063 16.36936937],0
r3,1,0.095019,2.787222,[62 27] ; [20  3],[65.16071429 23.83928571] ; [16.83928571  6.16071429],0
n6,1,0.12414,2.36429,[46 43] ; [16  7],[49.26785714 39.73214286] ; [12.73214286 10.26785714],0
p1,1,0.12682,2.33101,[ 4 86] ; [ 3 20],[ 5.57522124 84.42477876] ; [ 1.42477876 21.57522124],0
a6,1,0.167795,1.902535,[53 38] ; [17  6],[55.87719298 35.12280702] ; [14.12280702  8.87719298],0
r4,1,0.167795,1.902535,[53 38] ; [17  6],[55.87719298 35.12280702] ; [14.12280702  8.87719298],0
n1,1,0.189791,1.719236,[11 28] ; [5 5],[12.73469388 26.26530612] ; [3.26530612 6.73469388],0
a5,1,0.280367,1.16531,[51 40] ; [10 13],[48.69298246 42.30701754] ; [12.30701754 10.69298246],0
s4,1,0.305406,1.05044,[ 6 85] ; [ 3 20],[ 7.18421053 83.81578947] ; [ 1.81578947 21.18421053],0
u2,1,0.332961,0.937347,[14 23] ; [5 4],[15.2826087 21.7173913] ; [3.7173913 5.2826087],0
d3,1,0.375821,0.784329,[46 45] ; [14  9],[47.89473684 43.10526316] ; [12.10526316 10.89473684],0
s3,1,0.409784,0.679428,[20 70] ; [ 7 16],[21.50442478 68.49557522] ; [ 5.49557522 17.50442478],0
v3,1,0.427121,0.63064,[16 70] ; [ 6 17],[17.35779817 68.64220183] ; [ 4.64220183 18.35779817],0
b1,1,0.428257,0.627545,[44 47] ; [ 9 14],[42.30701754 48.69298246] ; [10.69298246 12.30701754],0
d4,1,0.442864,0.58885,[58 31] ; [13 10],[56.41964286 32.58035714] ; [14.58035714  8.41964286],0
a8,1,0.459843,0.546276,[ 7 76] ; [ 3 19],[ 7.9047619 75.0952381] ; [ 2.0952381 19.9047619],0
r2,1,0.466735,0.529695,[70 18] ; [19  3],[71.2 16.8] ; [17.8  4.2],0
d5,1,0.471836,0.517673,[55 36] ; [12 11],[53.48245614 37.51754386] ; [13.51754386  9.48245614],0
a1,1,0.480158,0.498505,[ 8 83] ; [ 1 22],[ 7.18421053 83.81578947] ; [ 1.81578947 21.18421053],0
a4,1,0.496763,0.461845,[36 54] ; [11 12],[37.43362832 52.56637168] ; [ 9.56637168 13.43362832],0
n4,1,0.580055,0.306146,[53 37] ; [15  8],[54.15929204 35.84070796] ; [13.84070796  9.15929204],0
s5,1,0.665234,0.187228,[ 7 83] ; [ 1 19],[ 6.54545455 83.45454545] ; [ 1.45454545 18.54545455],0
a2,1,0.708725,0.139554,[13 78] ; [ 4 19],[13.57017544 77.42982456] ; [ 3.42982456 19.57017544],0
s1,1,0.746433,0.104553,[ 6 84] ; [ 1 20],[ 5.67567568 84.32432432] ; [ 1.32432432 19.67567568],0
b4,1,0.811574,0.056832,[50 41] ; [12 11],[49.49122807 41.50877193] ; [12.50877193 10.49122807],0
r1,1,0.831904,0.045055,[52 37] ; [14  9],[52.44642857 36.55357143] ; [13.55357143  9.44642857],0
v1,1,0.848223,0.036629,[25 64] ; [ 6 17],[24.63392857 64.36607143] ; [ 6.36607143 16.63392857],0
d1,1,0.875812,0.024424,[34 57] ; [ 9 14],[34.3245614 56.6754386] ; [ 8.6754386 14.3245614],0
d2,1,0.880168,0.022727,[41 48] ; [11 12],[41.32142857 47.67857143] ; [10.67857143 12.32142857],0
a3,1,0.90843,0.013229,[53 36] ; [14  9],[53.24107143 35.75892857] ; [13.75892857  9.24107143],0
n5,1,0.927486,0.008283,[44 46] ; [11 12],[43.80530973 46.19469027] ; [11.19469027 11.80530973],0
u3,1,0.960173,0.002494,[13 25] ; [3 6],[12.93617021 25.06382979] ; [3.06382979 5.93617021],0
u1,1,0.988452,0.000209,[ 8 83] ; [ 2 21],[ 7.98245614 83.01754386] ; [ 2.01754386 20.98245614],0
