Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,7e-06,20.091083,[18  8] ; [23 77],[ 8.46031746 17.53968254] ; [32.53968254 67.46031746],1
p6,1,4.3e-05,16.746578,[13 15] ; [12 89],[ 5.42635659 22.57364341] ; [19.57364341 81.42635659],1
p5,1,0.001331,10.298851,[ 7 21] ; [ 5 95],[ 2.625 25.375] ; [ 9.375 90.625],0
p4,1,0.005451,7.723406,[13 13] ; [23 79],[ 7.3125 18.6875] ; [28.6875 73.3125],0
p3,1,0.010186,6.602153,[15 12] ; [30 73],[ 9.34615385 17.65384615] ; [35.65384615 67.34615385],0
p10,1,0.010335,6.576176,[22  6] ; [52 49],[16.0620155 11.9379845] ; [57.9379845 43.0620155],0
s5,1,0.016015,5.801187,[11 16] ; [18 79],[ 6.31451613 20.68548387] ; [22.68548387 74.31451613],0
n6,1,0.035532,4.419404,[24  2] ; [75 28],[19.95348837  6.04651163] ; [79.04651163 23.95348837],0
p9,1,0.037928,4.308267,[22  6] ; [57 43],[17.28125 10.71875] ; [61.71875 38.28125],0
v4,1,0.038301,4.291625,[26  2] ; [77 26],[22.01526718  5.98473282] ; [80.98473282 22.01526718],0
v1,1,0.051176,3.802488,[15 13] ; [33 66],[10.58267717 17.41732283] ; [37.41732283 61.58267717],0
p11,1,0.073084,3.212352,[21  7] ; [58 45],[16.88549618 11.11450382] ; [62.11450382 40.88549618],0
d4,1,0.094531,2.795473,[16 11] ; [77 25],[19.46511628  7.53488372] ; [73.53488372 28.46511628],0
u2,1,0.147248,2.100533,[4 9] ; [19 16],[6.22916667 6.77083333] ; [16.77083333 18.22916667],0
v2,1,0.156305,2.009616,[16 11] ; [43 55],[12.744 14.256] ; [46.256 51.744],0
a1,1,0.169309,1.889049,[ 1 27] ; [13 90],[ 2.99236641 25.00763359] ; [11.00763359 91.99236641],0
r2,1,0.171111,1.873186,[26  1] ; [87 13],[24.02362205  2.97637795] ; [88.97637795 11.02362205],0
d5,1,0.202653,1.623152,[15 12] ; [70 32],[17.79069767  9.20930233] ; [67.20930233 34.79069767],0
p12,1,0.205126,1.605497,[ 4 24] ; [ 7 96],[ 2.35114504 25.64885496] ; [ 8.64885496 94.35114504],0
b5,1,0.205699,1.601443,[12 16] ; [58 45],[14.96183206 13.03816794] ; [55.03816794 47.96183206],0
s1,1,0.217557,1.520415,[ 4 24] ; [ 7 94],[ 2.3875969 25.6124031] ; [ 8.6124031 92.3875969],0
u1,1,0.240637,1.376859,[ 3 25] ; [21 82],[ 5.12977099 22.87022901] ; [18.87022901 84.12977099],0
b2,1,0.246465,1.343234,[ 5 13] ; [32 43],[ 7.16129032 10.83870968] ; [29.83870968 45.16129032],0
b3,1,0.246465,1.343234,[ 5 13] ; [32 43],[ 7.16129032 10.83870968] ; [29.83870968 45.16129032],0
n2,1,0.253943,1.301478,[8 1] ; [26 11],[6.65217391 2.34782609] ; [27.34782609  9.65217391],0
u3,1,0.290607,1.116809,[8 5] ; [16 20],[6.36734694 6.63265306] ; [17.63265306 18.36734694],0
d2,1,0.299119,1.078119,[11 16] ; [52 48],[13.39370079 13.60629921] ; [49.60629921 50.39370079],0
