Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2.7e-05,17.594428,[58  9] ; [11 14],[50.25 16.75] ; [18.75  6.25],1
a4,1,0.000389,12.583288,[36 32] ; [ 3 22],[28.51612903 39.48387097] ; [10.48387097 14.51612903],1
r1,1,0.000545,11.954884,[56 12] ; [11 13],[49.52173913 18.47826087] ; [17.47826087  6.52173913],1
a6,1,0.003201,8.689465,[49 18] ; [10 15],[42.9673913 24.0326087] ; [16.0326087  8.9673913],0
d5,1,0.005123,7.835655,[57 11] ; [14 11],[51.91397849 16.08602151] ; [19.08602151  5.91397849],0
d2,1,0.015342,5.876805,[35 32] ; [ 6 19],[29.85869565 37.14130435] ; [11.14130435 13.85869565],0
s5,1,0.046527,3.9624,[25 39] ; [ 4 20],[21.09090909 42.90909091] ; [ 7.90909091 16.09090909],0
p1,1,0.052923,3.74634,[ 6 62] ; [ 6 19],[ 8.77419355 59.22580645] ; [ 3.22580645 21.77419355],0
d1,1,0.055186,3.676463,[37 31] ; [ 8 17],[32.90322581 35.09677419] ; [12.09677419 12.90322581],0
a7,1,0.077421,3.118235,[38 30] ; [19  6],[41.67741935 26.32258065] ; [15.32258065  9.67741935],0
s2,1,0.098672,2.726878,[32 36] ; [ 7 18],[28.51612903 39.48387097] ; [10.48387097 14.51612903],0
d4,1,0.135284,2.230801,[56 12] ; [17  8],[53.37634409 14.62365591] ; [19.62365591  5.37634409],0
n4,1,0.136646,2.215323,[53 14] ; [16  9],[50.25 16.75] ; [18.75  6.25],0
s7,1,0.143058,2.144757,[33 32] ; [ 8 16],[29.94382022 35.05617978] ; [11.05617978 12.94382022],0
p11,1,0.157693,1.996212,[51 17] ; [15 10],[48.25806452 19.74193548] ; [17.74193548  7.25806452],0
s8,1,0.165411,1.924052,[35 32] ; [ 9 16],[32.04347826 34.95652174] ; [11.95652174 13.04347826],0
a8,1,0.185967,1.749281,[ 9 54] ; [ 1 23],[ 7.24137931 55.75862069] ; [ 2.75862069 21.24137931],0
p10,1,0.199644,1.644976,[51 16] ; [15  9],[48.59340659 18.40659341] ; [17.40659341  6.59340659],0
b5,1,0.210904,1.565208,[45 23] ; [13 12],[42.40860215 25.59139785] ; [15.59139785  9.40860215],0
r3,1,0.211128,1.563676,[63  5] ; [21  4],[61.41935484  6.58064516] ; [22.58064516  2.41935484],0
r4,1,0.215772,1.532271,[61  7] ; [20  5],[59.22580645  8.77419355] ; [21.77419355  3.22580645],0
u1,1,0.248743,1.330352,[12 56] ; [ 2 23],[10.23655914 57.76344086] ; [ 3.76344086 21.23655914],0
b1,1,0.268444,1.224683,[36 32] ; [10 15],[33.6344086 34.3655914] ; [12.3655914 12.6344086],0
u3,1,0.327187,0.96,[7 3] ; [7 7],[5.83333333 4.16666667] ; [8.16666667 5.83333333],0
p7,1,0.344735,0.892742,[47 20] ; [20  5],[48.79347826 18.20652174] ; [18.20652174  6.79347826],0
d3,1,0.373055,0.793463,[37 31] ; [11 14],[35.09677419 32.90322581] ; [12.90322581 12.09677419],0
v2,1,0.41825,0.655227,[42 26] ; [12 11],[40.35164835 27.64835165] ; [13.64835165  9.35164835],0
s3,1,0.464524,0.534973,[35 33] ; [15 10],[36.55913978 31.44086022] ; [13.44086022 11.55913978],0
p9,1,0.492699,0.470626,[52 14] ; [18  7],[50.76923077 15.23076923] ; [19.23076923  5.76923077],0
b2,1,0.51116,0.431691,[21 25] ; [5 9],[19.93333333 26.06666667] ; [6.06666667 7.93333333],0
b3,1,0.51116,0.431691,[21 25] ; [5 9],[19.93333333 26.06666667] ; [6.06666667 7.93333333],0
v3,1,0.536537,0.381996,[30 37] ; [ 9 15],[28.71428571 38.28571429] ; [10.28571429 13.71428571],0
p8,1,0.550851,0.355795,[31 35] ; [10 15],[29.73626374 36.26373626] ; [11.26373626 13.73626374],0
p2,1,0.598354,0.277486,[50 18] ; [17  8],[48.98924731 19.01075269] ; [18.01075269  6.98924731],0
n5,1,0.613856,0.254598,[44 23] ; [15 10],[42.9673913 24.0326087] ; [16.0326087  8.9673913],0
v4,1,0.712471,0.135822,[64  4] ; [23  2],[63.61290323  4.38709677] ; [23.38709677  1.61290323],0
a1,1,0.721232,0.127316,[ 4 64] ; [ 1 24],[ 3.65591398 64.34408602] ; [ 1.34408602 23.65591398],0
p5,1,0.721232,0.127316,[ 4 64] ; [ 1 24],[ 3.65591398 64.34408602] ; [ 1.34408602 23.65591398],0
s6,1,0.734634,0.114899,[37 29] ; [15 10],[37.71428571 28.28571429] ; [14.28571429 10.71428571],0
s4,1,0.738663,0.111305,[10 58] ; [ 3 22],[ 9.50537634 58.49462366] ; [ 3.49462366 21.50537634],0
b4,1,0.793089,0.068802,[36 32] ; [14 11],[36.55913978 31.44086022] ; [13.44086022 11.55913978],0
n6,1,0.798524,0.065157,[50 17] ; [18  7],[49.52173913 17.47826087] ; [18.47826087  6.52173913],0
v1,1,0.829029,0.046633,[38 29] ; [13 11],[37.54945055 29.45054945] ; [13.45054945 10.54945055],0
p6,1,0.885193,0.020848,[17 50] ; [ 5 16],[16.75 50.25] ; [ 5.25 15.75],0
n1,1,0.892795,0.018162,[6 7] ; [2 2],[6.11764706 6.88235294] ; [1.88235294 2.11764706],0
s1,1,0.930851,0.00753,[ 3 65] ; [ 1 24],[ 2.92473118 65.07526882] ; [ 1.07526882 23.92473118],0
u2,1,0.936898,0.006268,[4 6] ; [5 7],[4.09090909 5.90909091] ; [4.90909091 7.09090909],0
