Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,2.9e-05,17.458719,[7 1] ; [ 1 17],[2.46153846 5.53846154] ; [ 5.53846154 12.46153846],1
n5,1,0.000478,12.200085,[11 14] ; [31  5],[17.21311475  7.78688525] ; [24.78688525 11.21311475],1
p2,1,0.01737,5.658553,[14 11] ; [ 9 26],[ 9.58333333 15.41666667] ; [13.41666667 21.58333333],0
d2,1,0.023564,5.126452,[ 5 20] ; [17 18],[ 9.16666667 15.83333333] ; [12.83333333 22.16666667],0
d4,1,0.042823,4.102381,[17  8] ; [15 21],[13.1147541 11.8852459] ; [18.8852459 17.1147541],0
a6,1,0.069417,3.296758,[ 8 17] ; [20 16],[11.47540984 13.52459016] ; [16.52459016 19.47540984],0
a1,1,0.078846,3.088525,[ 1 24] ; [ 7 29],[ 3.27868852 21.72131148] ; [ 4.72131148 31.27868852],0
p7,1,0.147144,2.101612,[11 13] ; [ 9 24],[ 8.42105263 15.57894737] ; [11.57894737 21.42105263],0
v4,1,0.162083,1.954681,[17  8] ; [18 18],[14.3442623 10.6557377] ; [20.6557377 15.3442623],0
p10,1,0.170019,1.882776,[13 12] ; [12 23],[10.41666667 14.58333333] ; [14.58333333 20.41666667],0
p8,1,0.173955,1.848524,[10 14] ; [ 9 27],[ 7.6 16.4] ; [11.4 24.6],0
p1,1,0.202136,1.626872,[ 1 24] ; [ 5 31],[ 2.45901639 22.54098361] ; [ 3.54098361 32.45901639],0
s8,1,0.215148,1.536441,[ 2 23] ; [ 7 29],[ 3.68852459 21.31147541] ; [ 5.31147541 30.68852459],0
a3,1,0.244604,1.35386,[17  8] ; [18 16],[14.83050847 10.16949153] ; [20.16949153 13.83050847],0
n1,1,0.269887,1.217321,[5 9] ; [12 10],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
d3,1,0.270266,1.215399,[14 11] ; [15 21],[11.8852459 13.1147541] ; [17.1147541 18.8852459],0
u2,1,0.271644,1.208424,[4 4] ; [ 5 13],[2.76923077 5.23076923] ; [ 6.23076923 11.76923077],0
n6,1,0.274967,1.1918,[10 15] ; [19 16],[12.08333333 12.91666667] ; [16.91666667 18.08333333],0
d1,1,0.315117,1.009107,[ 6 19] ; [13 23],[ 7.78688525 17.21311475] ; [11.21311475 24.78688525],0
