Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-05,18.154175,[ 6 20] ; [20  4],[13.52 12.48] ; [12.48 11.52],1
p2,1,0.000776,11.29776,[ 6 21] ; [16  7],[11.88 15.12] ; [10.12 12.88],1
n6,1,0.002173,9.397005,[ 9 17] ; [18  5],[14.32653061 11.67346939] ; [12.67346939 10.32653061],0
n5,1,0.002924,8.854167,[ 9 18] ; [18  6],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
p11,1,0.006538,7.395704,[10 17] ; [18  6],[14.82352941 12.17647059] ; [13.17647059 10.82352941],0
p7,1,0.038271,4.292929,[ 6 21] ; [12 12],[ 9.52941176 17.47058824] ; [ 8.47058824 15.52941176],0
s8,1,0.041895,4.13944,[ 2 25] ; [ 7 17],[ 4.76470588 22.23529412] ; [ 4.23529412 19.76470588],0
p5,1,0.058075,3.591512,[ 1 26] ; [ 5 19],[ 3.17647059 23.82352941] ; [ 2.82352941 21.17647059],0
r3,1,0.059656,3.546914,[16 11] ; [20  4],[19.05882353  7.94117647] ; [16.94117647  7.05882353],0
s7,1,0.068892,3.309226,[ 4 19] ; [10 14],[ 6.85106383 16.14893617] ; [ 7.14893617 16.85106383],0
b2,1,0.073753,3.197459,[ 4 13] ; [10  9],[ 6.61111111 10.38888889] ; [ 7.38888889 11.61111111],0
b3,1,0.073753,3.197459,[ 4 13] ; [10  9],[ 6.61111111 10.38888889] ; [ 7.38888889 11.61111111],0
n4,1,0.146959,2.103535,[15 12] ; [18  6],[17.47058824  9.52941176] ; [15.52941176  8.47058824],0
s3,1,0.164094,1.936085,[ 9 17] ; [13 11],[11.44 14.56] ; [10.56 13.44],0
p6,1,0.169518,1.8872,[ 3 24] ; [ 6 17],[ 4.86 22.14] ; [ 4.14 18.86],0
n3,1,0.196667,1.666955,[5 6] ; [4 1],[6.1875 4.8125] ; [2.8125 2.1875],0
a7,1,0.197251,1.662616,[15 12] ; [ 9 15],[12.70588235 14.29411765] ; [11.29411765 12.70588235],0
b4,1,0.204933,1.606867,[17 10] ; [19  5],[19.05882353  7.94117647] ; [16.94117647  7.05882353],0
s6,1,0.297147,1.086957,[ 9 18] ; [11 12],[10.8 16.2] ; [ 9.2 13.8],0
s5,1,0.325457,0.96689,[ 5 22] ; [ 7 16],[ 6.48 20.52] ; [ 5.52 17.48],0
a4,1,0.333467,0.935386,[11 15] ; [ 7 17],[ 9.36 16.64] ; [ 8.64 15.36],0
a8,1,0.334975,0.929567,[ 3 23] ; [ 5 18],[ 4.24489796 21.75510204] ; [ 3.75510204 19.24489796],0
s1,1,0.357193,0.847739,[ 3 24] ; [ 1 23],[ 2.11764706 24.88235294] ; [ 1.88235294 22.11764706],0
d5,1,0.370896,0.800659,[22  5] ; [17  7],[20.64705882  6.35294118] ; [18.35294118  5.64705882],0
p3,1,0.373934,0.790551,[ 7 20] ; [ 9 15],[ 8.47058824 18.52941176] ; [ 7.52941176 16.47058824],0
u3,1,0.37472,0.787953,[1 8] ; [2 5],[1.6875 7.3125] ; [1.3125 5.6875],0
u1,1,0.483082,0.491898,[ 1 26] ; [ 2 22],[ 1.58823529 25.41176471] ; [ 1.41176471 22.58823529],0
u2,1,0.515305,0.42328,[4 5] ; [2 5],[3.375 5.625] ; [2.625 4.375],0
p1,1,0.541566,0.372645,[ 2 25] ; [ 3 21],[ 2.64705882 24.35294118] ; [ 2.35294118 21.64705882],0
p4,1,0.551764,0.354167,[ 8 19] ; [ 9 15],[ 9. 18.] ; [ 8. 16.],0
s2,1,0.570036,0.322621,[ 6 21] ; [ 7 17],[ 6.88235294 20.11764706] ; [ 6.11764706 17.88235294],0
n1,1,0.585106,0.298052,[4 7] ; [3 3],[4.52941176 6.47058824] ; [2.47058824 3.52941176],0
r2,1,0.596616,0.280129,[16  9] ; [13 10],[15.10416667  9.89583333] ; [13.89583333  9.10416667],0
a6,1,0.667817,0.184167,[14 13] ; [11 13],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
r1,1,0.667817,0.184167,[14 13] ; [11 13],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
b1,1,0.691555,0.157407,[15 12] ; [12 12],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
v2,1,0.713975,0.134339,[11 16] ; [11 13],[11.64705882 15.35294118] ; [10.35294118 13.64705882],0
d3,1,0.713975,0.134339,[16 11] ; [13 11],[15.35294118 11.64705882] ; [13.64705882 10.35294118],0
a2,1,0.739156,0.11087,[ 3 24] ; [ 2 22],[ 2.64705882 24.35294118] ; [ 2.35294118 21.64705882],0
a3,1,0.748903,0.102455,[18  9] ; [17  7],[18.52941176  8.47058824] ; [16.47058824  7.52941176],0
p8,1,0.749795,0.101704,[ 6 21] ; [ 6 17],[ 6.48 20.52] ; [ 5.52 17.48],0
d2,1,0.817218,0.053419,[16 10] ; [14 10],[15.6 10.4] ; [14.4  9.6],0
v3,1,0.848264,0.036609,[ 6 20] ; [ 5 19],[ 5.72 20.28] ; [ 5.28 18.72],0
n2,1,0.857596,0.032197,[6 5] ; [3 3],[5.82352941 5.17647059] ; [3.17647059 2.82352941],0
v1,1,0.859882,0.031161,[ 7 19] ; [ 7 17],[ 7.28 18.72] ; [ 6.72 17.28],0
b5,1,0.868699,0.027328,[14 13] ; [13 11],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
d1,1,0.868699,0.027328,[14 13] ; [13 11],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
s4,1,0.877879,0.023611,[ 3 24] ; [ 3 21],[ 3.17647059 23.82352941] ; [ 2.82352941 21.17647059],0
a1,1,0.932248,0.007228,[ 1 26] ; [ 1 23],[ 1.05882353 25.94117647] ; [ 0.94117647 23.05882353],0
r4,1,0.972772,0.001165,[10 17] ; [ 9 15],[10.05882353 16.94117647] ; [ 8.94117647 15.05882353],0
a5,1,0.972772,0.001165,[17 10] ; [15  9],[16.94117647 10.05882353] ; [15.05882353  8.94117647],0
