Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.1e-05,18.122433,[17 12] ; [19 83],[ 7.96946565 21.03053435] ; [28.03053435 73.96946565],1
s6,1,0.00037,12.678155,[20 10] ; [33 74],[11.60583942 18.39416058] ; [41.39416058 65.60583942],1
s5,1,0.000725,11.424193,[11 16] ; [13 91],[ 4.94656489 22.05343511] ; [19.05343511 84.94656489],1
s2,1,0.000735,11.398569,[17 13] ; [26 81],[ 9.41605839 20.58394161] ; [33.58394161 73.41605839],1
u3,1,0.002216,9.361548,[10  6] ; [10 37],[ 5.07936508 10.92063492] ; [14.92063492 32.07936508],0
s3,1,0.030437,4.684411,[16 14] ; [33 71],[10.97014925 19.02985075] ; [38.02985075 65.97014925],0
s1,1,0.037092,4.346202,[ 3 27] ; [  2 104],[ 1.10294118 28.89705882] ; [  3.89705882 102.10294118],0
a6,1,0.072239,3.231402,[13 17] ; [66 41],[17.29927007 12.70072993] ; [61.70072993 45.29927007],0
u2,1,0.080856,3.047619,[10  6] ; [18 30],[7. 9.] ; [21. 27.],0
n4,1,0.140322,2.174427,[14 16] ; [66 41],[17.51824818 12.48175182] ; [62.48175182 44.51824818],0
a2,1,0.158867,1.984976,[ 1 29] ; [13 94],[ 3.06569343 26.93430657] ; [10.93430657 96.06569343],0
n6,1,0.227653,1.455466,[19 11] ; [79 27],[21.61764706  8.38235294] ; [76.38235294 29.61764706],0
d4,1,0.26901,1.221791,[21  9] ; [63 44],[18.39416058 11.60583942] ; [65.60583942 41.39416058],0
a5,1,0.269556,1.219003,[12 18] ; [55 52],[14.67153285 15.32846715] ; [52.32846715 54.67153285],0
s8,1,0.27484,1.192431,[ 9 21] ; [22 85],[ 6.78832117 23.21167883] ; [24.21167883 82.78832117],0
r4,1,0.292226,1.109339,[13 17] ; [58 49],[15.54744526 14.45255474] ; [55.45255474 51.54744526],0
v4,1,0.315503,1.007499,[25  5] ; [79 27],[22.94117647  7.05882353] ; [81.05882353 24.94117647],0
d3,1,0.315945,1.00566,[17 12] ; [51 55],[14.60740741 14.39259259] ; [53.39259259 52.60740741],0
n3,1,0.399269,0.710526,[12  4] ; [24 14],[10.66666667  5.33333333] ; [25.33333333 12.66666667],0
a3,1,0.411019,0.67585,[14 16] ; [59 48],[15.98540146 14.01459854] ; [57.01459854 49.98540146],0
p2,1,0.416096,0.661316,[21  9] ; [65 40],[19.11111111 10.88888889] ; [66.88888889 38.11111111],0
p6,1,0.443777,0.586497,[10 20] ; [27 76],[ 8.34586466 21.65413534] ; [28.65413534 74.34586466],0
p4,1,0.473285,0.514296,[10 20] ; [43 63],[11.69117647 18.30882353] ; [41.30882353 64.69117647],0
p9,1,0.486043,0.485275,[18 11] ; [71 32],[19.5530303  9.4469697] ; [69.4469697 33.5530303],0
a7,1,0.489673,0.477244,[17 12] ; [55 52],[15.35294118 13.64705882] ; [56.64705882 50.35294118],0
p7,1,0.532942,0.388779,[15 14] ; [47 57],[13.51879699 15.48120301] ; [48.48120301 55.51879699],0
b5,1,0.534572,0.385694,[19 11] ; [61 46],[17.51824818 12.48175182] ; [62.48175182 44.51824818],0
r3,1,0.549674,0.357902,[22  8] ; [84 23],[23.21167883  6.78832117] ; [82.78832117 24.21167883],0
a4,1,0.571323,0.320473,[ 8 22] ; [34 72],[ 9.26470588 20.73529412] ; [32.73529412 73.26470588],0
