Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5e-06,20.927776,[20 14] ; [ 1 27],[11.51612903 22.48387097] ; [ 9.48387097 18.51612903],1
d4,1,1.8e-05,18.355969,[27  7] ; [ 7 21],[18.64516129 15.35483871] ; [15.35483871 12.64516129],1
d3,1,0.000655,11.612139,[22 12] ; [ 6 22],[15.35483871 18.64516129] ; [12.64516129 15.35483871],1
a5,1,0.002534,9.116014,[24 10] ; [ 9 19],[18.09677419 15.90322581] ; [14.90322581 13.09677419],0
v2,1,0.005177,7.816662,[11 23] ; [ 1 26],[ 6.68852459 27.31147541] ; [ 5.31147541 21.68852459],0
a4,1,0.008324,6.962447,[17 16] ; [ 5 22],[12.1 20.9] ; [ 9.9 17.1],0
u3,1,0.008786,6.865852,[6 5] ; [ 1 13],[3.08 7.92] ; [ 3.92 10.08],0
u2,1,0.032189,4.588426,[6 5] ; [ 2 12],[3.52 7.48] ; [4.48 9.52],0
d2,1,0.034647,4.462488,[17 16] ; [ 7 21],[12.98360656 20.01639344] ; [11.01639344 16.98360656],0
v4,1,0.045896,3.985415,[22 12] ; [11 17],[18.09677419 15.90322581] ; [14.90322581 13.09677419],0
s3,1,0.064197,3.42549,[ 4 29] ; [ 8 17],[ 6.82758621 26.17241379] ; [ 5.17241379 19.82758621],0
s2,1,0.084809,2.970249,[ 3 31] ; [ 7 21],[ 5.48387097 28.51612903] ; [ 4.51612903 23.48387097],0
a7,1,0.086945,2.930039,[17 17] ; [ 8 20],[13.70967742 20.29032258] ; [11.29032258 16.70967742],0
a2,1,0.14001,2.177846,[ 5 29] ; [ 1 27],[ 3.29032258 30.70967742] ; [ 2.70967742 25.29032258],0
p1,1,0.160866,1.966069,[ 3 31] ; [ 6 22],[ 4.93548387 29.06451613] ; [ 4.06451613 23.93548387],0
b1,1,0.167472,1.905427,[24 10] ; [15 13],[21.38709677 12.61290323] ; [17.61290323 10.38709677],0
p3,1,0.170905,1.874983,[11 22] ; [ 5 23],[ 8.6557377 24.3442623] ; [ 7.3442623 20.6557377],0
a6,1,0.174957,1.839948,[18 16] ; [10 18],[15.35483871 18.64516129] ; [12.64516129 15.35483871],0
n2,1,0.2238,1.479839,[ 6 11] ; [8 6],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
p6,1,0.239291,1.384768,[ 6 28] ; [ 2 25],[ 4.45901639 29.54098361] ; [ 3.54098361 23.45901639],0
p5,1,0.240543,1.37741,[ 4 29] ; [ 1 26],[ 2.75 30.25] ; [ 2.25 24.75],0
v3,1,0.240831,1.375724,[ 9 25] ; [ 4 24],[ 7.12903226 26.87096774] ; [ 5.87096774 22.12903226],0
a3,1,0.275914,1.187105,[23 11] ; [14 12],[20.96666667 13.03333333] ; [16.03333333  9.96666667],0
b5,1,0.283532,1.150084,[18 16] ; [11 17],[15.90322581 18.09677419] ; [13.09677419 14.90322581],0
r1,1,0.301919,1.065699,[14 20] ; [ 8 20],[12.06451613 21.93548387] ; [ 9.93548387 18.06451613],0
r2,1,0.351962,0.86637,[22 10] ; [16 12],[20.26666667 11.73333333] ; [17.73333333 10.26666667],0
s7,1,0.355233,0.854677,[ 3 27] ; [ 5 22],[ 4.21052632 25.78947368] ; [ 3.78947368 23.21052632],0
n3,1,0.376017,0.783683,[ 7 10] ; [8 6],[8.22580645 8.77419355] ; [6.77419355 7.22580645],0
p10,1,0.391781,0.733406,[15 19] ; [ 9 18],[13.37704918 20.62295082] ; [10.62295082 16.37704918],0
n1,1,0.408942,0.681875,[ 6 11] ; [7 7],[7.12903226 9.87096774] ; [5.87096774 8.12903226],0
p2,1,0.444382,0.584941,[11 22] ; [12 16],[12.44262295 20.55737705] ; [10.55737705 17.44262295],0
s1,1,0.498839,0.457405,[ 3 31] ; [ 4 24],[ 3.83870968 30.16129032] ; [ 3.16129032 24.83870968],0
n6,1,0.499833,0.455292,[17 16] ; [12 16],[15.68852459 17.31147541] ; [13.31147541 14.68852459],0
b4,1,0.515285,0.423319,[21 13] ; [15 13],[19.74193548 14.25806452] ; [16.25806452 11.74193548],0
p4,1,0.645276,0.211909,[10 23] ; [ 7 21],[ 9.19672131 23.80327869] ; [ 7.80327869 20.19672131],0
s6,1,0.651613,0.203873,[ 8 26] ; [ 8 20],[ 8.77419355 25.22580645] ; [ 7.22580645 20.77419355],0
a1,1,0.720255,0.128248,[ 6 28] ; [ 4 24],[ 5.48387097 28.51612903] ; [ 4.51612903 23.48387097],0
s5,1,0.737071,0.112718,[ 5 29] ; [ 5 23],[ 5.48387097 28.51612903] ; [ 4.51612903 23.48387097],0
p11,1,0.747894,0.103309,[11 23] ; [ 8 20],[10.41935484 23.58064516] ; [ 8.58064516 19.41935484],0
n5,1,0.747894,0.103309,[23 11] ; [20  8],[23.58064516 10.41935484] ; [19.41935484  8.58064516],0
p9,1,0.758368,0.094633,[14 19] ; [10 16],[13.42372881 19.57627119] ; [10.57627119 15.42372881],0
p8,1,0.762951,0.090967,[10 24] ; [ 7 20],[ 9.47540984 24.52459016] ; [ 7.52459016 19.47540984],0
s4,1,0.786484,0.073375,[ 7 27] ; [ 5 23],[ 6.58064516 27.41935484] ; [ 5.41935484 22.58064516],0
b3,1,0.808497,0.058741,[ 8 14] ; [ 8 12],[ 8.38095238 13.61904762] ; [ 7.61904762 12.38095238],0
b2,1,0.808497,0.058741,[ 8 14] ; [ 8 12],[ 8.38095238 13.61904762] ; [ 7.61904762 12.38095238],0
p12,1,0.888836,0.019538,[ 1 33] ; [ 1 27],[ 1.09677419 32.90322581] ; [ 0.90322581 27.09677419],0
r4,1,0.896518,0.016916,[ 4 30] ; [ 3 25],[ 3.83870968 30.16129032] ; [ 3.16129032 24.83870968],0
a8,1,0.899116,0.016073,[ 1 30] ; [ 1 25],[ 1.0877193 29.9122807] ; [ 0.9122807 25.0877193],0
p7,1,0.913593,0.011774,[11 21] ; [10 18],[11.2 20.8] ; [ 9.8 18.2],0
n4,1,0.932655,0.007141,[21 13] ; [17 11],[20.83870968 13.16129032] ; [17.16129032 10.83870968],0
v1,1,0.98595,0.00031,[11 23] ; [ 9 19],[10.96774194 23.03225806] ; [ 9.03225806 18.96774194],0
