Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.68908,[73 12] ; [14 20],[62.14285714 22.85714286] ; [24.85714286  9.14285714],1
r3,1,3e-06,21.992231,[80  4] ; [21 13],[71.89830508 12.10169492] ; [29.10169492  4.89830508],1
v4,1,9e-06,19.800605,[80  5] ; [21 13],[72.14285714 12.85714286] ; [28.85714286  5.14285714],1
p11,1,9e-06,19.649628,[58 27] ; [ 8 26],[47.14285714 37.85714286] ; [18.85714286 15.14285714],1
p4,1,2.4e-05,17.864175,[43 42] ; [ 3 31],[32.85714286 52.14285714] ; [13.14285714 20.85714286],1
r2,1,0.000148,14.392835,[79  5] ; [23 11],[72.61016949 11.38983051] ; [29.38983051  4.61016949],1
s8,1,0.000367,12.693333,[33 52] ; [ 2 32],[25. 60.] ; [10. 24.],1
s1,1,0.000719,11.438567,[ 1 81] ; [ 6 28],[ 4.94827586 77.05172414] ; [ 2.05172414 31.94827586],1
s6,1,0.001428,10.168785,[50 35] ; [ 9 25],[42.14285714 42.85714286] ; [16.85714286 17.14285714],0
p9,1,0.003919,8.320783,[64 19] ; [17 17],[57.46153846 25.53846154] ; [23.53846154 10.46153846],0
p10,1,0.005695,7.644272,[57 26] ; [14 20],[50.36752137 32.63247863] ; [20.63247863 13.36752137],0
p3,1,0.007351,7.185223,[35 50] ; [ 5 28],[28.81355932 56.18644068] ; [11.18644068 21.81355932],0
p7,1,0.026729,4.908201,[45 35] ; [11 22],[39.6460177 40.3539823] ; [16.3539823 16.6460177],0
a6,1,0.028887,4.774315,[72 13] ; [22 11],[67.71186441 17.28813559] ; [26.28813559  6.71186441],0
a1,1,0.03403,4.493215,[ 2 83] ; [ 4 30],[ 4.28571429 80.71428571] ; [ 1.71428571 32.28571429],0
v1,1,0.035215,4.434737,[36 45] ; [ 8 26],[30.99130435 50.00869565] ; [13.00869565 20.99130435],0
a4,1,0.042969,4.096605,[28 57] ; [18 16],[32.85714286 52.14285714] ; [13.14285714 20.85714286],0
d2,1,0.046445,3.965375,[27 58] ; [17 16],[31.69491525 53.30508475] ; [12.30508475 20.69491525],0
n3,1,0.051612,3.788308,[16  4] ; [9 9],[13.15789474  6.84210526] ; [11.84210526  6.15789474],0
p6,1,0.051831,3.781228,[21 62] ; [ 3 30],[17.17241379 65.82758621] ; [ 6.82758621 26.17241379],0
u3,1,0.0765,3.137735,[22  7] ; [4 5],[19.84210526  9.15789474] ; [6.15789474 2.84210526],0
a8,1,0.098002,2.737761,[ 7 69] ; [ 7 27],[ 9.67272727 66.32727273] ; [ 4.32727273 29.67272727],0
p8,1,0.098355,2.732024,[36 46] ; [ 9 24],[32.08695652 49.91304348] ; [12.91304348 20.08695652],0
r1,1,0.117211,2.454202,[66 18] ; [22 12],[62.6440678 21.3559322] ; [25.3559322  8.6440678],0
v2,1,0.1195,2.423863,[40 39] ; [11 21],[36.2972973 42.7027027] ; [14.7027027 17.2972973],0
s4,1,0.126125,2.339563,[14 71] ; [ 2 32],[11.42857143 73.57142857] ; [ 4.57142857 29.42857143],0
d4,1,0.133726,2.248712,[72 13] ; [24  9],[69.15254237 15.84745763] ; [26.84745763  6.15254237],0
d5,1,0.133726,2.248712,[72 13] ; [24  9],[69.15254237 15.84745763] ; [26.84745763  6.15254237],0
a2,1,0.154675,2.025532,[15 70] ; [10 24],[17.85714286 67.14285714] ; [ 7.14285714 26.85714286],0
d3,1,0.179579,1.801108,[66 18] ; [22 11],[63.17948718 20.82051282] ; [24.82051282  8.17948718],0
s5,1,0.18384,1.766308,[16 65] ; [ 3 29],[13.61946903 67.38053097] ; [ 5.38053097 26.61946903],0
n5,1,0.216755,1.525726,[34 50] ; [18 16],[37.01694915 46.98305085] ; [14.98305085 19.01694915],0
a3,1,0.248834,1.329839,[55 30] ; [25  8],[57.62711864 27.37288136] ; [22.37288136 10.62711864],0
s2,1,0.26031,1.267108,[34 50] ; [10 24],[31.3220339 52.6779661] ; [12.6779661 21.3220339],0
p1,1,0.281348,1.160569,[ 5 79] ; [ 4 30],[ 6.40677966 77.59322034] ; [ 2.59322034 31.40677966],0
