Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,9.2e-05,15.29673,[ 5 47] ; [20 25],[13.40206186 38.59793814] ; [11.59793814 33.40206186],1
p3,1,0.00033,12.890116,[ 8 46] ; [22 24],[16.2 37.8] ; [13.8 32.2],1
s6,1,0.0019,9.643943,[22 33] ; [32 13],[29.7 25.3] ; [24.3 20.7],0
s2,1,0.005237,7.795858,[14 40] ; [24 21],[20.72727273 33.27272727] ; [17.27272727 27.72727273],0
s8,1,0.008553,6.913927,[11 44] ; [20 25],[17.05 37.95] ; [13.95 31.05],0
n6,1,0.021552,5.281626,[33 21] ; [37  8],[38.18181818 15.81818182] ; [31.81818182 13.18181818],0
s3,1,0.034383,4.475547,[18 36] ; [25 21],[23.22 30.78] ; [19.78 26.22],0
p8,1,0.03928,4.24873,[14 40] ; [21 25],[18.9 35.1] ; [16.1 29.9],0
a6,1,0.039347,4.245843,[43 11] ; [28 18],[38.34 15.66] ; [32.66 13.34],0
p2,1,0.057249,3.615345,[28 27] ; [32 14],[32.67326733 22.32673267] ; [27.32673267 18.67326733],0
s5,1,0.074702,3.176558,[ 7 47] ; [12 32],[10.46938776 43.53061224] ; [ 8.53061224 35.46938776],0
s7,1,0.07599,3.148647,[16 34] ; [22 22],[20.21276596 29.78723404] ; [17.78723404 26.21276596],0
u2,1,0.099195,2.718437,[8 2] ; [6 7],[6.08695652 3.91304348] ; [7.91304348 5.08695652],0
v4,1,0.103197,2.655426,[43 11] ; [42  4],[45.9  8.1] ; [39.1  6.9],0
n2,1,0.107949,2.583993,[12 15] ; [13  6],[14.67391304 12.32608696] ; [10.32608696  8.67391304],0
p7,1,0.115175,2.481744,[15 38] ; [20 26],[18.73737374 34.26262626] ; [16.26262626 29.73737374],0
r3,1,0.119722,2.420949,[45  9] ; [43  3],[47.52  6.48] ; [40.48  5.52],0
a3,1,0.149634,2.075976,[45 10] ; [32 14],[41.93069307 13.06930693] ; [35.06930693 10.93069307],0
d3,1,0.15827,1.990681,[44 10] ; [42  4],[46.44  7.56] ; [39.56  6.44],0
b2,1,0.179221,1.804068,[10 25] ; [15 19],[12.68115942 22.31884058] ; [12.31884058 21.68115942],0
b3,1,0.179221,1.804068,[10 25] ; [15 19],[12.68115942 22.31884058] ; [12.31884058 21.68115942],0
s4,1,0.184798,1.758614,[ 4 50] ; [ 7 37],[ 6.06122449 47.93877551] ; [ 4.93877551 39.06122449],0
r4,1,0.194092,1.686281,[38 17] ; [37  9],[40.84158416 14.15841584] ; [34.15841584 11.84158416],0
r2,1,0.215372,1.534945,[47  6] ; [43  2],[48.67346939  4.32653061] ; [41.32653061  3.67346939],0
u1,1,0.217553,1.520438,[13 42] ; [16 30],[15.79207921 39.20792079] ; [13.20792079 32.79207921],0
n5,1,0.243317,1.361271,[29 25] ; [30 16],[31.86 22.14] ; [27.14 18.86],0
v2,1,0.300019,1.074109,[25 29] ; [25 19],[27.55102041 26.44897959] ; [22.44897959 21.55102041],0
p9,1,0.304363,1.054981,[17 34] ; [20 26],[19.45360825 31.54639175] ; [17.54639175 28.45360825],0
p1,1,0.333537,0.935115,[ 4 51] ; [ 6 40],[ 5.44554455 49.55445545] ; [ 4.55445545 41.44554455],0
u3,1,0.403713,0.697239,[8 2] ; [9 5],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
a2,1,0.442603,0.589525,[22 33] ; [15 31],[20.14851485 34.85148515] ; [16.85148515 29.14851485],0
b4,1,0.466566,0.530098,[35 20] ; [26 20],[33.21782178 21.78217822] ; [27.78217822 18.21782178],0
a7,1,0.553504,0.351076,[37 17] ; [34 12],[38.34 15.66] ; [32.66 13.34],0
s1,1,0.556794,0.345286,[ 3 50] ; [ 4 42],[ 3.74747475 49.25252525] ; [ 3.25252525 42.74747475],0
p11,1,0.62369,0.240715,[26 29] ; [24 22],[27.22772277 27.77227723] ; [22.77227723 23.22772277],0
v3,1,0.630572,0.231286,[15 36] ; [11 33],[13.95789474 37.04210526] ; [12.04210526 31.95789474],0
b5,1,0.633871,0.226848,[36 19] ; [28 18],[34.85148515 20.14851485] ; [29.14851485 16.85148515],0
v1,1,0.643796,0.213812,[22 31] ; [17 29],[20.87878788 32.12121212] ; [18.12121212 27.87878788],0
n3,1,0.676405,0.174201,[14 12] ; [12  8],[14.69565217 11.30434783] ; [11.30434783  8.69565217],0
n1,1,0.783309,0.07563,[ 9 16] ; [ 8 12],[ 9.44444444 15.55555556] ; [ 7.55555556 12.44444444],0
n4,1,0.786332,0.073483,[35 19] ; [31 15],[35.64 18.36] ; [30.36 15.64],0
r1,1,0.816784,0.053677,[40 14] ; [35 11],[40.5 13.5] ; [34.5 11.5],0
u4,1,0.821234,0.051057,[ 3 52] ; [ 3 43],[ 3.26732673 51.73267327] ; [ 2.73267327 43.26732673],0
a4,1,0.854074,0.033828,[35 19] ; [29 17],[34.56 19.44] ; [29.44 16.56],0
a1,1,0.882348,0.021902,[ 4 51] ; [ 3 43],[ 3.81188119 51.18811881] ; [ 3.18811881 42.81188119],0
a8,1,0.885616,0.020694,[ 4 44] ; [ 3 37],[ 3.81818182 44.18181818] ; [ 3.18181818 36.81818182],0
b1,1,0.955773,0.003076,[26 29] ; [22 24],[26.13861386 28.86138614] ; [21.86138614 24.13861386],0
a5,1,0.956453,0.002982,[44 11] ; [37  9],[44.10891089 10.89108911] ; [36.89108911  9.10891089],0
d2,1,0.966662,0.001747,[42 10] ; [37  9],[41.91836735 10.08163265] ; [37.08163265  8.91836735],0
