Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-06,21.079709,[21 20] ; [88 13],[31.47183099  9.52816901] ; [77.52816901 23.47183099],1
r4,1,6e-06,20.438876,[ 9 32] ; [65 37],[21.21678322 19.78321678] ; [52.78321678 49.21678322],1
v4,1,0.002732,8.978069,[25 16] ; [85 16],[31.76056338  9.23943662] ; [78.23943662 22.76056338],0
b1,1,0.006245,7.478264,[26 15] ; [39 63],[18.63636364 22.36363636] ; [46.36363636 55.63636364],0
p10,1,0.006345,7.449584,[17 22] ; [68 31],[24.02173913 14.97826087] ; [60.97826087 38.02173913],0
p11,1,0.008521,6.920592,[18 23] ; [69 33],[24.94405594 16.05594406] ; [62.05594406 39.94405594],0
b4,1,0.00977,6.676438,[16 25] ; [64 38],[22.93706294 18.06293706] ; [57.06293706 44.93706294],0
s6,1,0.014098,6.025784,[ 9 32] ; [44 56],[15.41134752 25.58865248] ; [37.58865248 62.41134752],0
a1,1,0.0176,5.635533,[ 7 34] ; [ 5 97],[ 3.44055944 37.55944056] ; [ 8.55944056 93.44055944],0
p2,1,0.023244,5.150194,[19 20] ; [70 31],[24.79285714 14.20714286] ; [64.20714286 36.79285714],0
b5,1,0.026266,4.93844,[20 21] ; [70 32],[25.8041958 15.1958042] ; [64.1958042 37.8041958],0
s5,1,0.032771,4.557704,[ 2 38] ; [19 79],[ 6.08695652 33.91304348] ; [14.91304348 83.08695652],0
d3,1,0.032801,4.556147,[15 25] ; [58 43],[20.70921986 19.29078014] ; [52.29078014 48.70921986],0
s1,1,0.034673,4.461207,[ 3 37] ; [  1 101],[ 1.12676056 38.87323944] ; [ 2.87323944 99.12676056],0
n4,1,0.056183,3.646612,[19 22] ; [65 37],[24.08391608 16.91608392] ; [59.91608392 42.08391608],0
s2,1,0.065637,3.388882,[ 7 34] ; [33 69],[11.46853147 29.53146853] ; [28.53146853 73.46853147],0
p8,1,0.06607,3.378054,[ 9 30] ; [40 61],[13.65 25.35] ; [35.35 65.65],0
d5,1,0.072115,3.234215,[21 20] ; [68 33],[25.6971831 15.3028169] ; [63.3028169 37.6971831],0
p9,1,0.07809,3.104213,[24 16] ; [75 25],[28.28571429 11.71428571] ; [70.71428571 29.28571429],0
n1,1,0.102312,2.669124,[7 9] ; [ 6 23],[ 4.62222222 11.37777778] ; [ 8.37777778 20.62222222],0
d4,1,0.115819,2.472971,[22 19] ; [69 33],[26.09090909 14.90909091] ; [64.90909091 37.09090909],0
v2,1,0.117043,2.456456,[ 9 30] ; [37 63],[12.90647482 26.09352518] ; [33.09352518 66.90647482],0
