Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.9e-05,16.494564,[76 41] ; [362  78],[92.00359066 24.99640934] ; [345.99640934  94.00359066],1
a8,1,0.000165,14.189414,[  4 103] ; [ 74 325],[16.49407115 90.50592885] ; [ 61.50592885 337.49407115],1
s5,1,0.000255,13.373419,[67 46] ; [172 257],[49.82841328 63.17158672] ; [189.17158672 239.82841328],1
s2,1,0.003628,8.461357,[89 26] ; [277 163],[75.83783784 39.16216216] ; [290.16216216 149.83783784],0
u2,1,0.005409,7.737299,[12 18] ; [83 40],[18.62745098 11.37254902] ; [76.37254902 46.62745098],0
v2,1,0.031182,4.642901,[55 58] ; [253 169],[65.05420561 47.94579439] ; [242.94579439 179.05420561],0
n5,1,0.035211,4.434908,[83 34] ; [352  88],[91.37342908 25.62657092] ; [343.62657092  96.37342908],0
v3,1,0.038605,4.278159,[38 75] ; [188 235],[47.64552239 65.35447761] ; [178.35447761 244.64552239],0
b2,1,0.044976,4.01954,[15 43] ; [112 169],[21.72861357 36.27138643] ; [105.27138643 175.72861357],0
b3,1,0.044976,4.01954,[15 43] ; [112 169],[21.72861357 36.27138643] ; [105.27138643 175.72861357],0
s3,1,0.049374,3.862588,[90 25] ; [299 135],[81.4845173 33.5154827] ; [307.5154827 126.4845173],0
v1,1,0.066913,3.357171,[58 58] ; [254 173],[66.6519337 49.3480663] ; [245.3480663 181.6519337],0
p2,1,0.086879,2.93127,[92 25] ; [374  65],[98.06115108 18.93884892] ; [367.93884892  71.06115108],0
p5,1,0.101433,2.682868,[ 11 106] ; [ 67 370],[ 16.47292419 100.52707581] ; [ 61.52707581 375.47292419],0
u4,1,0.121414,2.398985,[  1 116] ; [ 16 426],[  3.55813953 113.44186047] ; [ 13.44186047 428.55813953],0
a1,1,0.130335,2.288504,[  3 114] ; [ 27 415],[  6.27906977 110.72093023] ; [ 23.72093023 418.27906977],0
d3,1,0.149868,2.073598,[89 28] ; [304 135],[82.69964029 34.30035971] ; [310.30035971 128.69964029],0
p11,1,0.168945,1.892278,[86 31] ; [351  91],[91.46511628 25.53488372] ; [345.53488372  96.46511628],0
n1,1,0.184416,1.761674,[10 21] ; [40 47],[13.13559322 17.86440678] ; [36.86440678 50.13559322],0
d1,1,0.199761,1.644118,[78 39] ; [266 176],[72. 45.] ; [272. 170.],0
r2,1,0.233113,1.421767,[116   1] ; [428  12],[114.26929982   2.73070018] ; [429.73070018  10.26929982],0
p12,1,0.245755,1.347274,[  9 108] ; [ 50 388],[ 12.43783784 104.56216216] ; [ 46.56216216 391.43783784],0
a7,1,0.258885,1.274712,[82 35] ; [331 109],[86.75224417 30.24775583] ; [326.24775583 113.75224417],0
p6,1,0.278486,1.174462,[52 63] ; [172 262],[46.92167577 68.07832423] ; [177.07832423 256.92167577],0
n2,1,0.370145,0.803177,[26  5] ; [67 21],[24.22689076  6.77310924] ; [68.77310924 19.22689076],0
d5,1,0.440199,0.595763,[100  17] ; [362  77],[97.21942446 19.78057554] ; [364.78057554  74.21942446],0
p1,1,0.471344,0.518823,[ 13 104] ; [ 39 398],[ 10.98194946 106.01805054] ; [ 41.01805054 395.98194946],0
a6,1,0.497173,0.460966,[76 41] ; [299 139],[79.05405405 37.94594595] ; [295.94594595 142.05405405],0
a4,1,0.498238,0.458687,[57 60] ; [198 240],[53.75675676 63.24324324] ; [201.24324324 236.75675676],0
s7,1,0.500703,0.453445,[73 40] ; [258 164],[69.91214953 43.08785047] ; [261.08785047 160.91214953],0
n3,1,0.508043,0.438096,[24  7] ; [62 25],[22.59322034  8.40677966] ; [63.40677966 23.59322034],0
b4,1,0.516763,0.42035,[74 43] ; [265 177],[70.95348837 46.04651163] ; [268.04651163 173.95348837],0
s1,1,0.53602,0.382966,[  6 109] ; [ 17 417],[  4.81785064 110.18214936] ; [ 18.18214936 415.81785064],0
r1,1,0.566679,0.328271,[100  17] ; [384  55],[101.84892086  15.15107914] ; [382.15107914  56.84892086],0
n6,1,0.608119,0.262923,[103  13] ; [382  57],[101.36936937  14.63063063] ; [383.63063063  55.36936937],0
d2,1,0.633768,0.226985,[61 56] ; [218 221],[58.71043165 58.28956835] ; [220.28956835 218.71043165],0
a2,1,0.641349,0.216982,[29 88] ; [119 323],[30.97674419 86.02325581] ; [117.02325581 324.97674419],0
a3,1,0.642991,0.214851,[87 30] ; [317 122],[85.01438849 31.98561151] ; [318.98561151 120.01438849],0
u1,1,0.699255,0.149248,[26 91] ; [ 91 351],[24.48837209 92.51162791] ; [ 92.51162791 349.48837209],0
p8,1,0.699408,0.149088,[61 53] ; [241 193],[62.82481752 51.17518248] ; [239.17518248 194.82481752],0
r3,1,0.706412,0.141887,[112   3] ; [433   9],[112.52244165   2.47755835] ; [432.47755835   9.52244165],0
v4,1,0.726089,0.122733,[114   3] ; [433   9],[114.48837209   2.51162791] ; [432.51162791   9.48837209],0
p9,1,0.749355,0.102074,[103  12] ; [385  50],[102.03636364  12.96363636] ; [385.96363636  49.03636364],0
b5,1,0.762161,0.091593,[73 44] ; [269 173],[71.58139535 45.41860465] ; [270.41860465 171.58139535],0
s8,1,0.785794,0.073863,[68 49] ; [249 190],[66.70683453 50.29316547] ; [250.29316547 188.70683453],0
a5,1,0.825959,0.04835,[88 29] ; [336 105],[88.90322581 28.09677419] ; [335.09677419 105.90322581],0
p3,1,0.837348,0.042143,[64 53] ; [236 204],[63.01615799 53.98384201] ; [236.98384201 203.01615799],0
p7,1,0.844376,0.038533,[76 37] ; [283 144],[75.12407407 37.87592593] ; [283.87592593 143.12407407],0
d4,1,0.850279,0.035631,[98 19] ; [370  68],[98.65945946 18.34054054] ; [369.34054054  68.65945946],0
u3,1,0.866724,0.028164,[20 10] ; [80 43],[19.60784314 10.39215686] ; [80.39215686 42.60784314],0
b1,1,0.972147,0.001219,[44 73] ; [167 275],[44.1627907 72.8372093] ; [166.8372093 275.1627907],0
p10,1,0.987608,0.000241,[99 17] ; [371  64],[98.94736842 17.05263158] ; [371.05263158  63.94736842],0
p4,1,0.990541,0.000141,[77 40] ; [288 150],[76.94594595 40.05405405] ; [288.05405405 149.94594595],0
