Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,46.348729,[127 170] ; [271 124],[170.81791908 126.18208092] ; [227.18208092 167.81791908],1
v3,1,0.0,33.93433,[ 86 217] ; [198 196],[123.46054519 179.53945481] ; [160.53945481 233.46054519],1
n5,1,3e-06,22.130748,[213  96] ; [341  66],[239.08659218  69.91340782] ; [314.91340782  92.08659218],1
p4,1,9.4e-05,15.258769,[168 142] ; [278 128],[193.10055866 116.89944134] ; [252.89944134 153.10055866],1
s8,1,0.000104,15.068326,[122 190] ; [218 188],[147.74373259 164.25626741] ; [192.25626741 213.74373259],1
p3,1,0.000237,13.514568,[139 173] ; [237 169],[163.38718663 148.61281337] ; [212.61281337 193.38718663],1
p6,1,0.000951,10.92138,[102 208] ; [181 220],[123.38959212 186.61040788] ; [159.61040788 241.38959212],1
p8,1,0.001315,10.320722,[152 158] ; [245 156],[173.09423347 136.90576653] ; [223.90576653 177.09423347],0
s5,1,0.001714,9.832613,[ 89 211] ; [162 231],[108.65800866 191.34199134] ; [142.34199134 250.65800866],0
p5,1,0.00209,9.468977,[ 26 286] ; [ 65 340],[ 39.59832636 272.40167364] ; [ 51.40167364 353.59832636],0
b3,1,0.002592,9.074322,[ 49 116] ; [116 146],[ 63.7587822 101.2412178] ; [101.2412178 160.7587822],0
b2,1,0.002592,9.074322,[ 49 116] ; [116 146],[ 63.7587822 101.2412178] ; [101.2412178 160.7587822],0
s6,1,0.005822,7.604502,[198 110] ; [297 105],[214.73239437  93.26760563] ; [280.26760563 121.73239437],0
n4,1,0.006292,7.464781,[227  85] ; [331  76],[242.13630042  69.86369958] ; [315.86369958  91.13630042],0
d5,1,0.006533,7.396996,[238  72] ; [345  62],[252.06415621  57.93584379] ; [330.93584379  76.06415621],0
p10,1,0.006858,7.309764,[272  39] ; [379  27],[282.37238494  28.62761506] ; [368.62761506  37.37238494],0
r1,1,0.010964,6.471221,[238  73] ; [343  65],[251.30876217  59.69123783] ; [329.69123783  78.30876217],0
u4,1,0.018023,5.593905,[  2 310] ; [ 13 396],[  6.49098474 305.50901526] ; [  8.50901526 400.49098474],0
d1,1,0.01921,5.482269,[173 139] ; [262 147],[188.23855756 123.76144244] ; [246.76144244 162.23855756],0
d4,1,0.019714,5.437021,[247  64] ; [350  57],[258.58913649  52.41086351] ; [338.41086351  68.58913649],0
