Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,35.013039,[54 13] ; [ 3 21],[41.96703297 25.03296703] ; [15.03296703  8.96703297],1
p2,1,1.2e-05,19.14565,[45 22] ; [ 4 21],[35.68478261 31.31521739] ; [13.31521739 11.68478261],1
v4,1,0.000117,14.843593,[61  6] ; [14 11],[54.61956522 12.38043478] ; [20.38043478  4.61956522],1
r3,1,0.000838,11.154313,[58  8] ; [14 11],[52.21978022 13.78021978] ; [19.78021978  5.21978022],1
r4,1,0.003561,8.495156,[53 14] ; [12 13],[47.33695652 19.66304348] ; [17.66304348  7.33695652],0
v1,1,0.005738,7.630849,[31 34] ; [ 4 21],[25.27777778 39.72222222] ; [ 9.72222222 15.27777778],0
p8,1,0.007506,7.147636,[24 42] ; [ 2 23],[18.85714286 47.14285714] ; [ 7.14285714 17.85714286],0
b5,1,0.008571,6.91003,[42 25] ; [ 8 17],[36.41304348 30.58695652] ; [13.58695652 11.41304348],0
a7,1,0.014239,6.008316,[38 29] ; [ 7 18],[32.77173913 34.22826087] ; [12.22826087 12.77173913],0
p11,1,0.023272,5.148085,[49 18] ; [12 13],[44.42391304 22.57608696] ; [16.57608696  8.42391304],0
n6,1,0.044949,4.020545,[51 15] ; [14 11],[47.14285714 18.85714286] ; [17.85714286  7.14285714],0
p4,1,0.093293,2.816612,[20 47] ; [ 3 21],[16.93406593 50.06593407] ; [ 6.06593407 17.93406593],0
s2,1,0.11339,2.506322,[24 40] ; [ 5 20],[20.85393258 43.14606742] ; [ 8.14606742 16.85393258],0
s3,1,0.134749,2.236924,[29 35] ; [ 7 18],[25.88764045 38.11235955] ; [10.11235955 14.88764045],0
r2,1,0.150606,2.066099,[57 10] ; [18  7],[54.61956522 12.38043478] ; [20.38043478  4.61956522],0
a1,1,0.193612,1.689913,[ 3 64] ; [ 3 22],[ 4.36956522 62.63043478] ; [ 1.63043478 23.36956522],0
u3,1,0.199263,1.647771,[17 20] ; [ 4 11],[14.94230769 22.05769231] ; [6.05769231 8.94230769],0
v2,1,0.204291,1.611431,[22 41] ; [ 5 19],[19.55172414 43.44827586] ; [ 7.44827586 16.55172414],0
p1,1,0.226187,1.464677,[ 7 60] ; [ 5 20],[ 8.73913043 58.26086957] ; [ 3.26086957 21.73913043],0
s6,1,0.231764,1.43,[33 33] ; [ 9 16],[30.46153846 35.53846154] ; [11.53846154 13.46153846],0
s8,1,0.263851,1.248439,[15 52] ; [ 3 22],[13.10869565 53.89130435] ; [ 4.89130435 20.10869565],0
p6,1,0.273687,1.198172,[ 8 59] ; [ 1 23],[ 6.62637363 60.37362637] ; [ 2.37362637 21.62637363],0
d1,1,0.294046,1.101004,[ 2 65] ; [ 2 23],[ 2.91304348 64.08695652] ; [ 1.08695652 23.91304348],0
n2,1,0.31702,1.001202,[15  3] ; [11  5],[13.76470588  4.23529412] ; [12.23529412  3.76470588],0
d3,1,0.336376,0.924196,[26 41] ; [ 7 18],[24.0326087 42.9673913] ; [ 8.9673913 16.0326087],0
a6,1,0.337694,0.919168,[37 30] ; [11 14],[34.95652174 32.04347826] ; [13.04347826 11.95652174],0
u2,1,0.404265,0.695605,[17 20] ; [ 5 10],[15.65384615 21.34615385] ; [6.34615385 8.65384615],0
b3,1,0.409343,0.680707,[13 19] ; [9 8],[14.36734694 17.63265306] ; [7.63265306 9.36734694],0
b2,1,0.409343,0.680707,[13 19] ; [9 8],[14.36734694 17.63265306] ; [7.63265306 9.36734694],0
n1,1,0.435078,0.609231,[ 6 12] ; [7 8],[ 7.09090909 10.90909091] ; [5.90909091 9.09090909],0
u1,1,0.463151,0.538269,[ 1 66] ; [ 1 24],[ 1.45652174 65.54347826] ; [ 0.54347826 24.45652174],0
a5,1,0.482003,0.494328,[35 32] ; [11 14],[33.5 33.5] ; [12.5 12.5],0
n4,1,0.491388,0.473485,[46 21] ; [19  6],[47.33695652 19.66304348] ; [17.66304348  7.33695652],0
a2,1,0.50735,0.439529,[ 3 64] ; [ 2 23],[ 3.64130435 63.35869565] ; [ 1.35869565 23.64130435],0
d2,1,0.512474,0.429012,[12 55] ; [ 6 19],[13.10869565 53.89130435] ; [ 4.89130435 20.10869565],0
p12,1,0.539517,0.376436,[ 5 61] ; [ 1 24],[ 4.35164835 61.64835165] ; [ 1.64835165 23.35164835],0
d4,1,0.590477,0.289599,[31 36] ; [10 15],[29.85869565 37.14130435] ; [11.14130435 13.85869565],0
s4,1,0.598499,0.277266,[14 53] ; [ 4 21],[13.10869565 53.89130435] ; [ 4.89130435 20.10869565],0
n3,1,0.617902,0.248827,[10  8] ; [9 5],[10.6875  7.3125] ; [8.3125 5.6875],0
v3,1,0.6935,0.155322,[19 46] ; [ 6 18],[18.25842697 46.74157303] ; [ 6.74157303 17.25842697],0
p5,1,0.710776,0.137503,[ 4 63] ; [ 1 24],[ 3.64130435 63.35869565] ; [ 1.35869565 23.64130435],0
