Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,25.600781,[26 31] ; [112  25],[40.54639175 16.45360825] ; [97.45360825 39.54639175],1
s7,1,3.1e-05,17.337403,[ 8 45] ; [63 68],[20.45108696 32.54891304] ; [50.54891304 80.45108696],1
p3,1,0.000183,13.998648,[10 48] ; [62 74],[21.5257732 36.4742268] ; [50.4742268 85.5257732],1
p2,1,0.000677,11.552064,[28 30] ; [100  36],[38.26804124 19.73195876] ; [89.73195876 46.26804124],1
p10,1,0.002263,9.323129,[28 29] ; [98 38],[37.21243523 19.78756477] ; [88.78756477 47.21243523],0
n6,1,0.002578,9.084495,[35 23] ; [110  26],[43.35051546 14.64948454] ; [101.64948454  34.35051546],0
d1,1,0.004798,7.954083,[13 45] ; [60 77],[21.71282051 36.28717949] ; [51.28717949 85.71282051],0
v3,1,0.005824,7.604003,[10 46] ; [50 80],[18.06451613 37.93548387] ; [41.93548387 88.06451613],0
s6,1,0.007246,7.210916,[20 37] ; [76 59],[28.5 28.5] ; [67.5 67.5],0
d5,1,0.0099,6.652791,[28 30] ; [93 44],[35.98974359 22.01025641] ; [85.01025641 51.98974359],0
a5,1,0.0099,6.652791,[28 30] ; [93 44],[35.98974359 22.01025641] ; [85.01025641 51.98974359],0
u3,1,0.011195,6.434127,[15 12] ; [10 30],[10.07462687 16.92537313] ; [14.92537313 25.07462687],0
s8,1,0.014811,5.938837,[12 46] ; [53 84],[19.33333333 38.66666667] ; [45.66666667 91.33333333],0
p9,1,0.021142,5.315028,[32 24] ; [100  35],[38.70157068 17.29842932] ; [93.29842932 41.70157068],0
r1,1,0.025958,4.958828,[31 27] ; [96 41],[37.77435897 20.22564103] ; [89.22564103 47.77435897],0
a3,1,0.027918,4.83313,[31 26] ; [97 40],[37.60824742 19.39175258] ; [90.39175258 46.60824742],0
p5,1,0.042104,4.130999,[ 1 56] ; [ 14 121],[ 4.453125 52.546875] ; [ 10.546875 124.453125],0
