Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,5.1e-05,16.394476,[24 11] ; [203 383],[12.79388084 22.20611916] ; [214.20611916 371.79388084],1
p2,1,0.000135,14.5642,[23 12] ; [513  69],[30.40518639  4.59481361] ; [505.59481361  76.40518639],1
r4,1,0.000302,13.057431,[26  9] ; [540  46],[31.90016103  3.09983897] ; [534.09983897  51.90016103],1
p11,1,0.00042,12.44071,[22 13] ; [500  86],[29.42028986  5.57971014] ; [492.57971014  93.42028986],1
v1,1,0.000535,11.989669,[10 25] ; [332 236],[19.85074627 15.14925373] ; [322.14925373 245.85074627],1
p4,1,0.001572,9.991946,[13 21] ; [380 204],[21.62135922 12.37864078] ; [371.37864078 212.62135922],0
n6,1,0.004741,7.975544,[25 10] ; [511  70],[30.45454545  4.54545455] ; [505.54545455  75.45454545],0
p6,1,0.008384,6.949583,[ 6 28] ; [234 346],[13.28990228 20.71009772] ; [226.71009772 353.28990228],0
v4,1,0.017725,5.623098,[31  4] ; [561  20],[33.63636364  1.36363636] ; [558.36363636  22.63636364],0
p3,1,0.019696,5.438649,[12 23] ; [319 266],[18.68548387 16.31451613] ; [312.31451613 272.68548387],0
r3,1,0.022671,5.193546,[31  4] ; [561  21],[33.58184765  1.41815235] ; [558.41815235  23.58184765],0
a5,1,0.022943,5.172813,[22 13] ; [464 122],[27.39130435  7.60869565] ; [458.60869565 127.39130435],0
s6,1,0.035745,4.409215,[19 16] ; [407 166],[24.52302632 10.47697368] ; [401.47697368 171.52302632],0
p5,1,0.060458,3.524773,[ 1 34] ; [ 81 499],[ 4.66666667 30.33333333] ; [ 77.33333333 502.66666667],0
a4,1,0.072398,3.227803,[12 23] ; [292 293],[17.16129032 17.83870968] ; [286.83870968 298.16129032],0
b4,1,0.076993,3.127256,[26  9] ; [347 239],[21.02254428 13.97745572] ; [351.97745572 234.02254428],0
s2,1,0.120619,2.409268,[15 20] ; [327 254],[19.43181818 15.56818182] ; [322.56818182 258.43181818],0
d3,1,0.160573,1.968818,[24 11] ; [461 125],[27.33494364  7.66505636] ; [457.66505636 128.33494364],0
u1,1,0.166789,1.91157,[ 4 31] ; [124 462],[ 7.21417069 27.78582931] ; [120.78582931 465.21417069],0
b3,1,0.17661,1.825926,[ 6 16] ; [147 204],[ 9.02412869 12.97587131] ; [143.97587131 207.02412869],0
b2,1,0.17661,1.825926,[ 6 16] ; [147 204],[ 9.02412869 12.97587131] ; [143.97587131 207.02412869],0
n5,1,0.185257,1.754936,[24 11] ; [455 127],[27.17179903  7.82820097] ; [451.82820097 130.17179903],0
a2,1,0.200512,1.638645,[ 6 29] ; [158 428],[ 9.2431562 25.7568438] ; [154.7568438 431.2431562],0
s1,1,0.274081,1.196206,[ 2 33] ; [ 15 564],[ 0.96905537 34.03094463] ; [ 16.03094463 562.96905537],0
