Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.003327,8.618832,[ 1 27] ; [12 24],[ 5.6875 22.3125] ; [ 7.3125 28.6875],0
r3,1,0.015431,5.86657,[14 13] ; [29  7],[18.42857143  8.57142857] ; [24.57142857 11.42857143],0
p2,1,0.017651,5.630486,[12 16] ; [26 10],[16.625 11.375] ; [21.375 14.625],0
d3,1,0.021425,5.291874,[ 9 19] ; [22 14],[13.5625 14.4375] ; [17.4375 18.5625],0
d5,1,0.05039,3.828447,[11 17] ; [23 13],[14.875 13.125] ; [19.125 16.875],0
u3,1,0.061444,3.497976,[ 1 12] ; [ 7 12],[3.25 9.75] ; [ 4.75 14.25],0
p8,1,0.067101,3.35255,[ 6 21] ; [16 20],[ 9.42857143 17.57142857] ; [12.57142857 23.42857143],0
u2,1,0.07191,3.238866,[4 9] ; [12  7],[6.5 6.5] ; [9.5 9.5],0
a2,1,0.088794,2.896099,[ 4 24] ; [ 1 35],[ 2.1875 25.8125] ; [ 2.8125 33.1875],0
n1,1,0.111666,2.530481,[5 6] ; [ 3 14],[3.14285714 7.85714286] ; [ 4.85714286 12.14285714],0
b4,1,0.11458,2.489885,[18 10] ; [16 20],[14.875 13.125] ; [19.125 16.875],0
b1,1,0.122921,2.379707,[15 13] ; [26 10],[17.9375 10.0625] ; [23.0625 12.9375],0
p9,1,0.126582,2.333926,[12 14] ; [23 12],[14.91803279 11.08196721] ; [20.08196721 14.91803279],0
n6,1,0.139547,2.182952,[13 14] ; [24 12],[15.85714286 11.14285714] ; [21.14285714 14.85714286],0
p11,1,0.162466,1.951121,[13 15] ; [23 13],[15.75 12.25] ; [20.25 15.75],0
n4,1,0.173715,1.85059,[18 10] ; [17 19],[15.3125 12.6875] ; [19.6875 16.3125],0
p7,1,0.173715,1.85059,[10 18] ; [19 17],[12.6875 15.3125] ; [16.3125 19.6875],0
a6,1,0.173715,1.85059,[10 18] ; [19 17],[12.6875 15.3125] ; [16.3125 19.6875],0
p10,1,0.212769,1.552484,[11 15] ; [21 15],[13.41935484 12.58064516] ; [18.58064516 17.41935484],0
p3,1,0.218809,1.512168,[ 5 23] ; [11 24],[ 7.11111111 20.88888889] ; [ 8.88888889 26.11111111],0
s1,1,0.234579,1.412881,[ 4 24] ; [ 2 34],[ 2.625 25.375] ; [ 3.375 32.625],0
s6,1,0.278754,1.173156,[ 8 20] ; [15 21],[10.0625 17.9375] ; [12.9375 23.0625],0
v2,1,0.285052,1.142845,[ 8 19] ; [15 20],[10.01612903 16.98387097] ; [12.98387097 22.01612903],0
d1,1,0.293344,1.10421,[ 6 22] ; [12 24],[ 7.875 20.125] ; [10.125 25.875],0
a5,1,0.3135,1.015873,[16 12] ; [16 20],[14. 14.] ; [18. 18.],0
s4,1,0.339976,0.910523,[ 3 25] ; [ 7 29],[ 4.375 23.625] ; [ 5.625 30.375],0
a4,1,0.352019,0.866165,[10 18] ; [ 9 27],[ 8.3125 19.6875] ; [10.6875 25.3125],0
p4,1,0.355084,0.855204,[10 18] ; [17 19],[11.8125 16.1875] ; [15.1875 20.8125],0
b2,1,0.385039,0.754551,[ 4 15] ; [ 7 14],[ 5.225 13.775] ; [ 5.775 15.225],0
b3,1,0.385039,0.754551,[ 4 15] ; [ 7 14],[ 5.225 13.775] ; [ 5.775 15.225],0
r1,1,0.388633,0.743214,[ 8 20] ; [14 22],[ 9.625 18.375] ; [12.375 23.625],0
s7,1,0.408213,0.684,[ 4 21] ; [ 8 24],[ 5.26315789 19.73684211] ; [ 6.73684211 25.26315789],0
u1,1,0.41246,0.671697,[ 2 26] ; [ 1 35],[ 1.3125 26.6875] ; [ 1.6875 34.3125],0
p1,1,0.41246,0.671697,[ 2 26] ; [ 1 35],[ 1.3125 26.6875] ; [ 1.6875 34.3125],0
a8,1,0.450813,0.568607,[ 5 21] ; [ 4 29],[ 3.96610169 22.03389831] ; [ 5.03389831 27.96610169],0
a3,1,0.512638,0.428679,[15 12] ; [17 19],[13.71428571 13.28571429] ; [18.28571429 17.71428571],0
v1,1,0.528375,0.397516,[ 9 19] ; [ 9 27],[ 7.875 20.125] ; [10.125 25.875],0
d4,1,0.583184,0.301115,[16 12] ; [23 13],[17.0625 10.9375] ; [21.9375 14.0625],0
n2,1,0.590826,0.289056,[6 5] ; [11  6],[6.67857143 4.32142857] ; [10.32142857  6.67857143],0
n3,1,0.590826,0.289056,[6 5] ; [11  6],[6.67857143 4.32142857] ; [10.32142857  6.67857143],0
a7,1,0.614295,0.253968,[13 15] ; [19 17],[14. 14.] ; [18. 18.],0
v3,1,0.666773,0.185401,[ 5 23] ; [ 8 28],[ 5.6875 22.3125] ; [ 7.3125 28.6875],0
b5,1,0.678469,0.171854,[17 11] ; [20 16],[16.1875 11.8125] ; [20.8125 15.1875],0
n5,1,0.794679,0.067725,[18 10] ; [22 14],[17.5 10.5] ; [22.5 13.5],0
p12,1,0.794679,0.067725,[ 2 26] ; [ 2 34],[ 1.75 26.25] ; [ 2.25 33.75],0
p6,1,0.804818,0.061066,[ 4 23] ; [ 6 29],[ 4.35483871 22.64516129] ; [ 5.64516129 29.35483871],0
a1,1,0.860257,0.030993,[ 2 26] ; [ 3 33],[ 2.1875 25.8125] ; [ 2.8125 33.1875],0
s2,1,0.933411,0.006981,[ 7 20] ; [ 9 27],[ 6.85714286 20.14285714] ; [ 9.14285714 26.85714286],0
s8,1,0.939268,0.005805,[ 6 22] ; [ 8 28],[ 6.125 21.875] ; [ 7.875 28.125],0
d2,1,0.94415,0.004908,[ 8 20] ; [10 26],[ 7.875 20.125] ; [10.125 25.875],0
s3,1,0.985632,0.000324,[ 8 18] ; [11 25],[ 7.96774194 18.03225806] ; [11.03225806 24.96774194],0
