Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,95.664463,[135  31] ; [14 69],[99.33333333 66.66666667] ; [49.66666667 33.33333333],1
p11,1,0.0,40.275271,[132  35] ; [32 51],[109.552  57.448] ; [54.448 28.552],1
p2,1,0.0,33.778797,[128  38] ; [33 50],[107.33333333  58.66666667] ; [53.66666667 29.33333333],1
r3,1,1e-06,24.110713,[153  13] ; [55 26],[139.78947368  26.21052632] ; [68.21052632 12.78947368],1
r4,1,2e-06,22.823987,[138  29] ; [45 38],[122.244  44.756] ; [60.756 22.244],1
n6,1,1.6e-05,18.634494,[132  35] ; [43 39],[117.36947791  49.63052209] ; [57.63052209 24.36947791],1
v4,1,6.1e-05,16.063101,[151  15] ; [57 23],[140.35772358  25.64227642] ; [67.64227642 12.35772358],1
p8,1,0.000242,13.473356,[ 61 104] ; [12 71],[ 48.56854839 116.43145161] ; [24.43145161 58.56854839],1
s6,1,0.000268,13.278844,[71 94] ; [16 66],[ 58.11740891 106.88259109] ; [28.88259109 53.11740891],1
b1,1,0.002236,9.344578,[ 55 112] ; [44 39],[ 66.132 100.868] ; [32.868 50.132],0
s8,1,0.00997,6.640169,[ 39 128] ; [ 8 74],[ 31.52208835 135.47791165] ; [15.47791165 66.52208835],0
p7,1,0.011726,6.351799,[75 88] ; [24 58],[65.86530612 97.13469388] ; [33.13469388 48.86530612],0
d3,1,0.014284,6.002679,[105  61] ; [39 44],[96. 70.] ; [48. 35.],0
n2,1,0.015163,5.897389,[38 12] ; [20 19],[32.58426966 17.41573034] ; [25.41573034 13.58426966],0
r2,1,0.015414,5.868472,[148  16] ; [64 17],[141.91020408  22.08979592] ; [70.08979592 10.91020408],0
v2,1,0.03027,4.693898,[75 84] ; [26 54],[67.19246862 91.80753138] ; [33.80753138 46.19246862],0
n5,1,0.056343,3.641874,[106  60] ; [42 40],[99.06451613 66.93548387] ; [48.93548387 33.06451613],0
v1,1,0.056435,3.639173,[67 95] ; [24 59],[ 60.17142857 101.82857143] ; [30.82857143 52.17142857],0
n3,1,0.066085,3.377668,[38 12] ; [20 15],[34.11764706 15.88235294] ; [23.88235294 11.11764706],0
a7,1,0.076563,3.136397,[114  53] ; [46 35],[107.74193548  59.25806452] ; [52.25806452 28.74193548],0
a5,1,0.076689,3.133703,[106  61] ; [43 40],[99.532 67.468] ; [49.468 33.532],0
d2,1,0.084798,2.970464,[ 57 109] ; [37 44],[ 63.17408907 102.82591093] ; [30.82591093 50.17408907],0
