Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-06,22.391233,[47 19] ; [ 1 15],[38.63414634 27.36585366] ; [9.36585366 6.63414634],1
d4,1,9.6e-05,15.222307,[60  6] ; [8 8],[54.73170732 11.26829268] ; [13.26829268  2.73170732],1
d2,1,0.000553,11.928012,[40 26] ; [ 2 14],[33.80487805 32.19512195] ; [8.19512195 7.80487805],1
a4,1,0.008762,6.870637,[32 34] ; [ 2 14],[27.36585366 38.63414634] ; [6.63414634 9.36585366],0
b4,1,0.01645,5.754176,[46 20] ; [ 6 10],[41.85365854 24.14634146] ; [10.14634146  5.85365854],0
s6,1,0.016968,5.699692,[57  8] ; [10  6],[53.7654321 11.2345679] ; [13.2345679  2.7654321],0
v2,1,0.050394,3.82831,[38 24] ; [ 5 10],[34.62337662 27.37662338] ; [8.37662338 6.62337662],0
a5,1,0.05879,3.571207,[49 17] ; [8 8],[45.87804878 20.12195122] ; [11.12195122  4.87804878],0
s4,1,0.059647,3.547171,[19 47] ; [ 1 15],[16.09756098 49.90243902] ; [ 3.90243902 12.09756098],0
d3,1,0.088622,2.899225,[51 15] ; [9 7],[48.29268293 17.70731707] ; [11.70731707  4.29268293],0
a2,1,0.111216,2.53685,[16 50] ; [ 1 15],[13.68292683 52.31707317] ; [ 3.31707317 12.68292683],0
r2,1,0.113493,2.504892,[60  4] ; [13  3],[58.4  5.6] ; [14.6  1.4],0
p6,1,0.127603,2.321429,[25 39] ; [ 3 13],[22.4 41.6] ; [ 5.6 10.4],0
p11,1,0.149321,2.079178,[46 20] ; [14  2],[48.29268293 17.70731707] ; [11.70731707  4.29268293],0
a8,1,0.187249,1.739134,[ 8 54] ; [ 4 11],[ 9.66233766 52.33766234] ; [ 2.33766234 12.66233766],0
v3,1,0.20897,1.578551,[23 39] ; [ 3 12],[20.93506494 41.06493506] ; [5.06493506 9.93506494],0
s2,1,0.214338,1.54188,[44 22] ; [8 8],[41.85365854 24.14634146] ; [10.14634146  5.85365854],0
p10,1,0.220329,1.502227,[52 11] ; [11  5],[50.24050633 12.75949367] ; [12.75949367  3.24050633],0
a7,1,0.224528,1.475197,[51 15] ; [10  6],[49.09756098 16.90243902] ; [11.90243902  4.09756098],0
a3,1,0.248559,1.331382,[47 19] ; [9 7],[45.07317073 20.92682927] ; [10.92682927  5.07317073],0
r3,1,0.270679,1.213305,[65  1] ; [15  1],[64.3902439  1.6097561] ; [15.6097561  0.3902439],0
b2,1,0.298223,1.082126,[15 31] ; [5 5],[16.42857143 29.57142857] ; [3.57142857 6.42857143],0
b3,1,0.298223,1.082126,[15 31] ; [5 5],[16.42857143 29.57142857] ; [3.57142857 6.42857143],0
n4,1,0.369069,0.806798,[33 33] ; [ 6 10],[31.3902439 34.6097561] ; [7.6097561 8.3902439],0
r4,1,0.374883,0.787414,[62  4] ; [14  2],[61.17073171  4.82926829] ; [14.82926829  1.17073171],0
r1,1,0.39324,0.728899,[52 14] ; [11  5],[50.70731707 15.29268293] ; [12.29268293  3.70731707],0
n6,1,0.459165,0.54793,[43 22] ; [9 7],[41.72839506 23.27160494] ; [10.27160494  5.72839506],0
u3,1,0.463238,0.538059,[16  3] ; [5 2],[15.34615385  3.65384615] ; [5.65384615 1.34615385],0
s7,1,0.467342,0.528254,[40 23] ; [8 7],[38.76923077 24.23076923] ; [9.23076923 5.76923077],0
s5,1,0.47753,0.504499,[24 38] ; [ 4 10],[22.84210526 39.15789474] ; [5.15789474 8.84210526],0
a6,1,0.507206,0.439826,[43 23] ; [9 7],[41.85365854 24.14634146] ; [10.14634146  5.85365854],0
p7,1,0.512839,0.428271,[40 24] ; [8 7],[38.88607595 25.11392405] ; [9.11392405 5.88607595],0
p9,1,0.516136,0.421607,[56  8] ; [13  3],[55.2  8.8] ; [13.8  2.2],0
p3,1,0.577309,0.310606,[34 32] ; [7 9],[33. 33.] ; [8. 8.],0
v1,1,0.594746,0.282993,[30 33] ; [6 9],[29.07692308 33.92307692] ; [6.92307692 8.07692308],0
b5,1,0.6214,0.243905,[41 25] ; [11  5],[41.85365854 24.14634146] ; [10.14634146  5.85365854],0
p8,1,0.640358,0.218274,[29 37] ; [ 6 10],[28.17073171 37.82926829] ; [6.82926829 9.17073171],0
u2,1,0.656005,0.198413,[14  4] ; [6 1],[14.4  3.6] ; [5.6 1.4],0
s3,1,0.785374,0.074159,[43 23] ; [11  5],[43.46341463 22.53658537] ; [10.53658537  5.46341463],0
p4,1,0.827624,0.047415,[35 31] ; [8 8],[34.6097561 31.3902439] ; [8.3902439 7.6097561],0
p5,1,0.843563,0.038942,[ 5 60] ; [ 1 15],[ 4.81481481 60.18518519] ; [ 1.18518519 14.81481481],0
b1,1,0.932529,0.007168,[24 42] ; [ 6 10],[24.14634146 41.85365854] ; [ 5.85365854 10.14634146],0
n2,1,0.954928,0.003194,[13  7] ; [2 1],[13.04347826  6.95652174] ; [1.95652174 1.04347826],0
n1,1,0.954928,0.003194,[ 7 13] ; [1 2],[ 6.95652174 13.04347826] ; [1.04347826 1.95652174],0
p2,1,0.957939,0.002782,[54 12] ; [13  3],[53.92682927 12.07317073] ; [13.07317073  2.92682927],0
a1,1,0.97734,0.000807,[ 4 62] ; [ 1 15],[ 4.02439024 61.97560976] ; [ 0.97560976 15.02439024],0
p1,1,0.983288,0.000439,[ 8 57] ; [ 2 14],[ 8.02469136 56.97530864] ; [ 1.97530864 14.02469136],0
