Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.022824,5.181818,[ 4 20] ; [15 18],[ 8. 16.] ; [11. 22.],0
d2,1,0.025705,4.975723,[ 6 18] ; [18 15],[10.10526316 13.89473684] ; [13.89473684 19.10526316],0
d3,1,0.053604,3.724989,[ 8 16] ; [19 13],[11.57142857 12.42857143] ; [15.42857143 16.57142857],0
s2,1,0.071216,3.254776,[ 3 21] ; [11 22],[ 5.89473684 18.10526316] ; [ 8.10526316 24.89473684],0
b2,1,0.084695,2.972426,[ 3 13] ; [8 9],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.084695,2.972426,[ 3 13] ; [8 9],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
d5,1,0.115746,2.473958,[11 13] ; [22 11],[13.89473684 10.10526316] ; [19.10526316 13.89473684],0
v3,1,0.118954,2.431044,[ 2 22] ; [ 8 25],[ 4.21052632 19.78947368] ; [ 5.78947368 27.21052632],0
p10,1,0.146781,2.105388,[ 7 16] ; [16 16],[ 9.61818182 13.38181818] ; [13.38181818 18.61818182],0
n4,1,0.203187,1.619318,[ 9 15] ; [18 15],[11.36842105 12.63157895] ; [15.63157895 17.36842105],0
n5,1,0.235533,1.407132,[10 14] ; [19 14],[12.21052632 11.78947368] ; [16.78947368 16.21052632],0
v4,1,0.235533,1.407132,[10 14] ; [19 14],[12.21052632 11.78947368] ; [16.78947368 16.21052632],0
s7,1,0.239004,1.38646,[ 3 18] ; [ 9 23],[ 4.75471698 16.24528302] ; [ 7.24528302 24.75471698],0
p9,1,0.256066,1.289901,[ 9 14] ; [18 15],[11.08928571 11.91071429] ; [15.91071429 17.08928571],0
n3,1,0.281979,1.157526,[8 6] ; [ 6 10],[6.53333333 7.46666667] ; [7.46666667 8.53333333],0
p1,1,0.294564,1.098645,[ 1 23] ; [ 4 29],[ 2.10526316 21.89473684] ; [ 2.89473684 30.10526316],0
r1,1,0.299759,1.075267,[ 5 19] ; [11 22],[ 6.73684211 17.26315789] ; [ 9.26315789 23.73684211],0
b1,1,0.305609,1.049558,[17  7] ; [19 14],[15.15789474  8.84210526] ; [20.84210526 12.15789474],0
p4,1,0.360881,0.834824,[ 7 17] ; [ 6 26],[ 5.57142857 18.42857143] ; [ 7.42857143 24.57142857],0
a6,1,0.380689,0.768476,[11 13] ; [19 14],[12.63157895 11.36842105] ; [17.36842105 15.63157895],0
p7,1,0.402417,0.701093,[12 12] ; [12 19],[10.47272727 13.52727273] ; [13.52727273 17.47272727],0
s3,1,0.424514,0.637785,[ 8 15] ; [15 18],[ 9.44642857 13.55357143] ; [13.55357143 19.44642857],0
p8,1,0.462029,0.540974,[ 4 19] ; [ 8 23],[ 5.11111111 17.88888889] ; [ 6.88888889 24.11111111],0
n2,1,0.490644,0.475113,[7 7] ; [10  6],[7.93333333 6.06666667] ; [9.06666667 6.93333333],0
s5,1,0.528558,0.397163,[ 3 21] ; [ 6 26],[ 3.85714286 20.14285714] ; [ 5.14285714 26.85714286],0
