Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000778,11.293073,[17 10] ; [31 78],[ 9.52941176 17.47058824] ; [38.47058824 70.52941176],1
s5,1,0.014879,5.93077,[10 13] ; [21 86],[ 5.48461538 17.51538462] ; [25.51538462 81.48461538],0
n4,1,0.017344,5.66124,[11 16] ; [71 37],[16.4 10.6] ; [65.6 42.4],0
s3,1,0.041701,4.147279,[17 10] ; [44 63],[12.29104478 14.70895522] ; [48.70895522 58.29104478],0
p3,1,0.053854,3.71722,[13 14] ; [31 77],[ 8.8 18.2] ; [35.2 72.8],0
s6,1,0.055545,3.665645,[16 10] ; [44 64],[11.64179104 14.35820896] ; [48.35820896 59.64179104],0
r4,1,0.080019,3.064522,[21  6] ; [65 44],[17.07352941  9.92647059] ; [68.92647059 40.07352941],0
p4,1,0.111446,2.533596,[14 13] ; [38 70],[10.4 16.6] ; [41.6 66.4],0
u3,1,0.122122,2.389888,[6 3] ; [17 27],[3.90566038 5.09433962] ; [19.09433962 24.90566038],0
p2,1,0.138565,2.193826,[19  8] ; [59 49],[15.6 11.4] ; [62.4 45.6],0
p6,1,0.16194,1.956019,[ 8 19] ; [19 89],[ 5.4 21.6] ; [21.6 86.4],0
d3,1,0.164952,1.928229,[18  8] ; [58 49],[14.85714286 11.14285714] ; [61.14285714 45.85714286],0
a2,1,0.166915,1.910438,[ 2 25] ; [20 89],[ 4.36764706 22.63235294] ; [17.63235294 91.36764706],0
n5,1,0.170593,1.877728,[14 13] ; [72 37],[17.07352941  9.92647059] ; [68.92647059 40.07352941],0
r2,1,0.172738,1.859021,[23  2] ; [87 21],[20.67669173  4.32330827] ; [89.32330827 18.67669173],0
u1,1,0.174674,1.842369,[ 1 26] ; [14 95],[ 2.97794118 24.02205882] ; [12.02205882 96.97794118],0
v3,1,0.177171,1.821194,[ 3 24] ; [24 81],[ 5.52272727 21.47727273] ; [21.47727273 83.52272727],0
a8,1,0.183338,1.770352,[ 1 26] ; [13 90],[ 2.90769231 24.09230769] ; [11.09230769 91.90769231],0
n1,1,0.203018,1.620528,[ 4 10] ; [22 24],[6.06666667 7.93333333] ; [19.93333333 26.06666667],0
d5,1,0.206453,1.596127,[20  6] ; [69 39],[17.26865672  8.73134328] ; [71.73134328 36.26865672],0
