Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.026161,4.94533,[ 4 10] ; [17  9],[7.35 6.65] ; [13.65 12.35],0
p11,1,0.125383,2.348762,[ 4 10] ; [14 12],[6.3 7.7] ; [11.7 14.3],0
p7,1,0.485045,0.4875,[9 4] ; [15 11],[8. 5.] ; [16. 10.],0
p5,1,0.648172,0.208213,[ 1 13] ; [ 1 25],[ 0.7 13.3] ; [ 1.3 24.7],0
b1,1,0.666115,0.18618,[6 8] ; [13 13],[6.65 7.35] ; [12.35 13.65],0
p6,1,0.91133,0.012401,[ 4 10] ; [ 7 19],[ 3.85 10.15] ; [ 7.15 18.85],0
