Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,4e-06,21.489499,[ 11 116] ; [7 6],[ 16.32857143 110.67142857] ; [ 1.67142857 11.32857143],1
s5,1,0.000123,14.743615,[ 23 103] ; [8 4],[28.30434783 97.69565217] ; [2.69565217 9.30434783],1
p6,1,0.000311,13.000268,[35 91] ; [10  3],[40.79136691 85.20863309] ; [4.20863309 8.79136691],1
p12,1,0.000444,12.336079,[  3 124] ; [ 3 10],[  5.44285714 121.55714286] ; [ 0.55714286 12.44285714],1
p4,1,0.00529,7.777556,[66 61] ; [12  1],[70.75714286 56.24285714] ; [7.24285714 5.75714286],0
p3,1,0.011695,6.356604,[51 75] ; [10  3],[55.29496403 70.70503597] ; [5.70503597 7.29496403],0
b2,1,0.019432,5.462218,[15 59] ; [5 4],[17.8313253 56.1686747] ; [2.1686747 6.8313253],0
b3,1,0.019432,5.462218,[15 59] ; [5 4],[17.8313253 56.1686747] ; [2.1686747 6.8313253],0
b5,1,0.028002,4.82795,[79 48] ; [4 9],[75.29285714 51.70714286] ; [7.70714286 5.29285714],0
s7,1,0.033672,4.511278,[48 73] ; [8 3],[51.33333333 69.66666667] ; [4.66666667 6.33333333],0
a1,1,0.045694,3.992837,[  1 126] ; [ 1 12],[  1.81428571 125.18571429] ; [ 0.18571429 12.81428571],0
s1,1,0.048915,3.878267,[  1 123] ; [ 1 12],[  1.81021898 122.18978102] ; [ 0.18978102 12.81021898],0
p8,1,0.058338,3.584025,[58 67] ; [9 3],[61.13138686 63.86861314] ; [5.86861314 6.13138686],0
n1,1,0.084721,2.97193,[12 26] ; [3 1],[13.57142857 24.42857143] ; [1.42857143 2.57142857],0
n4,1,0.086055,2.946673,[88 38] ; [12  1],[90.64748201 35.35251799] ; [9.35251799 3.64748201],0
p7,1,0.115302,2.479997,[79 47] ; [11  2],[81.58273381 44.41726619] ; [8.41726619 4.58273381],0
r1,1,0.122844,2.380677,[79 46] ; [11  2],[81.52173913 43.47826087] ; [8.47826087 4.52173913],0
d5,1,0.137858,2.201711,[66 60] ; [4 9],[63.45323741 62.54676259] ; [6.54676259 6.45323741],0
s6,1,0.221381,1.495397,[67 58] ; [8 3],[68.93382353 56.06617647] ; [6.06617647 4.93382353],0
p9,1,0.223937,1.478959,[97 30] ; [11  1],[98.67625899 28.32374101] ; [9.32374101 2.67625899],0
r4,1,0.244101,1.356753,[100  27] ; [12  1],[101.6  25.4] ; [10.4  2.6],0
s8,1,0.263249,1.251588,[43 84] ; [6 6],[44.76978417 82.23021583] ; [4.23021583 7.76978417],0
n6,1,0.265976,1.237382,[101  26] ; [12  1],[102.50714286  24.49285714] ; [10.49285714  2.50714286],0
s4,1,0.284848,1.143814,[ 25 101] ; [ 1 12],[ 23.56834532 102.43165468] ; [ 2.43165468 10.56834532],0
a6,1,0.369599,0.805013,[75 52] ; [6 7],[73.47857143 53.52142857] ; [7.52142857 5.47857143],0
v3,1,0.380513,0.769045,[34 92] ; [5 8],[35.35251799 90.64748201] ; [3.64748201 9.35251799],0
a3,1,0.382337,0.763174,[65 62] ; [5 8],[63.5 63.5] ; [6.5 6.5],0
p10,1,0.384964,0.754791,[92 33] ; [11  2],[93.29710145 31.70289855] ; [9.70289855 3.29710145],0
v2,1,0.404364,0.69531,[51 71] ; [7 6],[52.41481481 69.58518519] ; [5.58518519 7.41481481],0
p11,1,0.431984,0.617485,[95 32] ; [11  2],[96.15714286 30.84285714] ; [9.84285714 3.15714286],0
v1,1,0.442646,0.589413,[53 71] ; [7 6],[54.30656934 69.69343066] ; [5.69343066 7.30656934],0
a4,1,0.492077,0.471982,[30 96] ; [ 2 11],[29.00719424 96.99280576] ; [ 2.99280576 10.00719424],0
a8,1,0.511869,0.430244,[ 12 103] ; [ 2 10],[ 12.67716535 102.32283465] ; [ 1.32283465 10.67716535],0
b1,1,0.580126,0.306031,[49 78] ; [4 9],[48.07857143 78.92142857] ; [4.92142857 8.07857143],0
d1,1,0.640042,0.218687,[  6 121] ; [ 1 12],[  6.35 120.65] ; [ 0.65 12.35],0
r3,1,0.645761,0.211287,[112  14] ; [11  2],[111.49640288  14.50359712] ; [11.50359712  1.49640288],0
s3,1,0.770733,0.084923,[62 63] ; [7 6],[62.5 62.5] ; [6.5 6.5],0
u2,1,0.795979,0.066851,[28 34] ; [4 4],[28.34285714 33.65714286] ; [3.65714286 4.34285714],0
s2,1,0.799168,0.064732,[44 82] ; [5 8],[44.41726619 81.58273381] ; [4.58273381 8.41726619],0
a2,1,0.835359,0.043195,[ 12 115] ; [ 1 12],[ 11.79285714 115.20714286] ; [ 1.20714286 11.79285714],0
b4,1,0.854708,0.033531,[65 62] ; [7 6],[65.31428571 61.68571429] ; [6.68571429 6.31428571],0
u3,1,0.878109,0.023522,[25 37] ; [3 5],[24.8 37.2] ; [3.2 4.8],0
a5,1,0.940213,0.005625,[67 60] ; [7 6],[67.12857143 59.87142857] ; [6.87142857 6.12857143],0
n2,1,0.953135,0.003454,[29  9] ; [3 1],[28.95238095  9.04761905] ; [3.04761905 0.95238095],0
d2,1,0.964821,0.001945,[30 97] ; [ 3 10],[29.93571429 97.06428571] ; [3.06428571 9.93571429],0
d3,1,0.974539,0.001019,[39 86] ; [4 9],[38.94927536 86.05072464] ; [4.05072464 8.94927536],0
a7,1,0.979346,0.00067,[78 48] ; [8 5],[77.95683453 48.04316547] ; [8.04316547 4.95683453],0
