Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,93.545185,[360   9] ; [51 28],[338.52455357  30.47544643] ; [72.47544643  6.52455357],1
r2,1,0.0,41.599347,[356  10] ; [60 17],[343.69300226  22.30699774] ; [72.30699774  4.69300226],1
r3,1,3.8e-05,16.972224,[361   7] ; [70  9],[354.82774049  13.17225951] ; [76.17225951  2.82774049],1
u1,1,5.8e-05,16.161586,[ 88 281] ; [ 3 76],[ 74.953125 294.046875] ; [16.046875 62.953125],1
a2,1,0.00014,14.500233,[109 260] ; [ 7 72],[ 95.54464286 273.45535714] ; [20.45535714 58.54464286],1
a5,1,0.000155,14.30803,[304  65] ; [50 29],[291.57589286  77.42410714] ; [62.42410714 16.57589286],1
d3,1,0.000506,12.09183,[281  88] ; [45 34],[268.51339286 100.48660714] ; [57.48660714 21.51339286],1
v4,1,0.001139,10.586996,[361   7] ; [71  7],[356.44843049  11.55156951] ; [75.55156951  2.44843049],0
d1,1,0.001152,10.565073,[253 116] ; [39 40],[240.50892857 128.49107143] ; [51.49107143 27.50892857],0
a7,1,0.001651,9.901513,[286  82] ; [48 31],[274.97091723  93.02908277] ; [59.02908277 19.97091723],0
d2,1,0.001857,9.685345,[206 162] ; [29 50],[193.46756152 174.53243848] ; [41.53243848 37.46756152],0
v3,1,0.004329,8.140329,[161 190] ; [22 56],[149.72727273 201.27272727] ; [33.27272727 44.72727273],0
v2,1,0.005328,7.764538,[223 133] ; [35 42],[212.12009238 143.87990762] ; [45.87990762 31.12009238],0
d5,1,0.015924,5.811283,[319  49] ; [60 19],[312.01789709  55.98210291] ; [66.98210291 12.01789709],0
a4,1,0.021553,5.281536,[187 180] ; [29 50],[177.73991031 189.26008969] ; [38.26008969 40.73991031],0
n4,1,0.02305,5.164758,[318  51] ; [60 19],[311.34375  57.65625] ; [66.65625 12.34375],0
a3,1,0.032748,4.558919,[281  88] ; [51 28],[273.45535714  95.54464286] ; [58.54464286 20.45535714],0
v1,1,0.037183,4.342021,[227 131] ; [39 38],[218.91494253 139.08505747] ; [47.08505747 29.91494253],0
b1,1,0.058958,3.56646,[131 238] ; [37 42],[138.375 230.625] ; [29.625 49.375],0
u3,1,0.059279,3.557449,[57 31] ; [12 15],[52.8 35.2] ; [16.2 10.8],0
