Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,122.793278,[ 43 141] ; [282 107],[104.36300175  79.63699825] ; [220.63699825 168.36300175],1
p6,1,0.0,57.452518,[ 29 155] ; [189 199],[ 70.12587413 113.87412587] ; [147.87412587 240.12587413],1
p4,1,0.0,41.850177,[86 99] ; [290 102],[120.55459272  64.44540728] ; [255.44540728 136.55459272],1
p3,1,0.0,39.422613,[ 64 120] ; [246 146],[99.02777778 84.97222222] ; [210.97222222 181.02777778],1
p2,1,0.0,30.641405,[144  41] ; [365  25],[163.76521739  21.23478261] ; [345.23478261  44.76521739],1
s5,1,4.8e-05,16.537191,[ 38 137] ; [150 232],[ 59.06642729 115.93357271] ; [128.93357271 253.06642729],1
p10,1,0.00011,14.964851,[147  37] ; [356  34],[161.24041812  22.75958188] ; [341.75958188  48.24041812],1
v4,1,0.000449,12.316006,[167  17] ; [378  10],[175.31468531   8.68531469] ; [369.68531469  18.31468531],1
s7,1,0.000484,12.177052,[ 69 109] ; [207 172],[88.2010772 89.7989228] ; [187.7989228 191.2010772],1
s8,1,0.000948,10.926192,[ 67 117] ; [200 191],[85.44 98.56] ; [181.56 209.44],1
r1,1,0.001346,10.277727,[135  49] ; [330  60],[149.05923345  34.94076655] ; [315.94076655  74.05923345],0
p5,1,0.00171,9.837125,[ 11 171] ; [ 60 332],[ 22.51219512 159.48780488] ; [ 48.48780488 343.51219512],0
v3,1,0.005525,7.699124,[ 58 117] ; [173 206],[ 72.96931408 102.03068592] ; [158.03068592 220.96931408],0
r4,1,0.009215,6.780609,[160  25] ; [366  27],[168.35640138  16.64359862] ; [357.64359862  35.35640138],0
p9,1,0.009919,6.649345,[153  29] ; [357  34],[161.9895288  20.0104712] ; [348.0104712  42.9895288],0
v1,1,0.010105,6.616318,[86 90] ; [231 151],[99.98566308 76.01433692] ; [217.01433692 164.98566308],0
s6,1,0.019569,5.449922,[111  72] ; [270 113],[123.18551237  59.81448763] ; [257.81448763 125.18551237],0
v2,1,0.034165,4.486429,[95 81] ; [241 139],[106.35971223  69.64028777] ; [229.64028777 150.35971223],0
b5,1,0.035362,4.427623,[122  63] ; [223 170],[110.42387543  74.57612457] ; [234.57612457 158.42387543],0
d3,1,0.041633,4.150073,[128  57] ; [303  90],[137.94982699  47.05017301] ; [293.05017301  99.94982699],0
n5,1,0.042773,4.104333,[135  49] ; [316  75],[144.32  39.68] ; [306.68  84.32],0
