Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,106.82208,[254   3] ; [6 8],[246.56826568  10.43173432] ; [13.43173432  0.56826568],1
v4,1,0.0,55.757222,[256   3] ; [9 5],[251.41025641   7.58974359] ; [13.58974359  0.41025641],1
r1,1,0.0,45.194315,[230  28] ; [ 4 11],[221.14285714  36.85714286] ; [12.85714286  2.14285714],1
r3,1,0.0,44.698299,[253   6] ; [10  6],[247.69818182  11.30181818] ; [15.30181818  0.69818182],1
p2,1,4e-06,21.480811,[244  15] ; [10  6],[239.22181818  19.77818182] ; [14.77818182  1.22181818],1
s1,1,2.3e-05,17.902689,[  4 254] ; [ 3 13],[  6.59124088 251.40875912] ; [ 0.40875912 15.59124088],1
n6,1,9.8e-05,15.17057,[235  22] ; [9 6],[230.54411765  26.45588235] ; [13.45588235  1.54411765],1
n4,1,0.013096,6.156114,[222  37] ; [10  6],[218.50181818  40.49818182] ; [13.49818182  2.50181818],0
p10,1,0.016221,5.77873,[236  23] ; [10  4],[233.38461538  25.61538462] ; [12.61538462  1.38461538],0
d1,1,0.038802,4.269524,[178  81] ; [7 9],[174.23636364  84.76363636] ; [10.76363636  5.23636364],0
n5,1,0.040225,4.208368,[223  36] ; [10  5],[220.24452555  38.75547445] ; [12.75547445  2.24452555],0
a5,1,0.044423,4.040423,[214  45] ; [10  6],[210.96727273  48.03272727] ; [13.03272727  2.96727273],0
p9,1,0.052643,3.755224,[241  17] ; [12  3],[239.0989011  18.9010989] ; [13.9010989  1.0989011],0
a7,1,0.064202,3.425362,[198  60] ; [9 7],[194.91240876  63.08759124] ; [12.08759124  3.91240876],0
b4,1,0.067775,3.336094,[157 102] ; [ 6 10],[153.51636364 105.48363636] ; [9.48363636 6.51636364],0
s6,1,0.09356,2.812026,[184  67] ; [8 7],[181.17293233  69.82706767] ; [10.82706767  4.17293233],0
d4,1,0.13312,2.255734,[226  31] ; [12  4],[224.05128205  32.94871795] ; [13.94871795  2.05128205],0
b1,1,0.133788,2.247995,[ 97 162] ; [9 7],[ 99.83272727 159.16727273] ; [6.16727273 9.83272727],0
n3,1,0.135519,2.228117,[24  8] ; [5 5],[22.0952381  9.9047619] ; [6.9047619 3.0952381],0
v3,1,0.146374,2.109635,[142 111] ; [ 6 10],[139.19702602 113.80297398] ; [8.80297398 7.19702602],0
s5,1,0.156471,2.008004,[113 136] ; [ 4 11],[110.35227273 138.64772727] ; [6.64772727 8.35227273],0
p3,1,0.162123,1.954315,[173  85] ; [8 8],[170.43065693  87.56934307] ; [10.56934307  5.43065693],0
p6,1,0.260368,1.266798,[140 115] ; [6 9],[137.88888889 117.11111111] ; [8.11111111 6.88888889],0
p5,1,0.265179,1.241515,[ 51 208] ; [ 5 11],[ 52.74181818 206.25818182] ; [ 3.25818182 12.74181818],0
d3,1,0.275641,1.188458,[193  65] ; [10  6],[191.1459854  66.8540146] ; [11.8540146  4.1459854],0
d5,1,0.319269,0.991939,[217  40] ; [12  4],[215.57875458  41.42124542] ; [13.42124542  2.57875458],0
p1,1,0.420453,0.649048,[ 34 224] ; [ 1 15],[ 32.95620438 225.04379562] ; [ 2.04379562 13.95620438],0
p12,1,0.423898,0.639484,[ 31 228] ; [ 3 13],[ 32.02181818 226.97818182] ; [ 1.97818182 14.02181818],0
p11,1,0.489238,0.478202,[226  33] ; [13  3],[225.09454545  33.90545455] ; [13.90545455  2.09454545],0
u1,1,0.499925,0.455096,[ 50 209] ; [ 2 14],[ 48.97454545 210.02545455] ; [ 3.02545455 12.97454545],0
u3,1,0.520034,0.413826,[37 26] ; [3 1],[37.6119403 25.3880597] ; [2.3880597 1.6119403],0
s2,1,0.584805,0.298531,[138 118] ; [7 8],[136.97416974 119.02583026] ; [8.02583026 6.97416974],0
s3,1,0.584895,0.298387,[147 109] ; [7 7],[146.01481481 109.98518519] ; [7.98518519 6.01481481],0
d2,1,0.585496,0.297433,[131 127] ; [7 9],[129.94160584 128.05839416] ; [8.05839416 7.94160584],0
s8,1,0.634917,0.225452,[143 112] ; [8 8],[142.08487085 112.91512915] ; [8.91512915 7.08487085],0
p4,1,0.669932,0.181682,[205  53] ; [12  4],[204.32846715  53.67153285] ; [12.67153285  3.32846715],0
p7,1,0.68423,0.165403,[215  41] ; [12  3],[214.43542435  41.56457565] ; [12.56457565  2.43542435],0
s4,1,0.710983,0.137297,[ 39 216] ; [ 3 13],[ 39.5202952 215.4797048] ; [ 2.4797048 13.5202952],0
a6,1,0.740298,0.109865,[171  86] ; [10  6],[170.39194139  86.60805861] ; [10.60805861  5.39194139],0
s7,1,0.790783,0.070381,[139 107] ; [9 6],[139.49425287 106.50574713] ; [8.50574713 6.49425287],0
b5,1,0.799824,0.0643,[154 105] ; [9 7],[153.51636364 105.48363636] ; [9.48363636 6.51636364],0
a4,1,0.818899,0.052423,[120 137] ; [7 9],[119.55677656 137.44322344] ; [7.44322344 8.55677656],0
u2,1,0.877334,0.023824,[34 29] ; [2 2],[33.85074627 29.14925373] ; [2.14925373 1.85074627],0
a3,1,0.886335,0.020433,[196  60] ; [12  4],[195.76470588  60.23529412] ; [12.23529412  3.76470588],0
n1,1,0.891717,0.018532,[19 14] ; [6 4],[19.18604651 13.81395349] ; [5.81395349 4.18604651],0
a1,1,0.939393,0.005781,[ 15 244] ; [ 1 15],[ 15.06909091 243.93090909] ; [ 0.93090909 15.06909091],0
v2,1,0.955576,0.003103,[177  78] ; [11  5],[176.900369  78.099631] ; [11.099631  4.900369],0
b2,1,0.96112,0.002376,[75 90] ; [6 7],[75.08426966 89.91573034] ; [5.91573034 7.08426966],0
b3,1,0.96112,0.002376,[75 90] ; [6 7],[75.08426966 89.91573034] ; [5.91573034 7.08426966],0
a2,1,0.993104,7.5e-05,[ 65 194] ; [ 4 12],[ 64.98545455 194.01454545] ; [ 4.01454545 11.98545455],0
