Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.593118,[32 10] ; [37 79],[18.34177215 23.65822785] ; [50.65822785 65.34177215],1
s6,1,3.1e-05,17.374404,[34  7] ; [52 63],[22.6025641 18.3974359] ; [63.3974359 51.6025641],1
b4,1,0.001226,10.451312,[35  7] ; [64 52],[26.3164557 15.6835443] ; [72.6835443 43.3164557],0
d3,1,0.001745,9.800247,[31 11] ; [52 62],[22.34615385 19.65384615] ; [60.65384615 53.34615385],0
d1,1,0.002402,9.213844,[25 17] ; [38 78],[16.74683544 25.25316456] ; [46.25316456 69.74683544],0
p5,1,0.0027,8.999843,[10 31] ; [  8 107],[ 4.73076923 36.26923077] ; [ 13.26923077 101.73076923],0
d4,1,0.003157,8.714297,[37  5] ; [74 42],[29.50632911 12.49367089] ; [81.49367089 34.50632911],0
n3,1,0.005795,7.612867,[7 8] ; [28  5],[10.9375  4.0625] ; [24.0625  8.9375],0
s7,1,0.006225,7.484053,[22 18] ; [34 77],[14.83443709 25.16556291] ; [41.16556291 69.83443709],0
b5,1,0.007401,7.172891,[20 22] ; [82 34],[27.11392405 14.88607595] ; [74.88607595 41.11392405],0
s3,1,0.007873,7.062179,[27 15] ; [46 68],[19.65384615 22.34615385] ; [53.34615385 60.65384615],0
s4,1,0.008775,6.868113,[13 29] ; [ 15 101],[ 7.44303797 34.55696203] ; [20.55696203 95.44303797],0
p6,1,0.0102,6.599713,[20 21] ; [30 82],[13.39869281 27.60130719] ; [36.60130719 75.39869281],0
u3,1,0.024091,5.088102,[11  6] ; [16 32],[7.06153846 9.93846154] ; [19.93846154 28.06153846],0
s8,1,0.036037,4.395343,[19 23] ; [32 84],[13.55696203 28.44303797] ; [37.44303797 78.55696203],0
r4,1,0.042959,4.097032,[32 10] ; [68 48],[26.58227848 15.41772152] ; [73.41772152 42.58227848],0
v1,1,0.046403,3.966908,[23 17] ; [44 68],[17.63157895 22.36842105] ; [49.36842105 62.63157895],0
a5,1,0.052436,3.761799,[29 13] ; [60 56],[23.65822785 18.34177215] ; [65.34177215 50.65822785],0
p11,1,0.061067,3.508155,[29 13] ; [96 20],[33.2278481  8.7721519] ; [91.7721519 24.2278481],0
v2,1,0.07377,3.197075,[20 19] ; [40 74],[15.29411765 23.70588235] ; [44.70588235 69.29411765],0
d5,1,0.090382,2.867558,[33  9] ; [74 41],[28.62420382 13.37579618] ; [78.37579618 36.62420382],0
a1,1,0.095431,2.780293,[ 6 36] ; [  7 109],[ 3.4556962 38.5443038] ; [  9.5443038 106.4556962],0
p1,1,0.134353,2.24147,[ 7 34] ; [ 10 106],[ 4.43949045 36.56050955] ; [ 12.56050955 103.43949045],0
p4,1,0.177999,1.814256,[25 17] ; [54 60],[21.26923077 20.73076923] ; [57.73076923 56.26923077],0
u1,1,0.185561,1.752512,[ 3 39] ; [  3 113],[ 1.59493671 40.40506329] ; [  4.40506329 111.59493671],0
n5,1,0.194859,1.680495,[27 15] ; [86 29],[30.22929936 11.77070064] ; [82.77070064 32.22929936],0
r2,1,0.204517,1.609824,[36  5] ; [89 24],[33.27922078  7.72077922] ; [91.72077922 21.27922078],0
a8,1,0.218355,1.515152,[ 2 38] ; [13 97],[ 4. 36.] ; [11. 99.],0
v4,1,0.219573,1.50716,[38  3] ; [98 17],[35.74358974  5.25641026] ; [100.25641026  14.74358974],0
p10,1,0.237136,1.397537,[37  4] ; [94 20],[34.6516129  6.3483871] ; [96.3483871 17.6516129],0
u2,1,0.255729,1.291732,[10  7] ; [21 28],[7.98484848 9.01515152] ; [23.01515152 25.98484848],0
s1,1,0.282887,1.153168,[ 2 40] ; [  2 114],[ 1.06329114 40.93670886] ; [  2.93670886 113.06329114],0
p3,1,0.306765,1.044554,[21 21] ; [47 68],[18.1910828 23.8089172] ; [49.8089172 65.1910828],0
a7,1,0.340199,0.909681,[28 14] ; [67 48],[25.41401274 16.58598726] ; [69.58598726 45.41401274],0
