Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.004511,8.065821,[ 7 21] ; [7 2],[10.59459459 17.40540541] ; [3.40540541 5.59459459],0
b3,1,0.004511,8.065821,[ 7 21] ; [7 2],[10.59459459 17.40540541] ; [3.40540541 5.59459459],0
p12,1,0.004908,7.913095,[ 3 57] ; [3 6],[ 5.2173913 54.7826087] ; [0.7826087 8.2173913],0
p5,1,0.005384,7.74558,[ 3 56] ; [3 6],[ 5.20588235 53.79411765] ; [0.79411765 8.20588235],0
a2,1,0.020979,5.328507,[12 48] ; [5 4],[14.7826087 45.2173913] ; [2.2173913 6.7826087],0
u1,1,0.021665,5.272515,[ 8 52] ; [4 5],[10.43478261 49.56521739] ; [1.56521739 7.43478261],0
s8,1,0.028733,4.783531,[30 30] ; [8 1],[33.04347826 26.95652174] ; [4.95652174 4.04347826],0
a4,1,0.066636,3.363992,[27 33] ; [7 2],[29.56521739 30.43478261] ; [4.43478261 4.56521739],0
s3,1,0.077737,3.111583,[35 25] ; [8 1],[37.39130435 22.60869565] ; [5.60869565 3.39130435],0
d2,1,0.077737,3.111583,[35 25] ; [8 1],[37.39130435 22.60869565] ; [5.60869565 3.39130435],0
v3,1,0.105588,2.619048,[20 40] ; [4 2],[21.81818182 38.18181818] ; [2.18181818 3.81818182],0
s2,1,0.129374,2.3,[38 22] ; [8 1],[40. 20.] ; [6. 3.],0
a6,1,0.141968,2.156494,[31 29] ; [7 2],[33.04347826 26.95652174] ; [4.95652174 4.04347826],0
p2,1,0.148106,2.091651,[46 13] ; [5 4],[44.25 14.75] ; [6.75 2.25],0
n4,1,0.151565,2.056431,[39 21] ; [8 1],[40.86956522 19.13043478] ; [6.13043478 2.86956522],0
n5,1,0.16812,1.899625,[39 20] ; [8 1],[40.77941176 18.22058824] ; [6.22058824 2.77941176],0
n3,1,0.170016,1.882799,[16  6] ; [1 2],[14.96  7.04] ; [2.04 0.96],0
n2,1,0.170016,1.882799,[16  6] ; [1 2],[14.96  7.04] ; [2.04 0.96],0
v2,1,0.170254,1.880707,[26 33] ; [5 2],[27.71212121 31.28787879] ; [3.28787879 3.71212121],0
p8,1,0.195894,1.672727,[20 40] ; [5 4],[21.73913043 38.26086957] ; [3.26086957 5.73913043],0
p3,1,0.283018,1.152542,[28 31] ; [6 3],[29.5 29.5] ; [4.5 4.5],0
s5,1,0.303812,1.057389,[28 29] ; [2 5],[26.71875 30.28125] ; [3.28125 3.71875],0
v1,1,0.321034,0.984731,[31 29] ; [5 2],[32.23880597 27.76119403] ; [3.76119403 3.23880597],0
n6,1,0.334188,0.9326,[43 15] ; [8 1],[44.14925373 13.85074627] ; [6.85074627 2.14925373],0
a3,1,0.357237,0.847583,[45 15] ; [8 1],[46.08695652 13.91304348] ; [6.91304348 2.08695652],0
s7,1,0.373627,0.791566,[35 21] ; [7 2],[36.18461538 19.81538462] ; [5.81538462 3.18461538],0
d5,1,0.39513,0.723098,[45 14] ; [8 1],[45.98529412 13.01470588] ; [7.01470588 1.98529412],0
r1,1,0.407132,0.68716,[46 14] ; [8 1],[46.95652174 13.04347826] ; [7.04347826 1.95652174],0
s1,1,0.47417,0.512241,[ 3 56] ; [1 8],[ 3.47058824 55.52941176] ; [0.52941176 8.47058824],0
n1,1,0.490279,0.475913,[10 12] ; [2 1],[10.56 11.44] ; [1.44 1.56],0
b4,1,0.491841,0.472496,[34 26] ; [4 5],[33.04347826 26.95652174] ; [4.95652174 4.04347826],0
a5,1,0.504779,0.444874,[40 20] ; [7 2],[40.86956522 19.13043478] ; [6.13043478 2.86956522],0
p4,1,0.510295,0.433462,[33 27] ; [6 3],[33.91304348 26.08695652] ; [5.08695652 3.91304348],0
b5,1,0.570883,0.321207,[34 26] ; [6 3],[34.7826087 25.2173913] ; [5.2173913 3.7826087],0
s4,1,0.594002,0.284137,[11 49] ; [1 8],[10.43478261 49.56521739] ; [1.56521739 7.43478261],0
s6,1,0.681448,0.1685,[42 17] ; [7 2],[42.51470588 16.48529412] ; [6.48529412 2.51470588],0
p7,1,0.682847,0.166938,[34 25] ; [4 4],[33.46268657 25.53731343] ; [4.53731343 3.46268657],0
d3,1,0.79074,0.070411,[36 22] ; [6 3],[36.35820896 21.64179104] ; [5.64179104 3.35820896],0
p6,1,0.800112,0.064111,[24 36] ; [4 5],[24.34782609 35.65217391] ; [3.65217391 5.34782609],0
a8,1,0.820539,0.051462,[ 5 52] ; [1 8],[ 5.18181818 51.81818182] ; [0.81818182 8.18181818],0
v4,1,0.918001,0.010599,[54  6] ; [8 1],[53.91304348  6.08695652] ; [8.08695652 0.91304348],0
a1,1,0.918001,0.010599,[ 6 54] ; [1 8],[ 6.08695652 53.91304348] ; [0.91304348 8.08695652],0
p1,1,0.947907,0.004269,[ 7 52] ; [1 8],[ 6.94117647 52.05882353] ; [1.05882353 7.94117647],0
a7,1,0.973379,0.001114,[39 20] ; [6 3],[39.04411765 19.95588235] ; [5.95588235 3.04411765],0
